		code	name	buy_date	buy_price	period	ratio	sell_date	sell_price
002458	益生股份			2018-10-09	41.22	35	12.15	持有	46.23
000790	华神集团			2018-10-25	47.75	19	12.13	持有	53.54
300198	纳川股份			2018-11-01	29.78	12	11.99	持有	33.35
300076	GQY视讯			2018-10-23	33.24	21	11.97	持有	37.22
600885	宏发股份			2018-10-23	80.76	21	11.92	持有	90.39
000810	创维数字			2018-10-22	30.38	22	11.72	持有	33.94
600856	中天能源			2018-08-29	29.37	76	11.64	持有	32.79
002281	光迅科技			2018-06-06	81.44	160	11.55	持有	90.85
000630	铜陵有色			2017-11-24	54.74	354	11.53	持有	61.05
600533	XD栖霞建			2018-10-26	26.18	18	11.27	持有	29.13
300073	当升科技			2018-09-12	93.25	62	11.26	持有	103.75
300047	天源迪科			2017-11-29	37.36	349	11.19	持有	41.54
300284	苏交科			2018-10-31	27.09	13	11.15	持有	30.11
000850	华茂股份			2018-07-09	31.03	127	10.83	持有	34.39
002154	报 喜 鸟			2018-10-26	32.33	18	10.55	持有	35.74
600491	龙元建设			2018-06-25	74.19	141	10.34	持有	81.86
600030	中信证券			2018-08-22	85.39	83	10.24	持有	94.13
600641	万业企业			2018-10-29	182.93	15	10.17	持有	201.54
000615	京汉股份			2018-10-24	49.41	20	10.16	持有	54.43
002209	达 意 隆			2018-09-03	10.30	71	10.0	持有	11.33
300271	华宇软件			2018-10-17	109.87	27	9.95	持有	120.80
002180	艾派克			2018-10-30	114.61	14	9.82	持有	125.87
002702	海欣食品			2018-09-05	29.04	69	9.78	持有	31.88
000422	湖北宜化			2018-10-30	36.31	14	9.69	持有	39.83
002370	亚太药业			2018-08-17	44.12	88	9.56	持有	48.34
002583	海能达			2018-09-19	45.37	55	9.5	持有	49.68
000552	靖远煤电			2018-10-25	16.71	19	9.46	持有	18.29
300350	华鹏飞			2018-10-25	19.80	19	9.44	持有	21.67
300445	康斯特			2018-10-24	40.35	20	9.42	持有	44.15
600446	金证股份			2018-08-13	161.18	92	9.26	持有	176.11
300037	新宙邦			2018-10-23	73.98	21	9.19	持有	80.78
603017	中衡设计			2018-10-30	35.06	14	9.1	持有	38.25
000789	万年青			2018-07-09	46.85	127	9.01	持有	51.07
002451	摩恩电气			2018-08-10	21.96	95	8.93	持有	23.92
000650	仁和药业			2018-09-28	160.65	46	8.91	持有	174.96
002050	三花股份			2018-09-12	98.30	62	8.8	持有	106.95
300422	博世科			2018-09-19	57.77	55	8.79	持有	62.85
002391	长青股份			2018-10-24	38.58	20	8.58	持有	41.89
600419	天润乳业			2018-08-16	40.42	89	8.51	持有	43.86
600221	海南航空			2018-10-22	6.17	22	8.43	持有	6.69
300443	金雷风电			2018-09-05	33.72	69	8.42	持有	36.56
000543	皖能电力			2018-10-22	21.80	22	8.39	持有	23.63
000936	华西股份			2018-08-14	35.65	91	8.3	持有	38.61
002192	融捷股份			2018-08-27	54.40	78	8.29	持有	58.91
300436	广生堂			2018-08-23	51.73	82	8.25	持有	56.00
002672	东江环保			2018-09-17	66.59	57	8.18	持有	72.04
603789	星光农机			2018-10-12	16.07	32	8.15	持有	17.38
300425	环能科技			2018-11-01	35.74	12	8.14	持有	38.65
002229	鸿博股份			2018-08-10	37.08	95	8.09	持有	40.08
601198	东兴证券			2018-08-23	10.27	82	8.08	持有	11.10
600691	阳煤化工			2018-09-19	27.09	55	8.08	持有	29.28
600612	老凤祥			2018-07-16	4888.39	120	8.06	持有	5282.41
002567	唐人神			2018-10-19	22.99	25	8.05	持有	24.84
001696	宗申动力			2018-07-10	106.77	126	8.05	持有	115.37
002543	万和电气			2018-10-22	37.83	22	7.88	持有	40.81
600507	方大特钢			2018-07-11	120.21	125	7.63	持有	129.38
600689	上海三毛			2017-12-29	28.74	319	7.62	持有	30.93
600895	张江高科			2018-06-08	244.21	158	7.61	持有	262.80
603883	老百姓			2018-09-21	61.50	53	7.59	持有	66.17
601225	陕西煤业			2018-08-09	8.31	96	7.58	持有	8.94
002546	新联电子			2018-08-23	35.47	82	7.56	持有	38.15
000043	中航地产			2018-07-02	66.26	134	7.5	持有	71.23
000532	力合股份			2017-12-13	52.50	335	7.49	持有	56.43
000428	华天酒店			2018-09-19	35.75	55	7.38	持有	38.39
300092	科新机电			2018-08-28	15.59	77	7.25	持有	16.72
