code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,pe,peg
600100,同方股份,1.67,413.79,,24.34,,495688.33,462.21,,08-30,同方股份,-0.521,9.55,9.58,9.6,9.52,9.6,2923620,0.13302,27926686,6.579,1.39189820359,2830523.49821,2098977.53729,5.71856287425,0.0138199639292
002157,正邦科技,0.91,9000.0,,17.7,,60969.57,9427.2,10转20,08-15,正邦科技,-1.93,5.59,5.68,5.69,5.58,5.7,4181554,0.22414,23564870,10.75,1.08728571429,1304513.24171,1042852.91839,6.14285714286,0.00068253968254
600129,太极集团,2.26,435.86,,72.62,,96442.98,435.83,,08-20,太极集团,-0.754,15.8,16.06,16.06,15.65,15.92,485200,0.11366,7679347,7.9,5.07697345133,674492.52,674492.52,6.99115044248,0.0160398991476
600177,雅戈尔,1.31,0.77,,14.2,,307059.09,5.78,,08-31,雅戈尔,2.564,9.2,8.96,9.23,8.96,8.97,8256201,0.23053,75207845,6.093,0.997251908397,3294931.56476,3294931.56476,7.02290076336,9.12065034202
600826,兰生股份,1.68,66.34,,20.31,,70617.65,65.43,,08-20,兰生股份,-0.756,13.13,13.21,13.21,13.09,13.23,277300,0.06592,3639446,6.565,1.58732321429,552303.324144,552303.324144,7.81547619048,0.117809408961
000536,华映科技,0.51,1036.75,,13.31,,39767.05,1035.8,,08-12,华映科技,0.217,4.62,4.61,4.63,4.59,4.61,1162160,0.05802,5347950,11.871,1.20572941176,1277907.15499,925410.159828,9.05882352941,0.00873771259167
600015,华夏银行,0.92,5.75,11.54,8.02,6.92,982600.0,6.08,,08-11,华夏银行,-0.221,9.04,9.05,9.05,9.01,9.06,3540095,0.02761,31968658,4.913,0.788052173913,11591708.7343,11591708.7343,9.82608695652,1.70888468809
000625,长安汽车,1.18,8.26,,15.43,,549098.86,7.98,,08-30,长安汽车,-0.318,12.52,12.54,12.56,12.51,12.56,2563700,0.06817,32115447,5.717,1.63714915254,6012915.93577,4708623.09463,10.6101694915,1.28452415152
000958,东方能源,0.44,22.22,,9.93,,24295.63,39.2,,08-17,东方能源,0.0,4.96,4.95,4.97,4.94,4.96,1691220,0.25377,8380816,9.725,1.11938181818,546727.520096,330557.415392,11.2727272727,0.507323459619
601166,兴业银行,1.49,2.76,15.88,9.46,1.46,2944100.0,6.12,,08-30,兴业银行,-0.117,17.14,17.16,17.22,17.12,17.16,15554348,0.08164,266982774,6.188,1.08821744966,35606962.9472,32655705.1912,11.5033557047,4.1678825017
000600,建投能源,0.64,5.4,,10.6,,115464.8,5.5,,08-10,建投能源,-0.521,7.64,7.62,7.67,7.61,7.68,1723430,0.15811,13175384,9.42,1.265375,1368802.55126,832793.712264,11.9375,2.21064814815
600366,宁波韵升,1.38,216.3,,17.71,,74221.25,226.41,,08-31,宁波韵升,1.343,16.6,16.38,16.61,16.33,16.38,1190621,0.22244,19643029,11.209,2.13033333333,924739.3955,888539.03182,12.0289855072,0.0556125081241
300017,网宿科技,0.78,69.38,8.24,12.81,0.65,58581.28,81.78,,07-29,网宿科技,3.056,9.78,9.55,9.8,9.55,9.49,18965274,1.19175,183541052,6.046,1.60617692308,2358267.43235,1556371.996,12.5384615385,0.180721555758
300253,卫宁健康,0.53,394.77,2.71,26.23,-0.07,42345.27,624.16,,08-27,卫宁健康,-0.594,6.69,6.76,6.76,6.69,6.73,1513344,0.13197,10166666,10.432,3.31091886792,1076455.36988,767172.83985,12.6226415094,0.0319746726181
300253,卫宁健康,0.53,394.77,2.71,26.23,-0.07,42345.27,624.16,,08-27,卫宁健康,-0.594,6.69,6.76,6.76,6.69,6.73,1513344,0.13197,10166666,10.432,3.31091886792,1076455.36988,767172.83985,12.6226415094,0.0319746726181
600075,新疆天业,0.59,883.33,3.56,11.56,,26873.39,926.48,,08-30,新疆天业,0.539,7.46,7.42,7.46,7.38,7.42,759688,0.09126,5642283,8.382,1.46165423729,725501.674592,620970.159788,12.6440677966,0.0143140930305
600075,新疆天业,0.59,883.33,3.56,11.56,,26873.39,926.48,,08-30,新疆天业,0.539,7.46,7.42,7.46,7.38,7.42,759688,0.09126,5642283,8.382,1.46165423729,725501.674592,620970.159788,12.6440677966,0.0143140930305
600026,中远海能,0.45,492.52,,5.54,,182035.05,508.52,,08-30,中远海能,-0.327,6.09,6.1,6.14,6.09,6.11,2236300,0.08174,13675275,12.773,0.749746666667,2455508.01235,1666244.01235,13.5333333333,0.0274777335607
600026,中远海能,0.45,492.52,,5.54,,182035.05,508.52,,08-30,中远海能,-0.327,6.09,6.1,6.14,6.09,6.11,2236300,0.08174,13675275,12.773,0.749746666667,2455508.01235,1666244.01235,13.5333333333,0.0274777335607
600919,江苏银行,0.54,14.89,,8.26,,560953.4,14.06,,08-01,江苏银行,-0.403,7.41,7.41,7.43,7.36,7.44,12447092,0.21058,92021729,7.561,1.13345555556,8554437.45,4379936.92601,13.7222222222,0.921573016939
001896,豫能控股,0.38,64.08,,7.94,,32193.18,64.11,,08-20,豫能控股,1.313,5.4,5.36,5.41,5.35,5.33,1187400,0.13883,6391096,10.045,1.12831578947,621317.43738,461844.97704,14.2105263158,0.221762270846
600724,宁波富达,0.26,719.68,,14.11,,37316.04,719.28,,08-23,宁波富达,-0.804,3.7,3.71,3.74,3.69,3.73,392800,0.02718,1457487,41.998,2.00796153846,534739.19627,534628.78568,14.2307692308,0.0197737455963
600064,南京高科,0.99,48.13,,8.36,,76297.95,47.65,,07-28,南京高科,0.356,14.1,14.06,14.1,14.01,14.05,287650,0.03724,4043122,11.76,1.19066666667,1089187.00755,1089187.00755,14.2424242424,0.295915733273
601872,招商轮船,0.3,150.8,,10.75,,157217.12,181.58,,08-29,招商轮船,-0.682,4.37,4.39,4.4,4.37,4.4,1641560,0.03477,7187020,13.242,1.56591666667,2315863.19494,2063042.83053,14.5666666667,0.0965959328028
601872,招商轮船,0.3,150.8,,10.75,,157217.12,181.58,,08-29,招商轮船,-0.682,4.37,4.39,4.4,4.37,4.4,1641560,0.03477,7187020,13.242,1.56591666667,2315863.19494,2063042.83053,14.5666666667,0.0965959328028
603118,共进股份,0.6,20.0,,7.49,,17945.79,31.83,,08-16,共进股份,0.923,8.75,8.63,8.81,8.62,8.67,1126189,0.30315,9838668,8.255,1.09229166667,684089.868,325063.585,14.5833333333,0.729166666667
603118,共进股份,0.6,20.0,,7.49,,17945.79,31.83,,08-16,共进股份,0.923,8.75,8.63,8.81,8.62,8.67,1126189,0.30315,9838668,8.255,1.09229166667,684089.868,325063.585,14.5833333333,0.729166666667
