		code	name	buy_date	buy_price	period	ratio	sell_date	sell_price
600810	神马股份			2017-06-05	22.74	421	142.17	持有	55.07
000916	华北高速			2016-05-27	8.77	556	104.9	持有	17.97
300107	建新股份			2017-10-11	57.14	293	86.12	持有	106.35
002607	亚夏汽车			2017-01-25	43.61	525	81.33	持有	79.08
002628	成都路桥			2018-07-10	16.16	21	74.81	持有	28.25
600282	南钢股份			2017-05-25	17.20	432	57.79	持有	27.14
600789	鲁抗医药			2017-11-14	17.05	259	56.89	持有	26.75
002278	神开股份			2018-06-29	14.37	32	54.56	持有	22.21
600112	天成控股			2018-06-29	12.92	28	54.33	持有	19.94
000955	欣龙控股			2018-07-03	10.48	28	48.19	持有	15.53
600569	安阳钢铁			2018-06-01	8.25	60	44.48	持有	11.92
002374	丽鹏股份			2018-05-10	28.00	55	39.79	持有	39.14
600600	青岛啤酒			2017-08-28	53.68	337	37.13	持有	73.61
601699	潞安环能			2016-01-06	36.61	937	35.02	持有	49.43
300146	汤臣倍健			2017-11-08	369.98	265	33.17	持有	492.69
002460	赣锋锂业			2017-06-14	261.80	412	32.51	持有	346.91
002110	三钢闽光			2018-04-23	18.62	99	32.49	持有	24.67
601877	正泰电器			2017-05-25	30.08	432	32.25	持有	39.78
300047	天源迪科			2017-11-29	37.36	217	31.4	持有	49.09
600197	伊力特			2018-04-09	70.81	113	31.24	持有	92.93
600536	中国软件			2017-11-09	99.09	237	29.27	持有	128.09
300423	鲁亿通			2017-11-29	33.04	217	29.15	持有	42.67
600559	老白干酒			2016-10-11	83.51	658	28.32	持有	107.16
300400	劲拓股份			2018-06-27	40.35	34	21.09	持有	48.86
000736	中房地产			2017-08-01	24.95	337	20.08	持有	29.96
000509	华塑控股			2018-07-25	29.83	6	19.88	持有	35.76
002228	合兴包装			2017-05-31	41.37	399	19.1	持有	49.27
300223	北京君正			2017-06-08	49.90	391	18.28	持有	59.02
002485	希努尔			2017-05-08	35.86	393	17.09	持有	41.99
600507	方大特钢			2018-07-11	120.21	20	17.06	持有	140.72
600438	通威股份			2017-02-22	63.67	524	17.01	持有	74.50
002168	深圳惠程			2018-06-20	147.86	41	15.53	持有	170.83
000717	*ST韶钢			2018-07-12	31.39	19	15.39	持有	36.22
300463	迈克生物			2018-01-23	67.20	162	15.25	持有	77.45
300036	超图软件			2017-11-09	89.41	237	15.1	持有	102.91
600491	龙元建设			2018-06-25	74.19	36	15.04	持有	85.35
300395	菲利华			2018-02-22	62.24	159	14.8	持有	71.45
600486	扬农化工			2018-04-24	183.61	71	14.74	持有	210.68
000630	铜陵有色			2017-11-24	54.74	249	14.67	持有	62.77
002580	圣阳股份			2018-06-25	22.82	36	14.46	持有	26.12
002256	彩虹精化			2017-12-14	63.21	229	14.43	持有	72.33
603636	南威软件			2018-02-26	40.46	91	14.41	持有	46.29
002046	轴研科技			2018-07-09	33.21	22	14.12	持有	37.90
600203	福日电子			2017-05-16	14.90	414	13.96	持有	16.98
000738	中航动控			2018-06-27	23.57	34	13.79	持有	26.82
600967	北方创业			2018-06-25	61.56	36	13.48	持有	69.86
002147	新光圆成			2017-11-29	44.75	49	13.45	持有	50.77
600160	巨化股份			2018-07-06	71.20	25	13.34	持有	80.70
002161	远 望 谷			2017-11-30	94.63	216	13.23	持有	107.15
300070	碧水源			2018-07-16	215.56	15	11.76	持有	240.91
600346	*ST橡塑			2018-04-24	99.03	98	11.7	持有	110.62
002153	石基信息			2018-02-08	455.84	146	11.66	持有	509.00
600641	万业企业			2017-01-24	232.89	447	11.63	持有	259.98
600466	蓝光发展			2016-11-09	36.78	629	11.56	持有	41.03
002199	*ST东晶			2018-06-28	22.70	6	11.23	持有	25.25
600740	山西焦化			2017-12-18	71.95	225	11.04	持有	79.89
600323	瀚蓝环境			2018-04-03	50.44	119	10.98	持有	55.98
601233	桐昆股份			2018-07-09	52.55	22	10.94	持有	58.30
300451	创业软件			2018-06-14	89.67	20	10.78	持有	99.34
601100	恒立液压			2018-07-12	46.98	19	10.54	持有	51.93
002309	中利科技			2017-05-19	46.21	438	10.41	持有	51.02
600072	XD钢构工			2018-07-02	36.94	29	10.18	持有	40.70
603338	浙江鼎力			2018-04-24	164.15	98	9.95	持有	180.48
600529	山东药玻			2017-08-31	85.86	334	9.81	持有	94.28
600339	*ST天利			2018-04-04	16.02	118	9.8	持有	17.59
600246	万通地产			2018-05-03	50.23	89	9.42	持有	54.96
600048	保利地产			2017-11-16	218.17	257	9.37	持有	238.62
600590	泰豪科技			2018-07-09	26.77	22	8.89	持有	29.15
600008	首创股份			2016-06-01	29.12	790	8.72	持有	31.66
000780	平庄能源			2018-07-20	16.53	11	8.53	持有	17.94
603222	济民制药			2018-06-04	18.11	57	8.45	持有	19.64
300327	中颖电子			2018-06-28	43.92	6	8.15	持有	47.50
600236	桂冠电力			2017-12-20	26.14	196	8.03	持有	28.24
000928	中钢国际			2018-04-19	10.38	103	8.0	持有	11.21
000582	北部湾港			2018-07-09	34.93	22	7.9	持有	37.69
600764	中电广通			2017-05-12	238.97	336	7.88	持有	257.79
600119	长江投资			2018-07-03	24.01	28	7.83	持有	25.89
300148	天舟文化			2018-06-28	25.51	33	7.72	持有	27.48
600148	长春一东			2016-02-02	49.04	741	7.67	持有	52.80
300101	振芯科技			2018-02-13	106.06	141	7.46	持有	113.97
600845	宝信软件			2018-06-27	102.74	7	6.94	持有	109.87
600311	荣华实业			2018-06-29	13.19	32	6.75	持有	14.08
000526	银润投资			2018-02-23	65.27	26	6.7	持有	69.64
002024	苏宁云商			2018-02-27	1072.33	154	6.69	持有	1144.08
300054	鼎龙股份			2018-07-09	107.83	22	6.42	持有	114.75
600051	宁波联合			2018-07-09	26.84	22	6.26	持有	28.52
600593	大连圣亚			2018-04-24	42.72	71	6.25	持有	45.39
601566	九牧王			2018-01-22	18.30	163	6.17	持有	19.43
000006	深振业Ａ			2018-07-13	245.50	18	6.16	持有	260.62
600258	首旅酒店			2018-05-07	56.77	58	6.01	持有	60.18
600716	凤凰股份			2018-07-09	16.01	22	5.93	持有	16.96
601700	风范股份			2018-06-29	19.57	32	5.77	持有	20.70
002745	木林森			2018-06-13	32.94	21	5.77	持有	34.84
600391	成发科技			2018-06-26	34.01	35	5.7	持有	35.95
000030	富奥股份			2018-04-10	15.90	85	5.66	持有	16.80
000153	丰原药业			2018-07-02	34.84	29	5.6	持有	36.79
300377	赢时胜			2018-06-27	134.81	7	5.6	持有	142.36
300349	金卡股份			2018-06-29	105.73	32	5.46	持有	111.50
603308	应流股份			2018-07-09	12.26	22	5.46	持有	12.93
000850	华茂股份			2018-07-09	31.03	22	5.45	持有	32.72
