code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,pe,peg
000150,宜华健康,2.08,83296.0,,36.03,,93363.78,82412.04,,08-31,宜华健康,-0.911,28.27,28.79,28.79,28.25,28.53,643500,0.17145,18256511,17.007,4.89696201923,1265944.38728,1061056.30992,13.5913461538,0.000163169253672
000150,宜华健康,2.08,83296.0,,36.03,,93363.78,82412.04,,08-31,宜华健康,-0.911,28.27,28.79,28.79,28.25,28.53,643500,0.17145,18256511,17.007,4.89696201923,1265944.38728,1061056.30992,13.5913461538,0.000163169253672
002027,分众传媒,0.45,56150.0,0.62,34.28,,190117.15,751355.02,,08-31,分众传媒,1.275,12.71,12.58,13.07,12.53,12.55,48184862,0.83023,612772838,24.442,9.68219555556,15546321.5299,7376651.70314,28.2444444444,0.000503017710498
002157,正邦科技,0.91,9000.0,,17.7,,60969.57,9427.2,10转20,08-15,正邦科技,-0.635,6.26,6.26,6.36,6.16,6.3,31114067,1.66781,194017248,12.038,1.2176043956,1460868.1383,1167846.0231,6.87912087912,0.000764346764347
600784,鲁银投资,0.12,11600.0,,4.53,,6675.9,8204.15,,08-20,鲁银投资,0.179,5.59,5.55,5.64,5.55,5.58,2056240,0.3619,11497752,76.575,2.110225,317611.415914,317611.415914,46.5833333333,0.0040158045977
002137,麦达数字,0.23,5971.05,2.76,9.12,,13037.66,7311.04,,08-23,麦达数字,-1.11,7.13,7.1,7.22,7.01,7.21,3462907,1.19127,24648984,27.11,2.8272,413123.839012,207262.883353,31.0,0.00519171669974
002558,巨人网络,1.03,5050.0,,16.18,,49967.2,42634.19,10转20,08-18,巨人网络,-1.741,40.07,40.0,41.01,39.86,40.78,5540520,1.5924,223686315,58.926,6.29449126214,8111690.38752,1394172.57982,38.9029126214,0.00770354705373
300063,天龙集团,0.23,3043.24,7.35,3.24,0.35,6759.84,4473.88,,08-27,天龙集团,0.697,5.78,5.75,5.86,5.73,5.74,3422398,0.83433,19855661,11.798,0.814226086957,419874.7771,237094.223204,25.1304347826,0.00825778932408
000536,华映科技,0.51,1036.75,,13.31,,39767.05,1035.8,,08-12,华映科技,-2.218,4.85,4.9,4.96,4.79,4.96,9109799,0.4548,44313153,12.461,1.26575490196,1341525.90945,971480.36259,9.50980392157,0.00917270694147
600629,华建集团,0.26,6470.0,,11.96,,9436.39,6508.51,,08-10,华建集团,0.062,16.05,16.05,16.17,15.89,16.04,571500,0.16422,9174757,23.873,7.383,693694.05186,558539.699865,61.7307692308,0.00954107716086
