code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb,peg
600129,太极集团,2.26,435.86,,72.62,,96442.98,435.83,,08-20,太极集团,-1.505,19.64,20.0,20.01,19.61,19.94,7302194,1.71054,8.69026548673,6.31087079646,0.0199382037506
000150,宜华健康,2.08,83296.0,,36.03,,93363.78,82412.04,,08-31,宜华健康,-0.21,33.3,33.37,33.5,32.56,33.37,5986235,1.69135,16.0096153846,5.76826442308,0.000192201490883
002027,分众传媒,0.45,56150.0,0.62,34.28,,190117.15,751355.02,,08-31,分众传媒,-2.065,18.02,18.48,18.63,18.0,18.4,10644636,2.09935,40.0444444444,13.7272355556,0.000713169090729
