		code	name	buy_date	buy_price	period	ratio	sell_date	sell_price
002352	鼎泰新材			2016-03-03	37.36	195	262.69	持有	135.50
000839	中信国安			2016-03-08	130.50	190	133.94	持有	305.29
600149	廊坊发展			2016-02-03	32.60	224	130.55	持有	75.16
000913	*ST钱江			2016-02-04	19.23	223	128.65	持有	43.97
000413	东旭光电			2016-05-25	32.57	112	126.99	持有	73.93
002618	丹邦科技			2016-03-03	31.45	195	120.79	持有	69.44
002709	天赐材料			2016-03-08	66.30	190	95.34	持有	129.51
002759	天际股份			2016-03-14	37.43	183	82.02	持有	68.13
300237	美晨科技			2016-03-14	79.98	184	77.43	持有	141.91
300264	佳创视讯			2016-03-08	35.09	177	74.32	持有	61.17
601028	玉龙股份			2016-03-03	14.65	195	71.19	持有	25.08
300076	GQY视讯			2016-03-14	74.89	184	70.45	持有	127.65
000524	岭南控股			2016-03-11	53.14	187	67.43	持有	88.97
300089	文化长城			2016-05-31	37.86	106	65.95	持有	62.83
600119	长江投资			2016-05-25	41.70	112	62.93	持有	67.94
600110	诺德股份			2016-02-02	86.76	150	59.77	持有	138.62
002656	摩登大道			2016-03-02	35.81	153	58.22	持有	56.66
002314	南山控股			2016-02-03	12.41	224	57.7	持有	19.57
002365	永安药业			2016-03-04	32.65	194	54.27	持有	50.37
300327	中颖电子			2016-03-15	37.22	183	53.17	持有	57.01
002685	华东重机			2016-02-03	20.43	224	53.11	持有	31.28
002686	亿利达			2016-03-03	47.02	195	52.79	持有	71.84
000011	深物业A			2016-01-29	34.47	229	52.22	持有	52.47
603268	松发股份			2016-03-07	38.72	191	52.01	持有	58.86
300411	金盾股份			2016-02-03	41.56	83	51.2	持有	62.84
000959	首钢股份			2016-05-27	8.49	108	51.12	持有	12.83
000659	珠海中富			2016-06-28	68.64	51	49.14	持有	102.37
300323	华灿光电			2016-03-15	20.56	31	48.83	持有	30.60
002591	恒大高新			2016-03-03	39.74	42	48.79	持有	59.13
002340	格林美			2016-03-02	86.98	196	48.71	持有	129.35
300353	东土科技			2016-03-03	97.29	111	47.06	持有	143.07
600917	重庆燃气			2016-05-26	9.55	111	45.86	持有	13.93
002479	富春环保			2016-02-02	31.85	225	45.81	持有	46.44
000678	襄阳轴承			2016-03-03	31.30	195	45.08	持有	45.41
002692	远程电缆			2016-06-01	31.56	105	44.55	持有	45.62
300377	赢时胜			2016-02-01	109.65	226	43.58	持有	157.44
600475	华光股份			2016-03-15	33.27	183	43.52	持有	47.75
600768	宁波富邦			2016-02-03	55.73	56	42.62	持有	79.48
300153	科泰电源			2016-05-17	71.58	120	42.04	持有	101.67
600734	实达集团			2016-03-14	51.66	184	41.75	持有	73.23
300256	星星科技			2016-05-26	30.81	111	41.67	持有	43.65
002691	冀凯股份			2015-10-15	16.03	335	40.92	持有	22.59
300441	鲍斯股份			2016-03-17	69.23	181	40.31	持有	97.14
300310	宜通世纪			2016-03-17	104.05	120	40.05	持有	145.72
300026	红日药业			2016-03-07	205.66	191	39.4	持有	286.69
000683	远兴能源			2016-03-02	18.20	196	39.23	持有	25.34
002370	亚太药业			2016-03-17	42.64	181	38.86	持有	59.21
600152	维科精华			2016-02-04	28.15	223	38.51	持有	38.99
002351	漫步者			2016-02-01	35.72	226	37.65	持有	49.17
600355	精伦电子			2016-03-15	35.97	183	37.45	持有	49.44
002185	华天科技			2016-03-14	43.62	184	37.39	持有	59.93
600693	东百集团			2016-06-29	75.67	77	36.76	持有	103.49
600640	号百控股			2016-03-15	140.26	183	36.54	持有	191.51
600322	天房发展			2016-06-29	14.15	77	36.54	持有	19.32
002417	三元达			2016-02-03	31.79	224	35.73	持有	43.15
000333	美的集团			2016-03-02	78.39	196	35.71	持有	106.38
300370	安控科技			2016-05-24	81.00	113	35.56	持有	109.80
002291	星期六			2016-03-07	17.54	191	35.29	持有	23.73
600771	广誉远			2016-05-23	129.83	113	35.12	持有	175.43
600247	ST成城			2016-06-23	54.54	83	34.8	持有	73.52
600853	龙建股份			2016-05-31	10.77	106	33.61	持有	14.39
300226	上海钢联			2016-02-03	146.91	224	33.44	持有	196.04
300391	康跃科技			2016-03-03	39.90	195	33.31	持有	53.19
002156	通富微电			2016-03-14	24.59	150	32.9	持有	32.68
300082	奥克股份			2016-05-24	39.31	113	32.43	持有	52.06
603519	立霸股份			2016-03-15	41.10	183	32.36	持有	54.40
000652	泰达股份			2016-05-26	119.69	111	32.23	持有	158.27
002333	罗普斯金			2016-05-31	34.90	106	31.63	持有	45.94
002319	乐通股份			2016-06-01	35.40	105	30.82	持有	46.31
300099	尤洛卡			2016-03-03	101.89	195	30.42	持有	132.88
000791	甘肃电投			2016-08-04	26.74	41	30.29	持有	34.84
000030	富奥股份			2016-05-27	15.12	110	30.09	持有	19.67
600732	*ST新梅			2016-02-05	28.55	41	29.98	持有	37.11
603636	南威软件			2016-03-14	56.72	184	29.44	持有	73.42
600350	山东高速			2016-05-31	10.19	98	28.95	持有	13.14
300140	启源装备			2016-05-30	67.38	100	28.94	持有	86.88
002023	海特高新			2016-03-14	134.05	184	28.83	持有	172.69
300203	聚光科技			2016-03-14	24.80	184	28.67	持有	31.91
002473	圣莱达			2016-03-09	41.64	189	28.67	持有	53.58
002455	百川股份			2016-03-02	42.25	196	28.26	持有	54.19
002706	良信电器			2016-02-01	58.03	226	28.02	持有	74.29
300066	三川智慧			2016-03-14	122.91	184	27.83	持有	157.12
300309	吉艾科技			2016-05-04	53.42	133	27.44	持有	68.08
000885	同力水泥			2016-01-20	22.14	238	27.15	持有	28.15
300191	潜能恒信			2016-03-17	116.73	181	26.9	持有	148.13
002617	露笑科技			2016-03-14	63.85	53	26.83	持有	80.98
600148	长春一东			2016-02-02	49.04	225	26.81	持有	62.19
000768	中航飞机			2016-05-27	140.22	110	26.76	持有	177.74
600173	卧龙地产			2016-03-02	13.69	51	26.73	持有	17.35
600318	新力金融			2016-02-01	33.42	51	26.48	持有	42.27
600161	天坛生物			2016-03-21	153.99	177	26.31	持有	194.51
600455	博通股份			2016-03-16	44.04	49	26.09	持有	55.53
300303	聚飞光电			2016-06-22	63.15	84	25.76	持有	79.42
600830	香溢融通			2016-05-30	95.63	107	25.55	持有	120.06
000042	中洲控股			2016-04-11	201.84	156	25.32	持有	252.95
601877	正泰电器			2016-02-01	29.54	226	25.15	持有	36.97
600535	天士力			2016-03-02	263.11	196	25.13	持有	329.23
000004	国农科技			2016-03-02	219.30	21	25.06	持有	274.25
300114	中航电测			2016-03-03	83.25	195	24.98	持有	104.05
600346	*ST橡塑			2016-05-20	39.86	117	24.91	持有	49.79
002584	西陇科学			2016-02-04	34.01	218	24.82	持有	42.45
300394	天孚通信			2016-03-14	71.66	184	24.45	持有	89.18
002758	华通医药			2016-03-15	64.70	183	24.33	持有	80.44
002101	广东鸿图			2016-03-15	43.53	45	23.96	持有	53.96
002383	合众思壮			2016-05-04	52.35	133	23.9	持有	64.86
002054	德美化工			2016-05-24	30.36	113	23.88	持有	37.61
603869	北部湾旅			2016-06-27	27.48	79	23.87	持有	34.04
002614	蒙发利			2016-03-02	54.67	196	23.63	持有	67.59
300224	正海磁材			2016-02-04	48.73	223	23.54	持有	60.20
300332	天壕环境			2016-02-02	17.39	225	23.46	持有	21.47
300142	沃森生物			2016-02-01	129.55	49	23.45	持有	159.93
600629	华建集团			2016-03-14	75.28	184	23.42	持有	92.91
600319	*ST亚星			2016-03-07	11.54	183	23.05	持有	14.20
000099	中信海直			2016-02-03	38.92	224	22.92	持有	47.84
000836	鑫茂科技			2016-08-03	56.18	42	22.82	持有	69.00
603338	浙江鼎力			2016-03-15	91.01	183	22.78	持有	111.74
300008	天海防务			2016-05-23	102.03	114	22.72	持有	125.21
000584	友利控股			2016-06-27	44.32	79	22.54	持有	54.31
300131	英唐智控			2016-03-07	146.88	191	22.53	持有	179.97
600178	东安动力			2016-08-08	20.25	37	22.42	持有	24.79
603199	九华旅游			2016-03-08	33.81	190	22.33	持有	41.36
000570	苏常柴Ａ			2016-02-03	41.34	224	22.01	持有	50.44
000785	武汉中商			2016-03-08	68.08	190	22.0	持有	83.06
601058	赛轮金宇			2016-06-17	15.89	89	21.84	持有	19.36
000923	河北宣工			2016-03-14	21.32	22	21.81	持有	25.97
300452	山河药辅			2016-03-14	77.86	184	21.77	持有	94.81
300354	东华测试			2016-03-08	68.15	190	21.76	持有	82.98
300125	易世达			2016-03-09	44.32	189	21.41	持有	53.81
000687	华讯方舟			2016-03-15	54.48	183	21.09	持有	65.97
300172	中电环保			2016-05-31	47.60	106	21.03	持有	57.61
300195	长荣股份			2016-03-10	46.25	188	21.02	持有	55.97
000672	上峰水泥			2016-02-15	34.11	212	20.96	持有	41.26
000531	穗恒运Ａ			2016-05-27	110.48	91	20.94	持有	133.62
002665	首航节能			2016-06-02	110.51	104	20.75	持有	133.44
300345	红宇新材			2016-03-03	43.42	195	20.59	持有	52.36
002719	麦趣尔			2016-05-11	41.82	126	20.56	持有	50.42
603003	龙宇燃油			2016-06-16	19.61	90	20.55	持有	23.64
600819	耀皮玻璃			2016-06-28	20.41	78	20.53	持有	24.60
002743	富煌钢构			2016-06-17	26.95	89	20.48	持有	32.47
000615	京汉股份			2016-05-24	78.59	111	20.47	持有	94.68
000756	新华制药			2016-06-20	15.41	86	20.18	持有	18.52
002478	常宝股份			2016-03-02	11.94	175	19.85	持有	14.31
600856	中天能源			2016-06-03	56.02	103	19.65	持有	67.03
