		code	name	buy_date	buy_price	period	ratio	sell_date	sell_price
600460	士兰微			2016-10-12	98.57	428	125.25	持有	222.03
600507	方大特钢			2017-04-28	67.95	230	110.89	持有	143.30
600782	新钢股份			2017-05-16	32.38	212	109.08	持有	67.70
600346	*ST橡塑			2016-05-20	39.86	574	108.68	持有	83.18
000916	华北高速			2016-05-27	8.77	556	104.9	持有	17.97
600438	通威股份			2017-02-22	63.67	295	92.63	持有	122.65
002517	恺英网络			2017-01-26	61.57	322	80.3	持有	111.01
002460	赣锋锂业			2017-06-14	261.80	183	75.66	持有	459.87
300223	北京君正			2017-06-08	49.90	189	73.69	持有	86.67
300411	金盾股份			2016-02-03	41.56	680	73.46	持有	72.09
600206	有研新材			2017-05-31	34.57	197	60.17	持有	55.37
600291	西水股份			2017-04-07	48.81	251	56.63	持有	76.45
600282	南钢股份			2017-05-25	17.20	203	52.73	持有	26.27
002049	紫光国芯			2016-05-20	152.85	573	51.68	持有	231.84
002493	荣盛石化			2017-04-18	63.73	240	44.45	持有	92.06
601699	潞安环能			2016-01-06	36.61	708	43.98	持有	52.71
600148	长春一东			2016-02-02	49.04	681	43.07	持有	70.16
002222	福晶科技			2017-08-04	36.49	132	41.98	持有	51.81
600690	青岛海尔			2017-08-22	528.66	114	41.79	持有	749.59
600319	*ST亚星			2016-03-07	11.54	647	40.64	持有	16.23
002278	神开股份			2017-06-13	22.43	184	40.21	持有	31.45
000513	丽珠集团			2017-08-14	232.63	122	39.69	持有	324.97
600703	三安光电			2017-08-11	405.86	125	39.64	持有	566.76
603005	晶方科技			2017-02-06	28.18	311	36.44	持有	38.45
600559	老白干酒			2016-10-11	83.51	429	35.9	持有	113.49
600970	中材国际			2016-02-03	73.97	680	35.45	持有	100.19
002294	信立泰			2017-09-06	325.98	99	34.75	持有	439.26
601877	正泰电器			2017-05-25	30.08	203	34.64	持有	40.50
300229	拓尔思			2017-06-05	42.15	192	34.61	持有	56.74
600083	博信股份			2017-05-05	14.06	223	34.5	持有	18.91
300130	新国都			2017-05-04	76.37	224	33.38	持有	101.86
002323	雅百特			2017-09-19	34.33	86	33.35	持有	45.78
002019	亿帆鑫富			2017-04-28	231.24	230	33.17	持有	307.94
601899	紫金矿业			2016-06-01	5.42	561	32.66	持有	7.19
300231	银信科技			2017-11-29	89.47	15	32.13	持有	118.22
600008	首创股份			2016-06-01	29.12	561	31.94	持有	38.42
600520	*ST中发			2017-11-01	41.37	43	30.92	持有	54.16
002485	希努尔			2017-05-08	35.86	220	30.7	持有	46.87
600352	浙江龙盛			2016-11-10	159.10	399	30.03	持有	206.87
300458	全志科技			2017-08-14	50.05	122	29.95	持有	65.04
600584	长电科技			2017-01-04	85.73	344	28.12	持有	109.84
000709	河钢股份			2016-11-10	30.00	399	28.0	持有	38.40
002258	利尔化学			2017-06-08	43.60	189	26.63	持有	55.21
600280	中央商场			2017-08-01	84.71	135	25.39	持有	106.22
600208	新湖中宝			2017-07-24	29.01	143	25.3	持有	36.35
000088	盐 田 港			2016-03-02	45.59	652	24.35	持有	56.69
002210	飞马国际			2017-07-24	112.54	143	24.34	持有	139.93
600121	郑州煤电			2017-05-17	19.59	211	23.79	持有	24.25
002670	华声股份			2016-09-30	31.87	440	22.69	持有	39.10
300285	国瓷材料			2017-06-07	153.41	104	22.5	持有	187.93
002128	露天煤业			2017-01-03	20.88	345	22.13	持有	25.50
000022	深赤湾Ａ			2015-12-07	78.68	711	21.86	持有	95.88
000627	天茂集团			2016-01-29	209.41	685	20.77	持有	252.91
002218	拓日新能			2017-01-25	24.10	323	20.46	持有	29.03
002072	凯瑞德			2017-03-17	26.69	264	19.9	持有	32.00
002531	天顺风能			2017-01-23	51.80	325	19.69	持有	62.00
600295	鄂尔多斯			2017-11-07	39.04	37	19.57	持有	46.68
000615	京汉股份			2016-05-24	78.59	569	19.46	持有	93.88
600215	长春经开			2017-08-18	21.69	118	19.32	持有	25.88
600315	上海家化			2017-06-12	150.15	185	19.13	持有	178.88
000910	大亚科技			2016-12-30	45.55	349	18.97	持有	54.19
603338	浙江鼎力			2017-09-18	154.90	87	18.94	持有	184.24
300091	金通灵			2016-09-30	91.55	355	18.75	持有	108.72
600558	大西洋			2017-05-26	36.11	202	18.58	持有	42.82
600256	广汇能源			2017-10-09	158.04	66	18.55	持有	187.35
002102	冠福股份			2017-11-13	36.43	31	18.25	持有	43.08
600667	太极实业			2017-01-26	37.81	322	18.09	持有	44.65
002023	海特高新			2017-07-28	100.61	139	18.09	持有	118.81
300260	新莱应材			2017-07-31	37.36	74	17.93	持有	44.06
002697	红旗连锁			2016-03-03	38.35	651	17.44	持有	45.04
000825	太钢不锈			2017-05-17	27.88	211	17.43	持有	32.74
601880	大连港			2016-10-12	6.17	428	17.34	持有	7.24
002371	七星电子			2016-11-08	166.12	401	17.28	持有	194.83
000019	深深宝Ａ			2017-06-07	55.60	75	17.05	持有	65.08
