		code	name	buy_date	buy_price	period	ratio	sell_date	sell_price
002352	鼎泰新材			2016-03-03	37.36	407	377.54	持有	178.41
000923	河北宣工			2016-03-14	21.32	394	241.51	持有	72.81
000615	京汉股份			2016-05-24	78.59	323	192.11	持有	229.57
002302	西部建设			2016-10-12	32.15	184	158.48	持有	83.10
300308	中际装备			2016-10-10	49.34	186	133.32	持有	115.12
600008	首创股份			2016-06-01	29.12	316	107.76	持有	60.50
300268	万福生科			2016-06-29	36.71	250	94.91	持有	71.55
600480	凌云股份			2016-05-31	24.42	318	94.27	持有	47.44
601000	唐山港			2017-01-25	14.41	77	91.88	持有	27.65
000839	中信国安			2016-03-08	130.50	402	91.63	持有	250.08
300309	吉艾科技			2016-05-04	53.42	281	90.6	持有	101.82
002455	百川股份			2016-03-02	42.25	408	89.94	持有	80.25
002040	南 京 港			2016-03-09	26.89	401	88.32	持有	50.64
601992	金隅股份			2016-10-25	9.28	169	87.28	持有	17.38
600148	长春一东			2016-02-02	49.04	437	86.58	持有	91.50
000709	河钢股份			2016-11-10	30.00	155	84.43	持有	55.33
300411	金盾股份			2016-02-03	41.56	436	82.63	持有	75.90
002656	摩登大道			2016-03-02	35.81	408	77.69	持有	63.63
600173	卧龙地产			2016-03-02	13.69	294	75.68	持有	24.05
000088	盐 田 港			2016-03-02	45.59	408	74.73	持有	79.66
000605	渤海股份			2016-12-22	52.92	111	71.73	持有	90.88
002759	天际股份			2016-03-14	37.43	396	71.12	持有	64.05
600116	三峡水利			2016-08-15	46.64	242	66.75	持有	77.77
002045	国光电器			2016-03-08	60.83	402	65.0	持有	100.37
601008	连云港			2016-08-12	8.13	245	59.9	持有	13.00
000656	金科股份			2016-02-03	21.61	436	56.04	持有	33.72
300327	中颖电子			2016-03-15	37.22	395	52.1	持有	56.61
300450	先导智能			2016-09-21	184.43	205	50.56	持有	277.67
000524	岭南控股			2016-03-11	53.14	399	50.23	持有	79.83
002365	永安药业			2016-03-04	32.65	406	49.13	持有	48.69
000652	泰达股份			2016-05-26	119.69	323	48.37	持有	177.59
002163	中航三鑫			2016-06-28	32.32	290	47.83	持有	47.78
600970	中材国际			2016-02-03	73.97	436	47.45	持有	109.07
300376	易事特			2016-08-24	161.44	233	46.31	持有	236.20
002651	利君股份			2016-01-22	27.82	448	46.26	持有	40.69
600322	天房发展			2016-06-29	14.15	289	46.15	持有	20.68
000905	厦门港务			2017-01-25	24.91	79	45.4	持有	36.22
002016	世荣兆业			2016-06-22	45.16	296	44.44	持有	65.23
600475	华光股份			2016-03-15	33.27	395	44.33	持有	48.02
002618	丹邦科技			2016-03-03	31.45	407	43.15	持有	45.02
000505	*ST珠江			2016-03-17	27.11	393	41.83	持有	38.45
002478	常宝股份			2016-03-02	11.94	408	41.46	持有	16.89
603997	继峰股份			2017-01-26	18.55	78	40.38	持有	26.04
000912	泸天化			2016-06-20	14.43	298	40.19	持有	20.23
600161	天坛生物			2016-03-21	153.99	389	39.0	持有	214.05
600155	宝硕股份			2017-01-26	39.97	78	37.85	持有	55.10
600326	西藏天路			2016-12-27	49.75	108	37.81	持有	68.56
300082	奥克股份			2016-05-24	39.31	325	36.89	持有	53.81
600346	*ST橡塑			2016-05-20	39.86	329	36.85	持有	54.55
002054	德美化工			2016-05-24	30.36	325	36.69	持有	41.50
002423	*ST中特			2016-08-05	10.11	252	36.4	持有	13.79
002361	神剑股份			2017-01-24	59.44	80	35.5	持有	80.54
600318	新力金融			2016-02-01	33.42	423	35.46	持有	45.27
300117	嘉寓股份			2017-02-06	41.98	59	34.71	持有	56.55
300083	劲胜精密			2017-01-26	54.81	78	34.19	持有	73.55
600178	东安动力			2016-08-08	20.25	249	34.02	持有	27.14
600622	嘉宝集团			2017-01-05	1857.38	99	33.4	持有	2477.73
000778	新兴铸管			2017-04-05	75.44	9	33.28	持有	100.55
000611	*ST蒙发			2016-03-08	35.97	365	33.17	持有	47.90
600249	两面针			2016-05-31	32.15	318	32.88	持有	42.72
600319	*ST亚星			2016-03-07	11.54	403	32.5	持有	15.29
002035	华帝股份			2017-01-20	161.82	84	32.35	持有	214.17
601880	大连港			2016-10-12	6.17	184	31.93	持有	8.14
002043	兔 宝 宝			2017-01-20	74.55	84	31.46	持有	98.00
300332	天壕环境			2016-02-02	17.39	437	31.45	持有	22.86
300397	天和防务			2016-05-23	51.76	326	31.16	持有	67.89
601991	大唐发电			2016-06-21	9.02	297	30.93	持有	11.81
002460	赣锋锂业			2016-09-08	204.27	218	30.6	持有	266.77
600368	五洲交通			2017-01-26	13.56	78	30.46	持有	17.69
600732	*ST新梅			2016-02-05	28.55	41	29.98	持有	37.11
600231	凌钢股份			2016-03-22	18.98	388	29.35	持有	24.55
300065	海兰信			2016-05-23	115.31	198	29.03	持有	148.78
002340	格林美			2017-02-08	113.67	65	29.0	持有	146.63
000958	东方能源			2017-02-09	29.89	64	28.64	持有	38.45
002749	国光股份			2017-01-26	76.61	78	28.49	持有	98.44
601933	永辉超市			2016-10-28	38.40	168	28.28	持有	49.26
002665	首航节能			2016-06-02	110.51	316	27.95	持有	141.40
601600	中国铝业			2016-07-04	3.97	284	27.71	持有	5.07
000022	深赤湾Ａ			2015-12-07	78.68	494	27.62	持有	100.41
603268	松发股份			2016-03-07	38.72	354	27.48	持有	49.36
300391	康跃科技			2016-03-03	39.90	407	27.27	持有	50.78
600009	上海机场			2016-11-16	79.37	149	26.82	持有	100.66
300423	鲁亿通			2016-03-14	32.35	347	26.68	持有	40.98
002726	龙大肉食			2017-01-26	35.26	78	26.66	持有	44.66
600863	内蒙华电			2016-05-25	49.22	324	26.51	持有	62.27
300103	达刚路机			2017-02-06	67.86	67	26.5	持有	85.84
002204	大连重工			2016-10-10	20.14	186	26.46	持有	25.47
600533	XD栖霞建			2016-08-08	43.98	249	26.4	持有	55.59
000518	四环生物			2016-08-16	54.80	241	26.19	持有	69.15
601699	潞安环能			2016-01-06	36.61	464	26.17	持有	46.19
002059	云南旅游			2016-11-30	19.55	135	25.98	持有	24.63
300122	智飞生物			2017-01-25	62.56	79	25.69	持有	78.63
002565	上海绿新			2017-02-07	40.17	66	25.32	持有	50.34
600255	鑫科材料			2016-02-02	52.89	402	25.13	持有	66.18
002543	万和电气			2017-01-25	41.72	79	25.12	持有	52.20
300172	中电环保			2016-05-31	47.60	318	25.11	持有	59.55
300377	赢时胜			2016-02-01	109.65	438	24.63	持有	136.66
600563	法拉电子			2017-01-26	89.81	78	24.11	持有	111.46
300008	天海防务			2016-05-23	102.03	326	24.01	持有	126.53
000531	穗恒运Ａ			2016-05-27	110.48	322	24.0	持有	137.00
000970	中科三环			2017-01-24	196.95	80	23.95	持有	244.11
300192	科斯伍德			2016-08-15	42.19	200	23.61	持有	52.15
002642	荣之联			2016-12-28	94.25	100	23.02	持有	115.95
002697	红旗连锁			2016-03-03	38.35	407	22.95	持有	47.15
600420	现代制药			2016-10-10	127.43	186	22.84	持有	156.54
600828	茂业商业			2017-02-21	78.12	52	22.73	持有	95.88
300075	数字政通			2016-03-14	132.13	396	22.67	持有	162.08
000049	德赛电池			2017-01-19	216.52	85	22.57	持有	265.39
002430	杭氧股份			2016-09-07	17.52	219	22.2	持有	21.41
000042	中洲控股			2016-04-11	201.84	368	22.0	持有	246.25
000158	常山股份			2017-01-26	25.55	78	21.68	持有	31.09
000090	天健集团			2016-06-29	36.44	289	21.62	持有	44.32
600702	沱牌舍得			2016-10-10	73.53	186	21.56	持有	89.38
300424	航新科技			2016-02-02	53.82	437	21.55	持有	65.42
002431	棕榈股份			2016-10-24	108.26	172	21.34	持有	131.36
600586	金晶科技			2016-05-31	52.51	318	21.1	持有	63.59
000570	苏常柴Ａ			2016-02-03	41.34	436	20.9	持有	49.98
