code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb,peg
000150,宜华健康,2.08,83296.0,,36.03,,93363.78,82412.04,,08-31,宜华健康,0.768,28.88,28.77,29.39,28.77,28.66,5441423,1.53742,13.8846153846,5.00262692308,0.000166690061763
002157,正邦科技,0.91,9000.0,,17.7,,60969.57,9427.2,10转20,08-15,正邦科技,-0.962,6.18,6.24,6.25,6.18,6.24,14254029,1.04576,6.79120879121,1.20204395604,0.000754578754579
002714,牧原股份,2.07,1970.0,,26.43,,107242.89,2189.93,,07-21,牧原股份,0.0,27.18,27.19,27.57,27.0,27.18,11010369,1.82869,13.1304347826,3.47037391304,0.00666519532112
600784,鲁银投资,0.12,11600.0,,4.53,,6675.9,8204.15,,08-20,鲁银投资,0.424,9.47,9.43,9.53,9.3,9.43,11975988,2.10779,78.9166666667,3.574925,0.00680316091954
002137,麦达数字,0.23,5971.05,2.76,9.12,,13037.66,7311.04,,08-23,麦达数字,-1.263,12.51,12.61,12.82,12.46,12.67,7828351,2.83827,54.3913043478,4.96048695652,0.00910916913237
002477,雏鹰农牧,0.14,2686.54,,9.83,,45423.2,8694.1,,08-12,雏鹰农牧,-1.027,4.82,4.87,4.87,4.81,4.87,17031327,0.88793,34.4285714286,3.38432857143,0.0128152089411
002558,世纪游轮,1.03,5050.0,,16.18,,49967.2,42634.19,10转20,08-18,世纪游轮,4.548,79.99,75.42,82.86,75.42,76.51,4610366,7.15934,77.6601941748,12.5654194175,0.0153782562722
600246,万通地产,0.22,1684.43,,8.67,,26490.33,1689.53,,08-31,万通地产,-2.058,5.71,5.81,5.83,5.7,5.83,10855975,0.89217,25.9545454545,2.25025909091,0.015408503443
600129,太极集团,2.26,435.86,,72.62,,96442.98,435.83,,08-20,太极集团,-1.544,17.85,18.17,18.18,17.85,18.13,4164065,0.97543,7.8982300885,5.73569469027,0.0181210253028
600100,同方股份,1.67,413.79,,24.34,,495688.33,462.21,,08-30,同方股份,-1.412,13.96,14.17,14.22,13.93,14.16,35507176,1.61552,8.35928143713,2.0346491018,0.0202017483195
000536,华映科技,0.51,1036.75,,13.31,,39767.05,1035.8,,08-12,华映科技,-0.413,12.06,12.11,12.2,12.05,12.11,8358401,1.07562,23.6470588235,3.14742352941,0.0228088341679
600075,新疆天业,0.59,883.33,3.56,11.56,,26873.39,926.48,,08-30,新疆天业,0.216,13.9,13.83,14.16,13.78,13.87,16389036,3.73674,23.5593220339,2.72345762712,0.0266710312498
002067,景兴纸业,0.16,1500.0,,5.87,,17712.76,2718.83,,08-25,景兴纸业,-1.903,6.7,6.85,6.85,6.69,6.83,16713350,1.74043,41.875,2.4580625,0.0279166666667
600026,中远海能,0.45,492.52,,5.54,,182035.05,508.52,,08-30,中远海能,-1.818,7.02,7.16,7.17,6.99,7.15,20063676,0.73331,15.6,0.86424,0.0316738406562
600724,宁波富达,0.26,719.68,,14.11,,37316.04,719.28,,08-23,宁波富达,-1.159,5.97,6.03,6.06,5.94,6.04,6543919,0.45288,22.9615384615,3.23987307692,0.0319052057325
601966,玲珑轮胎,0.56,1300.0,,11.95,,55673.7,1379.04,,08-24,玲珑轮胎,-1.375,26.54,26.95,27.08,26.5,26.91,6293949,3.14697,47.3928571429,5.66344642857,0.036456043956
000687,华讯方舟,0.15,2990.0,,10.0,,11699.11,2985.21,,08-17,华讯方舟,1.862,16.96,16.7,17.3,16.67,16.65,16630350,3.12934,113.066666667,11.3066666667,0.0378149386845
000957,中通客车,0.98,390.0,,12.78,,29183.11,504.73,,08-19,中通客车,-2.274,15.9,16.27,16.32,15.88,16.27,11297507,2.36856,16.2244897959,2.07348979592,0.041601255887
600077,宋都股份,0.08,1460.0,,2.72,,10447.83,1360.56,,08-30,宋都股份,-1.46,5.4,5.48,5.48,5.38,5.48,13950565,1.04099,67.5,1.836,0.0462328767123
601012,隆基股份,0.49,600.0,,14.18,,86082.8,634.17,,08-18,隆基股份,-0.38,15.71,15.69,15.99,15.68,15.77,20997086,1.19547,32.0612244898,4.54628163265,0.0534353741497
000667,美好置业,0.11,646.15,,4.54,,27323.28,648.7,,07-20,美好置业,-1.292,3.82,3.85,3.86,3.81,3.87,36069148,1.42009,34.7272727273,1.57661818182,0.0537449086548
002270,华明装备,0.18,1400.0,,5.4,,9299.35,3952.71,,08-26,华明装备,-1.412,14.66,14.9,14.96,14.66,14.87,5210076,2.5209,81.4444444444,4.398,0.0581746031746
600477,杭萧钢构,0.27,602.56,,12.65,,22126.56,683.03,,08-27,杭萧钢构,-1.708,10.36,10.59,10.67,10.35,10.54,17178490,2.14054,38.3703703704,4.85385185185,0.0636789205562
600366,宁波韵升,1.38,216.3,,17.71,,74221.25,226.41,,08-31,宁波韵升,-1.417,20.18,20.47,20.54,20.16,20.47,8032194,1.51841,14.6231884058,2.58976666667,0.0676060490328
002579,中京电子,0.26,766.67,,13.19,,9160.45,782.62,,08-20,中京电子,-2.236,14.43,14.76,14.76,14.32,14.76,9137987,2.60743,55.5,7.32045,0.0723909896044
600547,山东黄金,0.39,1200.0,,5.58,,55395.1,1051.76,,08-30,山东黄金,-0.853,36.02,36.34,36.52,35.92,36.33,17547422,1.23307,92.358974359,5.15363076923,0.0769658119658
002517,恺英网络,0.36,1100.0,,27.41,,24521.46,5254.02,,07-19,恺英网络,-2.66,31.1,31.7,31.8,30.95,31.95,3207707,1.6106,86.3888888889,23.6791944444,0.0785353535354
600644,乐山电力,0.31,345.43,,15.12,,16521.38,345.46,,08-24,乐山电力,-2.381,9.02,9.24,9.26,9.0,9.24,9380538,2.87323,29.0967741935,4.39943225806,0.0842334892556
000034,神州数码,0.45,608.59,,14.61,,25183.67,1005.88,,08-30,神州数码,-1.143,23.35,23.61,23.69,23.3,23.62,3376707,0.94333,51.8888888889,7.58096666667,0.0852608305902
300073,当升科技,0.2,3226.67,6.98,2.9,-0.29,3652.6,3715.77,,08-23,当升科技,-2.507,55.23,56.65,56.99,55.01,56.65,9601912,5.88234,276.15,8.00835,0.0855835892732
300253,卫宁健康,0.53,394.77,2.71,26.23,-0.07,42345.27,624.16,,08-27,卫宁健康,-0.635,18.77,18.9,19.17,18.73,18.89,9221837,1.53759,35.4150943396,9.28937924528,0.0897107032946
002645,华宏科技,0.16,1936.36,,2.18,,3283.44,2622.96,,08-18,华宏科技,-2.754,27.9,28.55,29.25,27.88,28.69,4082294,2.74664,174.375,3.801375,0.090052986015
000890,法尔胜,0.1,1230.77,,3.18,,3939.49,1236.09,,08-26,法 尔 胜,-2.01,11.7,11.95,11.95,11.63,11.94,9251668,2.43706,117.0,3.7206,0.095062440586
600537,亿晶光电,0.24,300.0,,9.61,,27826.01,736.42,,08-23,亿晶光电,-0.41,7.29,7.32,7.39,7.28,7.32,14152487,1.20308,30.375,2.9190375,0.10125
002105,信隆健康,0.05,2400.0,,3.94,,1824.42,2025.4,,08-18,信隆健康,-1.433,13.07,13.3,13.36,13.07,13.26,9378098,2.54494,261.4,10.29916,0.108916666667
000548,湖南投资,0.09,944.44,,3.11,,4690.77,973.91,,08-27,湖南投资,-1.162,9.36,9.44,9.56,9.35,9.47,16016285,3.20838,104.0,3.2344,0.110118165262
