code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb
300059,东方财富,0.87,1579.92,1.97,56.95,0.22,147540.98,2255.16,,10-27,东方财富,2.912,59.38,58.27,60.78,57.8,57.7,95129674,7.36722,68.2528735632,38.8700114943
002568,百润股份,0.78,168.97,,53.73,,70102.57,1395.58,,10-29,百润股份,2.442,43.63,42.86,43.8,42.72,42.59,6599637,3.07614,55.9358974359,30.0543576923
600766,园城黄金,0.11,83.33,,51.89,,2442.88,87.1,,10-30,园城黄金,0.052,19.1,19.06,19.42,18.75,19.09,9153065,4.08743,173.636363636,90.0999090909
002323,雅百特,1.07,750.99,,42.13,,16360.8,1109.3,,10-30,雅百特,3.04,36.61,36.0,37.11,35.71,35.53,5211421,6.2411,34.214953271,14.4147598131
603169,兰石重装,0.7,622.5,,40.96,,66216.51,1291.84,,10-29,兰石重装,2.542,18.96,19.13,19.42,18.85,18.49,15700983,4.06021,27.0857142857,11.0943085714
600894,广日股份,2.33,278.02,,37.73,,200280.86,296.32,,10-29,广日股份,1.302,21.01,20.98,21.19,20.81,20.74,16336895,1.89976,9.01716738197,3.40217725322
000963,华东医药,2.14,69.06,,36.97,,92741.52,69.07,,10-22,华东医药,1.495,80.8,79.8,81.49,79.6,79.61,3187669,0.73438,37.7570093458,13.9587663551
603885,吉祥航空,1.83,110.34,,35.11,,97222.84,122.51,10派6转10,10-31,吉祥航空,4.627,71.9,69.01,72.51,69.01,68.72,5306479,7.80365,39.2896174863,13.7945846995
300033,同花顺,0.91,1037.5,3.09,34.36,1.78,48930.88,2179.66,,10-22,同花顺,1.976,83.08,81.15,85.0,81.1,81.47,25740667,9.82475,91.2967032967,31.3695472527
600398,海澜之家,0.51,37.84,,30.06,,228957.28,41.95,,10-20,海澜之家,2.339,14.44,14.14,14.46,14.14,14.11,7890982,0.52538,28.3137254902,8.51110588235
