code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb,peg
000059,华锦股份,0.57,281.08,,9.73,,90519.78,281.15,,08-27,华锦股份,-1.675,11.15,11.25,11.39,11.04,11.34,29764807,2.1261,19.5614035088,1.9033245614,0.069593722459
600736,苏州高新,0.22,557.44,,5.22,,26384.59,626.79,,08-16,苏州高新,0.114,8.77,8.77,8.85,8.75,8.76,3532700,0.31017,39.8636363636,2.08088181818,0.0715119768291
002407,多氟多,0.4,900.0,,11.41,,25039.14,2532.78,,08-18,多氟多,-2.028,27.06,27.47,27.82,27.03,27.62,9252266,1.75908,67.65,7.718865,0.0751666666667
600547,山东黄金,0.39,1200.0,,5.58,,55395.1,1051.76,,08-30,山东黄金,-0.729,35.41,35.62,35.95,35.31,35.67,16065820,1.12895,90.7948717949,5.06635384615,0.0756623931624
600644,乐山电力,0.31,345.43,,15.12,,16521.38,345.46,,08-24,乐山电力,-0.889,8.92,8.94,9.05,8.83,9.0,3379099,1.03501,28.7741935484,4.35065806452,0.0832996368248
002517,恺英网络,0.36,1100.0,,27.41,,24521.46,5254.02,,07-19,恺英网络,-0.566,33.36,33.32,33.88,33.29,33.55,825623,0.51309,92.6666666667,25.3999333333,0.0842424242424
000034,神州数码,0.45,608.59,,14.61,,25183.67,1005.88,,08-30,神州数码,-1.088,23.64,23.9,24.06,23.49,23.9,2241743,0.62626,52.5333333333,7.67512,0.0863197445461
600980,北矿科技,0.08,3452.17,,2.55,,1243.9,4009.09,,08-20,北矿科技,-0.121,24.68,24.74,24.93,24.32,24.71,1009349,0.70423,308.5,7.86675,0.0893640811432
300022,吉峰农机,0.06,1803.03,0.69,9.58,0.2,2387.51,1926.79,,08-26,吉峰农机,2.304,9.77,9.65,10.24,9.61,9.55,41286485,12.85655,162.833333333,15.5994333333,0.0903109395481
000548,湖南投资,0.09,944.44,,3.11,,4690.77,973.91,,08-27,湖南投资,-1.483,7.97,8.06,8.1,7.96,8.09,3501037,0.70133,88.5555555556,2.75407777778,0.0937651471301
000890,法尔胜,0.1,1230.77,,3.18,,3939.49,1236.09,,08-26,法 尔 胜,-2.515,11.63,11.87,11.97,11.6,11.93,4961447,1.30717,116.3,3.69834,0.0944936909414
300253,卫宁健康,0.53,394.77,2.71,26.23,-0.07,42345.27,624.16,,08-27,卫宁健康,-1.246,19.81,20.0,20.05,19.74,20.06,6511123,1.0876,37.3773584906,9.80408113208,0.0946813549423
002645,华宏科技,0.16,1936.36,,2.18,,3283.44,2622.96,,08-18,华宏科技,-2.697,29.58,30.41,30.58,29.55,30.4,1817831,1.22307,184.875,4.030275,0.0954755314094
600537,亿晶光电,0.24,300.0,,9.61,,27826.01,736.42,,08-23,亿晶光电,1.808,7.32,7.18,7.46,7.05,7.19,38539158,3.27614,30.5,2.93105,0.101666666667
002105,信隆健康,0.05,2400.0,,3.94,,1824.42,2025.4,,08-18,信隆健康,-6.823,13.11,14.51,14.8,13.01,14.07,41132212,11.16207,262.2,10.33068,0.10925
601872,招商轮船,0.3,150.8,,10.75,,157217.12,181.58,,08-29,招商轮船,0.198,5.06,5.05,5.09,5.03,5.05,20666361,0.43776,16.8666666667,1.81316666667,0.111847922193
300131,英唐智控,0.09,911.83,1.66,5.81,-0.02,10068.59,2579.28,,07-29,英唐智控,-1.921,9.19,9.33,9.42,9.15,9.37,4324700,0.68886,102.111111111,5.93265555556,0.111984811984
002466,天齐锂业,0.76,378.98,,21.52,,74679.99,1722.5,,08-23,天齐锂业,-3.0,33.3,34.5,34.53,33.28,34.33,12506526,1.26859,43.8157894737,9.42915789474,0.11561504426
002587,奥拓电子,0.07,1673.17,,4.47,,2734.1,1667.77,,08-09,奥拓电子,0.0,14.42,14.43,14.65,14.33,14.42,8831837,3.67851,206.0,9.2082,0.12311958737
000587,金洲慈航,0.46,253.85,,6.26,,48933.42,581.92,,08-24,金洲慈航,-1.224,14.53,14.7,14.78,14.39,14.71,6496521,1.12764,31.5869565217,1.97734347826,0.124431579759
002607,亚夏汽车,0.08,1042.86,,2.82,,3277.88,1163.93,,08-23,亚夏汽车,-2.762,10.56,10.74,10.88,10.51,10.86,3940013,1.46686,132.0,3.7224,0.126574995685
600406,国电南瑞,0.12,1100.0,,3.47,,28051.89,1025.43,,08-25,国电南瑞,1.08,16.85,16.55,16.88,16.45,16.67,37640935,1.70649,140.416666667,4.87245833333,0.127651515152
002366,台海核电,0.65,622.22,,18.26,,28312.78,2367.31,,08-16,台海核电,-1.189,54.0,54.65,55.55,54.0,54.65,1839724,0.79712,83.0769230769,15.1698461538,0.133516960363
600810,神马股份,0.09,800.0,,1.61,,3890.88,586.05,,08-20,神马股份,-1.4,9.86,9.9,10.35,9.8,10.0,23933452,5.41138,109.555555556,1.76384444444,0.136944444444
300058,蓝色光标,0.18,350.0,2.39,7.94,-0.11,35064.46,307.11,,08-13,蓝色光标,-2.484,9.03,9.26,9.28,9.0,9.26,13826571,0.97323,50.1666666667,3.98323333333,0.143333333333
000546,金圆股份,0.13,596.86,,4.2,,7964.92,595.58,,08-27,金圆股份,-1.736,11.32,11.58,11.59,11.3,11.52,2015493,0.73653,87.0769230769,3.65723076923,0.145891705051
000601,韶能股份,0.35,167.59,,9.04,,37387.07,167.53,,08-29,韶能股份,1.405,8.66,8.54,8.68,8.52,8.54,14584275,1.35064,24.7428571429,2.23675428571,0.14763922157
000913,*ST钱江,0.11,1000.0,,2.45,,5043.78,645.96,,08-30,*ST钱江,1.565,17.52,17.19,17.72,17.17,17.25,2766798,0.61018,159.272727273,3.90218181818,0.159272727273
600771,广誉远,0.08,2566.67,,2.97,,2152.65,2689.35,,08-30,广誉远,-0.547,32.72,33.02,33.48,32.5,32.9,2438072,0.99999,409.0,12.1473,0.159350442402
002594,比亚迪,0.87,357.89,,7.14,,225969.6,384.23,10派3.67,08-29,比亚迪,-2.336,50.18,51.44,51.45,50.11,51.38,4122800,0.49058,57.6781609195,4.11822068966,0.161161700298
600517,置信电气,0.15,400.0,,6.09,,20008.93,544.04,,08-18,置信电气,-3.08,10.07,10.28,10.31,10.05,10.39,7634156,0.6855,67.1333333333,4.08842,0.167833333333
002112,三变科技,0.2,566.67,,8.17,,4124.4,617.13,,08-26,三变科技,0.207,19.32,19.28,19.42,19.22,19.28,2210256,1.21009,96.6,7.89222,0.170469585473
002746,仙坛股份,0.48,700.0,,7.39,,7638.26,788.8,,08-13,仙坛股份,0.454,57.52,57.2,57.8,56.01,57.26,3937827,6.98816,119.833333333,8.85568333333,0.17119047619
300242,明家联合,0.36,200.0,6.51,5.61,-0.56,11325.97,971.26,10转10,08-26,明家联合,-2.038,14.42,14.67,14.83,14.35,14.72,8542286,3.07954,40.0555555556,2.24711666667,0.200277777778
600269,赣粤高速,0.32,77.78,,5.58,,73900.78,73.48,,08-09,赣粤高速,-1.378,5.01,5.07,5.08,5.0,5.08,12192244,0.52206,15.65625,0.87361875,0.201288891746
000825,太钢不锈,0.05,381.82,,1.41,,30155.27,371.75,,08-27,太钢不锈,0.0,4.0,3.98,4.01,3.97,4.0,20765777,0.36456,80.0,1.128,0.209522811796
002079,苏州固锝,0.07,610.0,,3.83,,5162.5,625.65,,08-19,苏州固锝,-1.404,9.13,9.26,9.31,9.11,9.26,4983135,0.68636,130.428571429,4.99541428571,0.213817330211
002016,世荣兆业,0.17,267.93,,7.58,,13366.65,294.48,,08-29,世荣兆业,0.0,9.89,9.91,10.06,9.88,9.89,2319340,0.35898,58.1764705882,4.40977647059,0.21713309666
000040,东旭蓝天,0.17,325.0,,5.86,,8048.99,290.61,,08-27,东旭蓝天,0.824,12.24,12.11,12.58,12.11,12.14,4215427,0.90736,72.0,4.2192,0.221538461538
300008,天海防务,0.34,314.46,7.42,6.41,-0.66,10171.56,389.61,,08-27,天海防务,5.603,24.5,22.95,25.5,22.95,23.2,21224897,11.50356,72.0588235294,4.61897058824,0.229151000221
601992,金隅股份,0.34,54.55,,4.67,,182114.53,73.82,,08-30,金隅股份,0.231,4.33,4.31,4.34,4.25,4.32,18022551,0.2523,12.7352941176,0.594738235294,0.233460937079
002359,齐星铁塔,0.05,2278.26,,2.39,,2279.91,2316.5,,08-10,齐星铁塔,1.053,26.88,26.5,27.1,26.4,26.6,1955723,0.51019,537.6,12.84864,0.235969555714
