code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb
601633,长城汽车,2.04,11.14,,17.51,,620858.11,11.14,,10-24,长城汽车,-2.172,12.16,12.33,12.4,12.1,12.43,28284711,0.46924,5.96078431373,1.04373333333
601939,建设银行,0.77,1.32,5.5,14.59,,19155700.0,0.66,,10-30,建设银行,0.0,5.9,5.89,5.93,5.83,5.9,70227234,0.73202,7.66233766234,1.11793506494
601166,兴业银行,2.16,7.46,15.87,15.75,31.86,4122100.0,7.62,,10-28,兴业银行,0.232,17.27,17.3,17.38,17.02,17.23,126962106,0.7847,7.99537037037,1.25927083333
601818,光大银行,0.51,2.0,4.21,12.62,,2387500.0,2.37,,10-31,光大银行,-0.915,4.33,4.37,4.38,4.27,4.37,204391577,0.51341,8.49019607843,1.0714627451
600016,民生银行,1.1,1.85,8.02,14.47,3.36,3837700.0,4.35,,10-31,民生银行,-1.366,9.39,9.5,9.57,9.25,9.52,174200568,0.58948,8.53636363636,1.23521181818
600894,广日股份,2.33,278.02,,37.73,,200280.86,296.32,,10-29,广日股份,1.006,21.09,20.8,21.27,20.54,20.88,14234084,1.65523,9.05150214592,3.41513175966
600036,招商银行,1.92,5.49,13.84,14.63,6.98,4850000.0,5.89,,10-30,招商银行,-0.275,18.14,18.18,18.31,18.01,18.19,37409210,0.18134,9.44791666667,1.38223020833
600011,华能国际,0.92,29.58,,18.4,,1323475.27,32.41,,10-21,华能国际,-1.866,8.94,9.04,9.1,8.86,9.11,16323426,0.15546,9.71739130435,1.788
000543,皖能电力,0.9,34.33,,10.97,,94712.79,33.45,,10-23,皖能电力,-2.879,8.77,8.92,8.98,8.69,9.03,31233234,1.79216,9.74444444444,1.06896555556
600027,华电国际,0.68,24.13,,18.45,,606858.8,42.74,,10-28,华电国际,-1.986,6.91,6.99,7.01,6.86,7.05,27859370,0.46901,10.1617647059,1.87484558824
000966,长源电力,1.4,25.09,,29.14,,77793.68,25.09,,10-28,长源电力,-2.397,14.66,14.87,14.95,14.37,15.02,10434180,1.88294,10.4714285714,3.05137428571
601998,中信银行,0.7,1.45,6.29,11.92,0.85,3292600.0,2.0,,10-28,中信银行,-0.778,7.65,7.63,7.79,7.5,7.71,116499917,0.36514,10.9285714286,1.30268571429
601668,中国建筑,0.6,5.26,5.36,11.8,-0.52,1904355.2,12.67,,10-30,中国建筑,-1.497,6.58,6.7,6.72,6.53,6.68,148111159,0.49535,10.9666666667,1.29406666667
600177,雅戈尔,1.46,65.91,,18.32,,325243.25,65.81,,10-30,雅戈尔,-2.65,16.9,17.26,17.5,16.62,17.36,62488393,2.80643,11.5753424658,2.12060273973
000625,长安汽车,1.45,23.93,,23.76,,674084.32,23.62,,10-31,长安汽车,-2.297,17.44,17.78,17.97,17.25,17.85,36626133,1.08121,12.0275862069,2.85775448276
000333,美的集团,2.6,22.64,,25.46,,1101210.27,23.0,,10-29,美的集团,-2.311,31.7,32.43,32.43,31.17,32.45,16999229,0.75911,12.1923076923,3.10416153846
600741,华域汽车,1.41,4.92,,14.91,,363407.92,4.89,,10-29,华域汽车,0.69,17.5,17.45,17.6,16.99,17.38,19445602,0.75277,12.4113475177,1.85053191489
000623,吉林敖东,2.26,120.76,,13.76,,201805.95,120.77,,10-31,吉林敖东,-3.64,31.24,32.14,32.32,30.78,32.42,45172963,5.59813,13.8230088496,1.9020460177
600020,中原高速,0.49,106.63,,13.44,,109999.09,106.65,,10-28,中原高速,-1.453,6.78,6.83,6.88,6.67,6.88,47442450,2.11102,13.8367346939,1.85965714286
601788,光大证券,1.73,564.58,,20.16,,599969.44,567.69,,10-31,光大证券,-4.235,23.97,24.7,24.87,23.42,25.03,73492403,2.15016,13.8554913295,2.79326705202
000776,广发证券,1.51,196.08,,18.02,,1038601.72,241.58,,10-31,广发证券,-3.578,21.02,21.36,21.62,20.51,21.8,129867715,2.19397,13.9205298013,2.5084794702
601211,国泰君安,1.75,173.44,,20.2,,1196111.1,204.08,,10-30,国泰君安,-4.136,24.57,25.25,25.3,24.3,25.63,72062625,4.72542,14.04,2.83608
600999,招商证券,1.52,210.45,,19.54,,883344.09,248.67,,10-31,招商证券,-4.237,22.6,23.38,23.38,22.2,23.6,48945691,1.01904,14.8684210526,2.90528947368
002736,国信证券,1.35,237.5,,28.5,,1108258.26,302.67,,10-28,国信证券,-3.258,20.19,20.59,20.68,19.89,20.87,36149530,3.01246,14.9555555556,4.26233333333
