code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,pe,peg
601992,金隅集团,0.34,54.55,,4.67,,182114.53,73.82,,08-30,金隅集团,0.474,4.24,4.21,4.31,4.21,4.22,26473769,0.32501,112674595,15.704,0.582376470588,4527374.96082,3453683.10448,12.4705882353,0.22860840028
601222,林洋能源,0.5,8.7,,3.66,,22045.18,30.37,10派2转25,08-26,林洋能源,-1.923,6.63,6.75,6.77,6.6,6.76,9903483,0.56628,65937450,17.0,0.485316,1170653.676,1159497.7728,13.26,1.52413793103
601872,招商轮船,0.3,150.8,,10.75,,157217.12,181.58,,08-29,招商轮船,-1.932,4.06,4.14,4.14,4.04,4.14,17535130,0.37143,71501955,33.833,1.45483333333,2151579.99347,1916694.25445,13.5333333333,0.0897435897436
000059,华锦股份,0.57,281.08,,9.73,,90519.78,281.15,,08-27,华锦股份,-3.106,7.8,8.0,8.04,7.79,8.05,17732651,1.10868,139801570,6.783,1.33147368421,1247565.17886,1247562.48318,13.6842105263,0.048684397774
600919,江苏银行,0.54,14.89,,8.26,,560953.4,14.06,,08-01,江苏银行,1.361,7.45,7.39,7.48,7.36,7.35,42956918,0.721,319779388,7.233,1.13957407407,8600615.25,4438701.55021,13.7962962963,0.926547770067
300026,红日药业,0.31,10.71,5.55,5.75,0.15,31142.14,25.7,10转20,08-26,红日药业,-0.926,4.28,4.32,4.34,4.28,4.32,15105078,0.63097,65086261,28.533,0.793870967742,1288731.4514,1024610.67832,13.8064516129,1.28911779766
300026,红日药业,0.31,10.71,5.55,5.75,0.15,31142.14,25.7,10转20,08-26,红日药业,-0.926,4.28,4.32,4.34,4.28,4.32,15105078,0.63097,65086261,28.533,0.793870967742,1288731.4514,1024610.67832,13.8064516129,1.28911779766
600269,赣粤高速,0.32,77.78,,5.58,,73900.78,73.48,,08-09,赣粤高速,-0.652,4.57,4.59,4.6,4.56,4.6,4713200,0.20181,21567232,10.881,0.79689375,1067281.0054,1067281.0054,14.28125,0.183610825405
000501,鄂武商A,0.96,11.63,,10.62,,51529.66,18.22,,08-20,鄂武商Ａ,-2.958,13.78,14.15,14.2,13.74,14.2,4553261,0.67212,63462586,8.301,1.5244125,1059671.98332,933517.786526,14.3541666667,1.23423617082
000501,鄂武商A,0.96,11.63,,10.62,,51529.66,18.22,,08-20,鄂武商Ａ,-2.958,13.78,14.15,14.2,13.74,14.2,4553261,0.67212,63462586,8.301,1.5244125,1059671.98332,933517.786526,14.3541666667,1.23423617082
300017,网宿科技,0.78,69.38,8.24,12.81,0.65,58581.28,81.78,,07-29,网宿科技,-1.312,11.28,11.43,11.5,11.28,11.43,47187502,2.9354,537367346,33.176,1.85252307692,2744387.21592,1813297.11233,14.4615384615,0.208439585782
002504,弘高创意,0.3,11.11,,12.79,,12044.48,8.5,,08-31,弘高创意,-4.536,4.42,4.65,4.68,4.39,4.63,16296771,3.93121,72959699,-31.571,1.88439333333,453403.831166,183230.22705,14.7333333333,1.32613261326
