code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb
300059,东方财富,0.87,1579.92,1.97,56.95,0.22,147540.98,2255.16,,10-27,东方财富,4.48,59.0,56.05,59.4,56.0,56.47,71339830,5.52484,67.816091954,38.6212643678
002568,百润股份,0.78,168.97,,53.73,,70102.57,1395.58,,10-29,百润股份,1.15,42.22,40.5,42.5,40.5,41.74,6383219,2.97527,54.1282051282,29.0830846154
600766,园城黄金,0.11,83.33,,51.89,,2442.88,87.1,,10-30,园城黄金,-0.272,18.32,17.74,19.87,17.48,18.37,13564035,6.05721,166.545454545,86.4204363636
600556,慧球科技,0.0,285.71,,42.24,,106.15,301.59,,10-27,慧球科技,-4.67,25.11,26.0,26.99,23.88,26.34,25355931,6.42258,inf,inf
002323,雅百特,1.07,750.99,,42.13,,16360.8,1109.3,,10-30,雅百特,1.928,33.83,32.8,33.93,32.02,33.19,2146764,2.57093,31.6168224299,13.3201672897
600894,广日股份,2.33,278.02,,37.73,,200280.86,296.32,,10-29,广日股份,5.013,20.95,19.79,20.98,19.55,19.95,15016479,1.74621,8.99141630901,3.39246137339
000963,华东医药,2.14,69.06,,36.97,,92741.52,69.07,,10-22,华东医药,1.139,79.9,78.5,80.0,78.3,79.0,1743551,0.40168,37.3364485981,13.8032850467
603885,吉祥航空,1.83,110.34,,35.11,,97222.84,122.51,10派6转10,10-31,吉祥航空,0.923,68.9,67.3,68.96,67.03,68.27,2116581,3.11262,37.650273224,13.219010929
300033,同花顺,0.91,1037.5,3.09,34.36,1.78,48930.88,2179.66,,10-22,同花顺,1.087,79.95,78.1,80.18,77.0,79.09,13047800,4.98011,87.8571428571,30.1877142857
600398,海澜之家,0.51,37.84,,30.06,,228957.28,41.95,,10-20,海澜之家,0.781,14.2,14.1,14.24,14.0,14.09,6129771,0.40812,27.8431372549,8.36964705882
