002197	证通电子	426.17	63.76	-6.42	7	10	9	126	28.82	70.00	20150807	2	20080626,20081017,20090911,20100713,20111227,20120723,20121116,20130513,20140513,20150807	20080717,20081225,20100406,20110526,20120525,20121026,20130312,20130829,20140702
600571	信雅达	126.80	29.65	-15.24	7	10	9	100	18.71	70.00	20150807	2	20030813,20040623,20070720,20081024,20100709,20110106,20110907,20120720,20140402,20150807	20040225,20050923,20070911,20090121,20100910,20110422,20120328,20121026,20140710
000895	双汇发展	1175.61	375.34	-19.09	9	13	12	192	62.55	69.23	20150803	2	19990520,20001110,20010227,20021025,20040616,20050114,20050913,20071207,20120202,20120605,20130903,20140402,20150803	20000413,20001225,20011224,20030725,20041104,20050322,20070905,20080811,20120328,20120723,20131024,20150115
000532	力合股份	1015.76	180.79	-35.25	12	18	17	191	40.46	66.67	20150806	2	19940406,19941215,19971219,19991115,20000814,20010227,20010807,20021023,20050426,20051107,20080630,20100104,20100712,20101231,20110909,20120717,20140123,20150806	19940922,19961126,19980220,20000510,20001108,20010515,20020510,20041102,20050927,20061228,20090108,20100428,20100916,20110530,20111116,20120903,20141010
300244	迪安诊断	20.40	16.94	5.17	2	3	2	35	11.05	66.67	20150810	2	20120418,20120710,20150810	20120521,20120816
000100	TCL 集团	-51.79	33.76	-51.96	6	9	8	99	11.83	66.67	20150804	2	20041111,20060817,20080331,20100707,20110926,20120727,20140102,20140616,20150804	20050922,20061023,20081223,20100811,20120313,20121119,20140305,20141111
300167	迪威视讯	523.66	256.77	-8.62	4	6	5	133	79.52	66.67	20150807	2	20110608,20111219,20130905,20131223,20141219,20150807	20110804,20130226,20131204,20140715,20150618
603000	人民网	17.27	24.10	1.22	2	3	2	162	12.66	66.67	20150810	2	20131213,20141203,20150810	20140709,20150330
600556	慧球科技	2358.71	176.88	-15.94	6	9	8	291	83.67	66.67	20150805	2	20021029,20040616,20050110,20051212,20060906,20130711,20131106,20150217,20150805	20040223,20041116,20050916,20060608,20090403,20130924,20140915,20150515
002608	*ST舜船	0.32	8.79	4.01	2	3	2	339	6.40	66.67	20150729	2	20120111,20140515,20150729	20130917,20140717
601688	华泰证券	22.26	34.20	-16.75	4	6	5	233	14.40	66.67	20150804	2	20100707,20110624,20120828,20140210,20150316,20150804	20110310,20120508,20130925,20140916,20150601
300168	万达信息	15.32	12.94	5.34	2	3	2	75	9.14	66.67	20150811	2	20110610,20120508,20150811	20110905,20120711
002107	沃华医药	95.17	30.24	-3.74	6	9	8	139	15.35	66.67	20150811	2	20080326,20091015,20100709,20110112,20110516,20120117,20121010,20131226,20150811	20090224,20091126,20100915,20110322,20110902,20120518,20130206,20140714
002568	百润股份	91.32	50.56	-1.19	4	6	5	114	22.47	66.67	20150810	2	20110603,20120413,20121206,20130712,20140127,20150810	20110905,20120518,20130306,20140115,20140423
002339	积成电子	7.58	14.99	-21.57	4	6	5	67	9.95	66.67	20150810	2	20100712,20110311,20130710,20131205,20140516,20150810	20100901,20120917,20130830,20140221,20140815
002285	世联行	143.20	92.35	-27.56	4	6	5	169	39.17	66.67	20150810	2	20100211,20100709,20101129,20120905,20130402,20150810	20100419,20100831,20120507,20121031,20140818
300253	卫宁软件	84.70	65.47	10.48	2	3	2	234	37.97	66.67	20150807	2	20121011,20131114,20150807	20130124,20141113
300258	精锻科技	20.44	11.11	8.72	2	3	2	114	9.92	66.67	20150810	2	20111230,20140409,20150810	20120514,20140710
300271	华宇软件	41.57	31.67	3.35	2	3	2	148	17.51	66.67	20150806	2	20120111,20120703,20150806	20120315,20130221
300301	长方照明	146.66	91.48	15.77	2	3	2	274	53.63	66.67	20150805	2	20121120,20130821,20150805	20130703,20140711
300309	吉艾科技	63.87	31.31	10.41	2	3	2	218	20.86	66.67	20150811	2	20120521,20121120,20150811	20120731,20131121
300331	苏大维格	95.40	32.14	30.51	2	3	2	167	31.33	66.67	20150806	2	20121207,20131106,20150806	20130305,20140711
600276	恒瑞医药	156.61	36.84	-31.28	9	14	13	107	18.27	64.29	20150803	2	20010723,20040728,20050114,20051215,20071018,20080424,20081103,20100322,20110131,20120312,20121127,20130531,20131114,20150803	20040413,20041102,20050418,20060125,20080225,20080818,20090717,20100618,20111206,20120328,20130226,20130812,20140218
000997	新 大 陆	60.66	67.38	-30.85	9	14	13	123	18.87	64.29	20150811	2	20001018,20010904,20020530,20030806,20040616,20060509,20070719,20080627,20100223,20100715,20110510,20120615,20140513,20150811	20010109,20020509,20030311,20040102,20050325,20060606,20071022,20090325,20100407,20100916,20120514,20120919,20140815
002035	华帝股份	69.28	56.01	-21.20	5	8	7	132	18.67	62.50	20150810	2	20050110,20070719,20080828,20100712,20110421,20120202,20140626,20150810	20050420,20070829,20081229,20100812,20110817,20130426,20140806
000555	神州信息	110.93	109.74	-80.04	10	16	15	150	38.24	62.50	20150807	2	19940726,19951208,19970715,19990107,19991109,20010711,20020619,20030821,20040719,20051214,20080903,20100712,20110622,20111026,20140724,20150807	19940930,19960805,19970915,19990326,20000807,20020524,20030707,20040301,20050927,20060807,20090112,20100917,20110808,20120306,20140911
600019	XD宝钢股	62.80	64.18	-52.51	8	13	12	218	24.59	61.54	20150803	2	20010515,20020524,20030704,20040916,20060810,20071204,20080325,20091013,20100512,20110927,20120718,20130424,20150803	20020304,20030310,20031208,20060216,20061221,20080303,20090224,20100107,20110120,20120306,20121112,20150107
600476	湘邮科技	1116.31	251.65	-28.37	8	13	12	97	57.38	61.54	20150806	2	20040903,20051213,20060815,20061218,20080626,20080917,20100608,20110131,20110622,20120704,20131226,20141118,20150806	20050829,20060210,20060926,20070622,20080808,20081224,20100913,20110322,20120327,20130221,20140311,20150506
600436	片仔癀	107.41	36.03	-14.52	6	10	9	133	18.47	60.00	20150805	2	20030820,20040719,20080624,20090508,20100326,20110310,20120206,20121206,20140313,20150805	20040319,20040909,20081224,20090928,20100602,20110328,20120329,20130308,20150409
002459	天业通联	28.48	79.66	-68.97	3	5	4	150	56.86	60.00	20150806	2	20110121,20130704,20140122,20150107,20150806	20130227,20130911,20140901,20150615
600540	新赛股份	44.33	32.67	-36.22	6	10	9	133	21.55	60.00	20150804	2	20040512,20051209,20060919,20070718,20080626,20091013,20100713,20111026,20130503,20150804	20050922,20060216,20061020,20070911,20090113,20100512,20110425,20130206,20130927
601006	大秦铁路	-20.45	19.10	-43.14	6	10	9	102	11.16	60.00	20150805	2	20060912,20080321,20090605,20091013,20110106,20110624,20130529,20140321,20150312,20150805	20061113,20090422,20090812,20100810,20110314,20121026,20131113,20140819,20150619
601058	赛轮金宇	24.42	33.10	-16.80	3	5	4	118	15.33	60.00	20150805	2	20110907,20121121,20130802,20140324,20150805	20120427,20130304,20131023,20140911
