code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb,peg
600129,太极集团,2.26,435.86,,72.62,,96442.98,435.83,,08-20,太极集团,-0.623,19.15,19.25,19.27,18.94,19.27,4349005,1.01876,8.47345132743,6.15342035398,0.0194407638403
000150,宜华健康,2.08,83296.0,,36.03,,93363.78,82412.04,,08-31,宜华健康,-1.027,30.83,30.79,31.15,30.62,31.15,4570396,1.33125,14.8221153846,5.34040817308,0.000177945104022
002027,分众传媒,0.45,56150.0,0.62,34.28,,190117.15,751355.02,,08-31,分众传媒,-1.607,15.92,16.01,16.18,15.68,16.18,8519998,1.68032,35.3777777778,12.1275022222,0.000630058375383
