code,name,open,high,low,close,volume,amount,MA_60,date,p_change
300372,欣泰电气,5.5,5.5,5.5,5.5,141300.0,385749.0,21.4540491715,2017-07-17,290.073621301
002291,星期六,17.22,17.22,15.71,15.71,32756979.0,310688362.0,28.6915079932,2017-07-17,82.6321323567
300379,东方通,64.64,64.64,59.3,59.34,9915250.0,149798712.0,101.603502559,2017-07-17,71.2226197497
300063,天龙集团,52.68,53.07,48.19,48.19,17292941.0,108798668.0,79.9707503545,2017-07-17,65.9488490444
002280,联络互动,120.77,121.98,110.51,110.51,52332192.0,442213393.0,183.215834601,2017-07-17,65.7911814321
600538,国发股份,20.25,20.38,18.43,18.47,9014560.0,55105304.0,29.8177517043,2017-07-17,61.4388289351
002571,德力股份,29.38,29.38,27.93,27.93,6841144.0,47801685.0,45.0528117305,2017-07-17,61.3061644486
000004,国农科技,178.64,178.64,161.88,161.88,3108451.0,68831762.0,260.48592172,2017-07-17,60.9129736349
603636,南威软件,44.49,44.77,40.3,40.5,9626860.0,100802670.0,65.0302801357,2017-07-17,60.5685929275
002339,积成电子,49.63,49.63,44.99,44.99,12814905.0,144006701.0,71.7259363565,2017-07-17,59.4263977696
603268,松发股份,29.91,29.91,26.82,27.09,1731262.0,47527657.0,42.7289316635,2017-07-17,57.729537333
600275,武昌鱼,17.32,17.32,16.52,16.52,5661805.0,33202765.0,25.989980078,2017-07-17,57.3243346128
600149,廊坊发展,32.8,33.01,31.3,31.3,10477501.0,113557372.0,49.0148473702,2017-07-17,56.5969564542
600680,上海普天,52.96,52.96,50.34,50.34,1495973.0,19388460.0,78.3385083862,2017-07-17,55.6188088721
300367,东方网力,201.81,202.94,186.09,187.59,18077290.0,276714557.0,289.513099863,2017-07-17,54.3329067984
002134,天津普林,11.45,11.48,10.89,10.89,4462576.0,39082239.0,16.6961105409,2017-07-17,53.3159829287
300465,高伟达,31.24,31.24,28.33,28.36,7682197.0,70295207.0,43.0962077891,2017-07-17,51.9612404412
000893,东凌粮油,16.76,16.88,15.46,16.05,9399877.0,73576820.0,24.3783209902,2017-07-17,51.8898504062
000409,山东地矿,17.27,17.36,15.6,15.6,20303821.0,144900003.0,23.6788868128,2017-07-17,51.7877359792
