code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb,peg
600485,信威集团,0.4,33100.0,,10.69,,116485.93,38254.79,,10-31,信威集团,-3.652,19.26,20.0,20.45,18.08,19.99,41806877,2.56257,48.15,5.147235,0.00145468277946
000546,金圆股份,0.28,17206.25,,9.65,,16568.93,62703.61,,10-31,金圆股份,-7.576,9.15,9.58,9.87,8.91,9.9,13022508,4.75886,32.6785714286,3.15348214286,0.0018992268175
600136,道博股份,0.23,20809.09,,4.98,,3404.14,61435.78,,10-31,道博股份,-3.693,54.76,57.11,58.5,51.17,56.86,3982661,3.81869,238.086956522,11.8567304348,0.011441488144
002714,牧原股份,0.58,5700.0,,13.41,,27899.71,10235.59,,10-24,牧原股份,3.242,43.31,42.5,43.94,39.5,41.95,6679133,4.66253,74.6724137931,10.0135706897,0.0131004234725
601788,光大证券,1.73,564.58,,20.16,,599969.44,567.69,,10-31,光大证券,-3.123,15.82,16.33,16.5,15.13,16.33,52525827,1.53674,9.14450867052,1.84353294798,0.0161970113545
600981,汇鸿集团,0.42,1131.67,,11.34,,73478.77,4069.91,,10-30,汇鸿集团,0.222,9.01,8.98,9.15,8.19,8.99,8814850,3.64469,21.4523809524,2.4327,0.0189563927226
600894,广日股份,2.33,278.02,,37.73,,200280.86,296.32,,10-29,广日股份,-1.767,13.9,14.25,14.32,13.06,14.15,14211315,1.65258,5.96566523605,2.25084549356,0.0214576837496
600826,兰生股份,1.18,883.33,,14.39,,49542.62,868.11,,10-28,兰生股份,0.541,26.02,25.5,26.2,24.0,25.88,6421549,1.52661,22.0508474576,3.17311694915,0.0249633177381
300059,东方财富,0.87,1579.92,1.97,56.95,0.22,147540.98,2255.16,,10-27,东方财富,3.153,38.28,37.11,38.72,35.77,37.11,86137763,6.67085,44.0,25.058,0.0278495113677
603169,兰石重装,0.7,622.5,,40.96,,66216.51,1291.84,,10-29,兰石重装,-2.118,12.48,12.9,13.2,11.53,12.75,6124787,1.58384,17.8285714286,7.30258285714,0.0286402753873
600856,中天能源,0.27,2632.0,,10.03,,13125.77,7346.82,,10-31,中天能源,-4.713,20.62,21.02,21.59,19.48,21.64,9301563,3.96095,76.3703703704,7.65994814815,0.029016098165
300345,红宇新材,0.26,1301.09,5.21,5.05,0.1,3216.91,1723.4,,10-27,红宇新材,-2.095,10.28,10.51,10.79,9.49,10.5,10101743,3.4515,39.5384615385,1.99669230769,0.0303887214093
