		code	name	buy_date	buy_price	period	ratio	sell_date	sell_price
601699	潞安环能			2016-01-06	36.61	296	28.95	持有	47.21
002706	良信电器			2016-02-01	58.03	270	28.86	持有	74.78
000636	风华高科			2016-02-04	138.94	267	28.83	持有	178.99
601058	赛轮金宇			2016-06-17	15.89	133	28.76	持有	20.46
300099	尤洛卡			2016-03-03	101.89	239	28.3	持有	130.72
000785	武汉中商			2016-03-08	68.08	234	27.69	持有	86.93
002054	德美化工			2016-05-24	30.36	157	27.54	持有	38.72
300458	全志科技			2016-03-17	74.80	225	27.51	持有	95.38
300066	三川智慧			2016-03-14	122.91	228	27.5	持有	156.71
000518	四环生物			2016-08-16	54.80	73	27.24	持有	69.73
000737	南风化工			2016-05-30	20.81	151	27.15	持有	26.46
603600	永艺股份			2016-05-25	43.77	156	26.94	持有	55.56
000595	宝塔实业			2016-08-16	25.67	73	26.92	持有	32.58
600649	城投控股			2016-05-20	295.19	161	26.91	持有	374.64
000980	金马股份			2016-09-02	21.29	56	26.91	持有	27.02
600571	信雅达			2016-01-29	192.94	273	26.78	持有	244.60
000042	中洲控股			2016-04-11	201.84	198	26.76	持有	255.85
300153	科泰电源			2016-05-17	71.58	164	26.53	持有	90.57
300354	东华测试			2016-03-08	68.15	234	26.49	持有	86.20
600346	*ST橡塑			2016-05-20	39.86	161	26.39	持有	50.38
000338	潍柴动力			2016-06-15	64.67	135	26.38	持有	81.73
000797	中国武夷			2016-03-17	31.45	225	26.07	持有	39.65
300224	正海磁材			2016-02-04	48.73	267	25.86	持有	61.33
002617	露笑科技			2016-03-14	63.85	228	25.43	持有	80.09
300131	英唐智控			2016-03-07	146.88	235	25.37	持有	184.14
300208	恒顺众昇			2016-03-11	137.12	231	25.2	持有	171.68
002683	宏大爆破			2016-05-26	21.25	155	25.08	持有	26.58
002584	西陇科学			2016-02-04	34.01	218	24.82	持有	42.45
000962	*ST东钽			2016-01-29	29.92	273	24.53	持有	37.26
002468	艾迪西			2016-05-23	60.59	158	24.43	持有	75.39
002141	蓉胜超微			2016-05-23	59.23	158	24.43	持有	73.70
002045	国光电器			2016-03-08	60.83	234	24.18	持有	75.54
300114	中航电测			2016-03-03	83.25	239	24.1	持有	103.31
603606	东方电缆			2016-02-02	26.37	269	23.97	持有	32.69
000505	*ST珠江			2016-03-17	27.11	225	23.83	持有	33.57
600421	仰帆控股			2016-07-01	31.30	119	23.61	持有	38.69
002366	台海核电			2016-03-17	49.35	225	23.49	持有	60.94
603199	九华旅游			2016-03-08	33.81	234	23.37	持有	41.71
600965	福成股份			2016-05-31	25.31	150	23.15	持有	31.17
600319	*ST亚星			2016-03-07	11.54	183	23.05	持有	14.20
000099	中信海直			2016-02-03	38.92	268	22.92	持有	47.84
601158	重庆水务			2016-02-04	7.89	267	22.31	持有	9.65
300452	山河药辅			2016-03-14	77.86	228	22.25	持有	95.18
300352	北信源			2016-03-08	119.46	226	22.19	持有	145.97
600785	新华百货			2016-02-04	107.17	267	22.12	持有	130.88
300310	宜通世纪			2016-03-17	104.05	225	21.63	持有	126.56
300397	天和防务			2016-05-23	51.76	158	21.54	持有	62.91
600685	中船防务			2016-05-26	47.21	155	21.5	持有	57.36
000990	诚志股份			2016-03-11	42.94	231	21.47	持有	52.16
600629	华建集团			2016-03-14	75.28	228	21.47	持有	91.44
002023	海特高新			2016-03-14	134.05	228	21.28	持有	162.58
600819	耀皮玻璃			2016-06-28	20.41	122	21.02	持有	24.70
300090	盛运环保			2016-03-01	63.20	241	20.95	持有	76.44
000531	穗恒运Ａ			2016-05-27	110.48	91	20.94	持有	133.62
601877	正泰电器			2016-02-01	29.54	270	20.82	持有	35.69
000836	鑫茂科技			2016-08-03	56.18	86	20.79	持有	67.86
002592	八菱科技			2016-01-27	70.20	275	20.68	持有	84.72
002503	搜于特			2016-06-29	213.02	121	20.46	持有	256.60
601038	一拖股份			2016-03-07	10.28	235	20.43	持有	12.38
600999	招商证券			2016-05-25	22.78	156	20.11	持有	27.36
601633	长城汽车			2016-05-04	29.27	177	19.85	持有	35.08
002478	常宝股份			2016-03-02	11.94	175	19.85	持有	14.31
000672	上峰水泥			2016-02-15	34.11	256	19.58	持有	40.79
600993	马应龙			2016-05-04	190.87	177	19.58	持有	228.25
002003	伟星股份			2016-03-08	102.11	234	19.29	持有	121.81
000933	*ST神火			2016-09-29	57.12	29	18.82	持有	67.87
300033	同花顺			2016-01-29	504.83	273	18.61	持有	598.78
