code,name,open,high,low,close,volume,amount,MA_20,date
603328,依顿电子,30.81,31.68,30.77,31.28,3488540.0,108612746.0,30.87,2015-12-25
002106,莱宝高科,45.26,45.94,45.09,45.6,13168038.0,176994864.0,45.571,2015-12-25
300118,东方日升,47.11,48.77,47.11,47.73,14467396.0,214170800.0,47.4525,2015-12-25
300219,鸿利光电,73.54,79.97,73.54,79.97,33370700.0,517757792.0,73.9665,2015-12-25
300301,长方照明,51.64,53.31,51.47,53.09,9578377.0,90367064.0,51.5495,2015-12-25
300319,麦捷科技,85.75,89.67,85.75,87.97,5108196.0,172484096.0,86.2595,2015-12-25
600011,华能国际,36.54,36.91,36.38,36.75,11133778.0,99859314.0,36.646,2015-12-25
600027,华电国际,10.92,11.08,10.92,11.01,16393443.0,114576467.0,10.8965,2015-12-25
600131,岷江水电,49.6,51.66,49.45,51.46,21131528.0,214926843.0,49.8965,2015-12-25
000966,长源电力,26.36,26.7,26.22,26.68,5476429.0,80877296.0,26.61,2015-12-25
600081,东风科技,160.81,164.14,159.91,163.51,3267891.0,59015287.0,160.989,2015-12-25
600653,申华控股,59191.18,59732.24,58974.76,59624.03,15719262.0,86269067.0,59440.0675,2015-12-25
000559,万向钱潮,591.01,631.35,591.01,618.62,72637648.0,1648564992.0,595.517,2015-12-25
002213,特 尔 佳,41.12,44.39,40.7,43.26,14392832.0,292193920.0,41.0725,2015-12-25
002283,天润曲轴,42.61,47.12,42.42,47.12,26890616.0,605888896.0,44.399,2015-12-25
600720,祁连山,87.18,89.94,86.77,89.63,9573547.0,82911934.0,88.5105,2015-12-25
600704,物产中大,165.04,168.82,164.42,168.64,26026020.0,492943996.0,168.3985,2015-12-25
600826,兰生股份,177.52,193.96,176.68,186.86,11137715.0,370237986.0,181.6725,2015-12-25
002117,东港股份,148.89,158.46,148.22,155.48,14095798.0,654877376.0,147.721,2015-12-25
600854,春兰股份,48.14,50.81,48.08,50.75,18930343.0,158655589.0,48.627,2015-12-25
002723,金莱特,48.09,51.86,48.09,51.23,7292797.0,181660880.0,49.2985,2015-12-25
