code,name,open,high,low,close,volume,amount,MA_60,date,p_change
300372,欣泰电气,5.49,5.67,5.16,5.45,16595900.0,44236305.0,24.6279020086,2016-08-08,351.88811025
600018,上港集团,6.97,7.0,6.89,6.96,27336385.0,145438095.0,15.1070462639,2016-08-08,117.055262413
600381,青海春天,14.33,14.72,14.23,14.6,4431307.0,48167128.0,22.8751157281,2016-08-08,56.6788748498
600581,八一钢铁,14.15,14.74,13.95,14.65,24193644.0,106856461.0,22.4075960703,2016-08-08,52.9528742003
002015,*ST霞客,45.44,45.69,44.44,44.94,9267356.0,83775912.0,63.1055081401,2016-08-08,40.4216914554
300028,金亚科技,34.03,34.42,33.24,34.25,11335128.0,159472147.0,47.8227908002,2016-08-08,39.6285862779
002312,三泰控股,187.71,192.45,184.6,192.08,29575245.0,307321908.0,257.513302558,2016-08-08,34.0656510613
002751,易尚展示,104.48,107.06,103.69,106.96,3729419.0,196091993.0,143.080536219,2016-08-08,33.7701348342
000962,东方钽业,29.65,29.92,28.83,29.92,7646578.0,66490165.0,39.3251616782,2016-08-08,31.4343638979
601918,国投新集,6.05,6.25,6.01,6.21,31136973.0,127043694.0,8.11170376728,2016-08-08,30.6232490706
002667,鞍重股份,55.7,57.31,55.54,57.03,4042657.0,113037730.0,73.9751027192,2016-08-08,29.7126121677
000622,恒立实业,57.71,58.26,56.92,58.1,1877806.0,13799333.0,74.9576576377,2016-08-08,29.0149012697
600485,信威集团,46.12,46.84,45.46,46.76,22408900.0,374804961.0,60.1359054794,2016-08-08,28.6054437112
000717,韶钢松山,14.76,15.18,14.76,15.18,44553624.0,143834298.0,19.4821127522,2016-08-08,28.3406637165
300336,新文化,92.33,92.33,89.39,91.29,8701395.0,174492647.0,116.860134173,2016-08-08,28.0097865848
300392,腾信股份,139.33,141.07,138.37,140.89,5134749.0,119523878.0,178.309997461,2016-08-08,26.5597256449
000806,银河生物,137.42,138.1,134.78,135.97,17197624.0,275653789.0,171.086327959,2016-08-08,25.8265264098
600606,绿地控股,1069.54,1096.28,1061.4,1085.82,78795370.0,733494142.0,1359.05312924,2016-08-08,25.1637591168
000831,五矿稀土,49.37,50.37,49.08,50.33,11189284.0,134585181.0,62.1663038614,2016-08-08,23.5173929295
300126,锐奇股份,36.84,37.69,36.65,37.46,7047300.0,67727933.0,46.26756693,2016-08-08,23.5119245329
000670,盈方微,88.6,89.33,87.87,88.92,7840820.0,66244473.0,109.781286887,2016-08-08,23.4607364897
600871,石化油服,9.6,9.72,9.52,9.72,21142850.0,80987673.0,11.96010648,2016-08-08,23.0463629629
601519,大智慧,22.54,22.56,21.89,22.54,22312523.0,170849790.0,27.7190474748,2016-08-08,22.977140527
000972,新中基,17.48,17.71,17.28,17.71,8589476.0,46086610.0,21.7073195876,2016-08-08,22.5709745208
000676,智度投资,155.16,155.16,150.46,153.03,3652429.0,62614519.0,186.829028382,2016-08-08,22.0865375299
600654,中安消,50268.86,50268.86,49307.36,50268.86,38324980.0,781226627.0,60654.5022602,2016-08-08,20.6601905438
