code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,pe,peg
300185,通裕重工,0.09,50.0,4.61,2.16,0.1,8308.44,43.89,10派1转20,08-03,通裕重工,0.427,2.35,2.34,2.36,2.33,2.34,9389585,0.34251,22048372,47.0,0.564,767919.82308,644235.9748,26.1111111111,0.522222222222
601222,林洋能源,0.5,8.7,,3.66,,22045.18,30.37,10派2转25,08-26,林洋能源,1.582,9.63,9.53,9.75,9.35,9.48,17168980,0.98529,165079068,34.393,0.704916,1698820.4217,1678058.1417,19.26,2.21379310345
601222,林洋能源,0.5,8.7,,3.66,,22045.18,30.37,10派2转25,08-26,林洋能源,1.582,9.63,9.53,9.75,9.35,9.48,17168980,0.98529,165079068,34.393,0.704916,1698820.4217,1678058.1417,19.26,2.21379310345
600026,中远海能,0.45,492.52,,5.54,,182035.05,508.52,,08-30,中远海能,1.498,6.1,6.02,6.12,6.02,6.01,9806778,0.35843,59688245,12.794,0.750977777778,2459540.04521,1668980.04521,13.5555555556,0.0275228529919
300194,福安药业,0.3,200.0,9.01,3.86,0.4,8380.58,206.36,,08-27,福安药业,4.87,6.03,5.75,6.05,5.75,5.75,7688583,1.31326,45677738,8.868,0.77586,717396.566346,353030.153724,20.1,0.1005
300194,福安药业,0.3,200.0,9.01,3.86,0.4,8380.58,206.36,,08-27,福安药业,4.87,6.03,5.75,6.05,5.75,5.75,7688583,1.31326,45677738,8.868,0.77586,717396.566346,353030.153724,20.1,0.1005
300420,五洋科技,0.35,157.93,11.18,3.86,-0.16,3209.54,223.09,,08-03,五洋科技,0.548,7.34,7.3,7.39,7.27,7.3,2511778,1.36846,18415558,24.467,0.809497142857,369104.885928,134724.546152,20.9714285714,0.132789391322
600015,华夏银行,0.92,5.75,11.54,8.02,6.92,982600.0,6.08,,08-11,华夏银行,0.216,9.29,9.27,9.32,9.25,9.27,21549211,0.16806,200014020,5.049,0.809845652174,11912275.9006,11912275.9006,10.097826087,1.7561436673
601992,金隅股份,0.34,54.55,,4.67,,182114.53,73.82,,08-30,金隅股份,-0.169,5.92,5.92,5.93,5.85,5.93,56107312,0.68884,330007047,23.68,0.813129411765,6321240.51133,4821981.49984,17.4117647059,0.319189087184
002060,粤水电,0.09,0.95,,1.93,,5132.24,0.91,,08-19,粤 水 电,1.305,3.88,3.83,3.88,3.83,3.83,4406392,0.36668,17028799,17.321,0.832044444444,466477.678504,466265.199616,43.1111111111,45.3801169591
300063,天龙集团,0.23,3043.24,7.35,3.24,0.35,6759.84,4473.88,,08-27,天龙集团,1.199,5.91,5.86,5.95,5.84,5.84,3530055,0.86057,20867271,12.064,0.832539130435,429318.32745,242426.792238,25.6956521739,0.00844351814971
002638,勤上股份,0.1,100.0,,1.64,,3705.23,119.17,,08-19,勤上股份,1.55,5.24,5.16,5.3,5.13,5.16,19141829,2.04359,99861512,-12.077,0.85936,795791.240776,490817.7,52.4,0.524
300026,红日药业,0.31,10.71,5.55,5.75,0.15,31142.14,25.7,10转20,08-26,红日药业,1.754,4.64,4.57,4.69,4.51,4.56,31868889,1.41915,146549130,21.091,0.86064516129,1397129.42395,1041973.59322,14.9677419355,1.39754826662
000591,太阳能,0.2,183.67,,2.87,,22038.33,1059.61,,08-16,太阳能,0.484,6.23,6.19,6.27,6.16,6.2,13095324,0.70836,81566505,11.867,0.894005,1873422.07394,1151724.50382,31.15,0.169597647956
600269,赣粤高速,0.32,77.78,,5.58,,73900.78,73.48,,08-09,赣粤高速,0.0,5.18,5.17,5.2,5.16,5.18,6471220,0.27709,33555046,11.773,0.9032625,1209740.83325,1209740.83325,16.1875,0.208119053741
002585,双星新材,0.11,22.22,,1.53,,8073.01,21.05,,08-24,双星新材,1.173,6.9,6.82,6.93,6.8,6.82,2232357,0.32099,15379393,37.217,0.959727272727,797831.87865,479870.28282,62.7272727273,2.82300957368
000709,河钢股份,0.04,14.71,,0.93,,40900.49,14.57,,08-31,河钢股份,-0.482,4.13,4.15,4.18,4.1,4.15,78032138,0.73498,322101367,27.533,0.960225,4385485.04288,4384778.76125,103.25,7.01903467029
600461,洪城水业,0.34,6.25,,5.31,,13645.31,30.91,10派1.3转8,08-24,洪城水业,-0.478,6.24,6.27,6.27,6.2,6.27,4486365,0.75528,27942942,20.8,0.974541176471,492706.422,370656.0,18.3529411765,2.93647058824
600401,*ST海润,0.01,18.42,,0.85,,4246.44,18.71,,08-20,*ST海润,0.0,1.16,1.16,1.17,1.15,1.16,35988580,0.76167,41754720,-4.647,0.986,548092.477632,548092.477632,116.0,6.29750271444
002483,润邦股份,0.16,100.0,,2.81,,6667.97,146.44,,08-11,润邦股份,0.71,5.67,5.63,5.68,5.6,5.63,1685640,0.29327,9517497,28.35,0.99579375,381277.87992,325901.613429,35.4375,0.354375
601107,四川成渝,0.22,21.44,,5.25,,67544.57,21.44,,08-31,四川成渝,0.0,4.27,4.29,4.29,4.25,4.27,4541602,0.20999,19385047,12.471,1.01897727273,1305791.62,923489.98,19.4090909091,0.905274762551
600177,雅戈尔,1.31,0.77,,14.2,,307059.09,5.78,,08-31,雅戈尔,1.509,9.42,9.28,9.43,9.27,9.28,13924311,0.38879,130489823,6.238,1.02109923664,3373723.40653,3373723.40653,7.19083969466,9.3387528502
000338,潍柴动力,0.26,8.33,,3.28,,105151.6,8.5,10派1,08-31,潍柴动力,0.369,8.17,8.18,8.25,8.09,8.14,38555650,0.89271,314975834,13.393,1.03067692308,6533743.90025,3528561.2299,31.4230769231,3.77227814203
002239,奥特佳,0.17,30.77,,4.55,,17813.92,109.95,,08-24,奥特佳,0.514,3.91,3.87,3.93,3.84,3.89,14516087,0.76263,56507947,9.537,1.0465,1224361.53205,744243.059194,23.0,0.747481312967
