code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb,peg
002027,分众传媒,0.45,56150.0,0.62,34.28,,190117.15,751355.02,,08-31,分众传媒,3.889,16.03,15.53,16.1,15.41,15.43,14252748,2.81094,35.6222222222,12.2112977778,0.000634411793806
002157,正邦科技,0.91,9000.0,,17.7,,60969.57,9427.2,10转20,08-15,正邦科技,2.591,7.92,7.8,8.09,7.77,7.72,81496496,6.99101,8.7032967033,1.54048351648,0.000967032967033
002714,牧原股份,2.07,1970.0,,26.43,,107242.89,2189.93,,07-21,牧原股份,0.159,25.16,25.12,25.35,24.94,25.12,8102309,2.63876,12.154589372,3.21245797101,0.0061698423208
600784,鲁银投资,0.12,11600.0,,4.53,,6675.9,8204.15,,08-20,鲁银投资,-1.744,9.58,9.75,9.77,9.54,9.75,11765637,2.36917,79.8333333333,3.61645,0.00688218390805
002137,麦达数字,0.23,5971.05,2.76,9.12,,13037.66,7311.04,,08-23,麦达数字,-1.637,15.62,15.98,16.05,15.52,15.88,7614573,2.98285,67.9130434783,6.19366956522,0.0113737187728
600629,华建集团,0.26,6470.0,,11.96,,9436.39,6508.51,,08-10,华建集团,-0.104,19.15,19.2,19.26,19.06,19.17,2145151,0.61642,73.6538461538,8.809,0.0113839020331
002477,雏鹰农牧,0.14,2686.54,,9.83,,45423.2,8694.1,,08-12,雏鹰农牧,0.375,5.36,5.4,5.42,5.34,5.34,31068020,1.63394,38.2857142857,3.76348571429,0.0142509377436
600508,上海能源,0.4,1900.0,,3.52,,28717.56,2269.69,,08-25,上海能源,-2.845,11.27,11.5,11.5,11.22,11.6,10831791,1.49876,28.175,0.99176,0.0148289473684
600129,太极集团,2.26,435.86,,72.62,,96442.98,435.83,,08-20,太极集团,3.29,20.09,19.49,20.33,19.35,19.45,17760866,4.16049,8.88938053097,6.45546814159,0.0203950363212
600100,同方股份,1.67,413.79,,24.34,,495688.33,462.21,,08-30,同方股份,-0.907,14.2,14.35,14.36,14.15,14.33,29432180,1.33912,8.50299401198,2.06962874251,0.0205490563135
600075,新疆天业,0.59,883.33,3.56,11.56,,26873.39,926.48,,08-30,新疆天业,0.077,12.98,12.94,13.18,12.91,12.97,4620571,1.0535,22.0,2.5432,0.0249057543613
002067,景兴纸业,0.16,1500.0,,5.87,,17712.76,2718.83,,08-25,景兴纸业,-0.945,7.34,7.38,7.4,7.3,7.41,18901577,1.9683,45.875,2.6928625,0.0305833333333
600724,宁波富达,0.26,719.68,,14.11,,37316.04,719.28,,08-23,宁波富达,0.877,5.75,5.7,5.76,5.62,5.7,13786140,0.9541,22.1153846154,3.12048076923,0.0307294695078
