code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb
600035,楚天高速,0.27,22.73,,10.01,,39471.73,47.01,,10-30,楚天高速,4.743,5.3,5.05,5.36,5.03,5.06,47428550,3.26333,19.6296296296,1.96492592593
600509,天富能源,0.33,5.81,,6.57,,29671.33,7.3,,10-31,天富能源,3.85,9.98,9.58,10.11,9.57,9.61,27790042,3.31348,30.2424242424,1.98692727273
600837,海通证券,1.06,103.85,,13.04,,1106492.21,123.58,,10-29,海通证券,2.598,16.19,15.7,16.55,15.67,15.78,132778079,1.64083,15.2735849057,1.9916754717
600827,百联股份,0.68,33.33,,7.58,,117590.79,33.72,,10-30,百联股份,1.851,18.16,17.75,18.34,17.7,17.83,23321075,1.51163,26.7058823529,2.02430588235
600048,保利地产,0.6,5.26,,10.16,,646972.86,6.42,,10-30,保利地产,5.639,11.99,11.18,12.3,11.18,11.35,260356869,2.42074,19.9833333333,2.03030666667
600377,宁沪高速,0.49,19.29,,11.12,,246710.92,19.29,,10-31,宁沪高速,3.46,8.97,8.62,9.13,8.61,8.67,30211187,0.79545,18.306122449,2.03564081633
000850,华茂股份,0.12,335.71,,2.8,,11497.73,328.24,,10-31,华茂股份,1.264,8.81,8.61,8.88,8.6,8.7,18151561,1.92447,73.4166666667,2.05566666667
600383,金地集团,0.19,90.0,,2.62,,83263.33,87.0,,10-30,金地集团,10.037,14.91,13.94,14.91,13.86,13.55,72234626,1.60535,78.4736842105,2.05601052632
600533,栖霞建设,0.15,98.78,,4.26,,15378.69,98.66,,10-28,栖霞建设,-4.663,7.36,7.7,7.7,7.25,7.72,79574664,7.57854,49.0666666667,2.09024
600208,新湖中宝,0.07,2.82,,2.94,,59399.85,33.25,,10-24,新湖中宝,1.22,4.98,4.91,5.01,4.89,4.92,116777560,1.43515,71.1428571429,2.0916
601601,中国太保,1.66,67.68,14.02,12.3,2.68,1503600.0,67.81,,10-31,中国太保,2.76,28.67,27.71,29.03,27.65,27.9,34891397,0.555,17.2710843373,2.12434337349
600567,山鹰纸业,0.06,10.0,,3.41,,20619.41,19.21,,10-30,山鹰纸业,1.344,3.77,3.71,3.78,3.7,3.72,56356692,2.58966,62.8333333333,2.14261666667
000883,湖北能源,0.33,57.14,,11.61,,178327.87,56.92,,10-30,湖北能源,0.478,6.3,6.25,6.33,6.21,6.27,37373440,0.69908,19.0909090909,2.21645454545
002511,中顺洁柔,0.14,4.54,,2.78,,6613.11,29.78,,10-21,中顺洁柔,2.617,11.37,11.08,11.42,11.04,11.08,13293604,2.73858,81.2142857143,2.25775714286
002122,天马股份,0.03,68.5,,0.85,,4009.06,55.19,,10-27,天马股份,1.517,8.03,7.92,8.04,7.92,7.91,11715582,1.09192,267.666666667,2.27516666667
000581,威孚高科,1.27,4.96,,11.42,,129386.42,4.39,,10-27,威孚高科,3.55,25.38,24.51,25.65,24.43,24.51,29114649,3.48079,19.9842519685,2.2822015748
000949,新乡化纤,0.11,30.12,,4.7,,11493.31,57.06,,10-29,新乡化纤,1.326,5.35,5.28,5.43,5.25,5.28,33117739,3.22619,48.6363636364,2.28590909091
601677,明泰铝业,0.31,24.0,,4.66,,12974.85,27.86,,10-30,明泰铝业,4.107,15.21,14.68,15.25,14.59,14.61,6475126,1.61474,49.064516129,2.28640645161
002394,联发股份,0.55,1.85,,6.64,,17779.46,2.08,,10-30,联发股份,-1.354,18.94,18.97,19.32,18.57,19.2,8916341,2.75451,34.4363636364,2.28657454545
600739,辽宁成大,0.98,97.33,,9.85,,147023.68,114.09,,10-31,辽宁成大,-1.165,22.91,23.2,23.48,22.43,23.18,175911971,12.89006,23.3775510204,2.30268877551
002087,新野纺织,0.19,91.82,,5.13,,10117.39,91.8,,10-23,新野纺织,4.279,8.53,8.12,8.54,8.11,8.18,25060759,4.82292,44.8947368421,2.3031
600062,华润双鹤,0.75,0.04,,7.29,,42978.75,0.04,,10-30,华润双鹤,3.254,23.8,23.11,24.08,23.01,23.05,13311694,2.32846,31.7333333333,2.31336
002060,粤水电,0.11,1.64,,2.65,,6723.61,1.34,,10-28,粤 水 电,1.477,9.62,9.44,9.67,9.4,9.48,16284243,2.70924,87.4545454545,2.31754545455
601669,中国电建,0.36,4.07,,10.11,,495849.44,49.1,,10-31,中国电建,2.076,8.36,8.13,8.44,8.1,8.19,62594832,1.89681,23.2222222222,2.34776666667
002078,太阳纸业,0.17,21.43,,7.21,,41568.57,32.43,,10-30,太阳纸业,0.727,5.54,5.48,5.55,5.45,5.5,21564485,1.08525,32.5882352941,2.34961176471
