code,name,open,high,low,close,volume,amount,MA_60,date,p_change
600845,宝信软件,37.72,37.87,36.23,37.25,2950456.0,52029694.0,83.9647873043,2016-05-27,125.408824978
600422,昆药集团,60.44,60.58,59.83,59.97,4366989.0,55828145.0,126.059148307,2016-05-27,110.203682354
603889,新澳股份,17.65,18.16,17.54,18.01,3080918.0,36620465.0,35.2428345658,2016-05-27,95.6848115816
601918,国投新集,5.69,5.81,5.67,5.77,26536050.0,100543338.0,10.2510089411,2016-05-27,77.6604669175
600485,信威集团,45.55,46.47,45.03,45.91,45968334.0,762704294.0,73.7646696956,2016-05-27,60.6723365183
002312,三泰控股,204.86,206.68,201.46,202.55,26730165.0,450357085.0,310.718652588,2016-05-27,53.4034325294
600432,吉恩镍业,32.72,33.17,32.67,32.82,5772150.0,38577252.0,49.1116442475,2016-05-27,49.639379182
600871,石化油服,9.7,9.77,9.67,9.72,31944983.0,123263551.0,14.5184289405,2016-05-27,49.3665528862
600760,中航黑豹,39.5,40.53,39.31,40.09,5508506.0,45066665.0,57.1043594578,2016-05-27,42.4404077272
600806,昆明机床,20.08,21.09,19.93,20.57,9567529.0,64861047.0,28.8743537036,2016-05-27,40.3711896141
300028,金亚科技,40.07,44.39,39.49,42.0,45260316.0,793983114.0,58.8892654912,2016-05-27,40.2125368837
600375,华菱星马,19.77,20.06,19.69,19.95,6202406.0,33746204.0,27.8478940314,2016-05-27,39.58844126
200771,杭汽轮Ｂ,37.7,37.93,37.47,37.88,797034.0,5222889.0,52.4200853612,2016-05-27,38.3845970465
002568,百润股份,92.62,93.3,91.76,92.49,3975108.0,85800227.0,127.249251332,2016-05-27,37.5816318872
000748,长城信息,117.35,119.77,116.28,117.49,15068561.0,249928570.0,161.64233502,2016-05-27,37.5796536045
600546,山煤国际,24.25,24.49,24.09,24.41,11480680.0,34503006.0,33.3609991939,2016-05-27,36.6693944855
000925,众合科技,36.1,36.82,35.78,36.1,4352308.0,63603941.0,49.2635364319,2016-05-27,36.4640898389
001896,豫能控股,11.07,11.22,11.0,11.07,9492284.0,76207281.0,15.1052464855,2016-05-27,36.4520911068
002703,浙江世宝,25.29,27.31,23.48,24.2,19186323.0,468715579.0,32.9563992887,2016-05-27,36.1834681349
600490,鹏欣资源,98.64,99.06,97.1,97.38,28451854.0,198933537.0,132.529929533,2016-05-27,36.0956351749
000972,新中基,18.98,19.18,18.85,18.98,13385652.0,77928482.0,25.6518762898,2016-05-27,35.1521406207
000712,锦龙股份,226.4,228.72,224.47,226.53,8421562.0,148292176.0,302.735729844,2016-05-27,33.6404581487
600701,工大高新,66.4,67.01,65.85,66.57,4065798.0,49016283.0,88.4448347786,2016-05-27,32.8598990215
000622,恒立实业,68.78,70.19,68.39,69.33,3346711.0,29629976.0,91.3204625645,2016-05-27,31.718538244
002751,易尚展示,123.82,126.89,122.18,124.08,6529201.0,408530725.0,163.412793004,2016-05-27,31.6995430403
000796,凯撒旅游,66.25,67.04,65.13,65.41,7668533.0,126405924.0,86.0890316655,2016-05-27,31.6144804549
002423,中原特钢,10.24,10.38,10.16,10.31,4109567.0,41560481.0,13.5324104372,2016-05-27,31.2551933775
000669,金鸿能源,39.58,39.97,39.22,39.53,4098185.0,63226827.0,51.8587619372,2016-05-27,31.1883681689
300392,腾信股份,158.25,158.91,155.55,156.33,3765220.0,98509814.0,204.691126434,2016-05-27,30.9352820535
600306,商业城,21.06,21.75,20.72,21.23,6713704.0,84750196.0,27.7934771615,2016-05-27,30.9160488061
002228,合兴包装,48.87,49.61,48.6,48.78,14222911.0,76196362.0,63.8335729165,2016-05-27,30.8601330802
600745,中茵股份,51.36,54.77,50.47,52.72,23624484.0,523153365.0,68.5898775114,2016-05-27,30.1021955831
000939,凯迪生态,71.16,71.92,70.41,71.35,8045522.0,60600940.0,92.8100745803,2016-05-27,30.0771893207
601919,中国远洋,5.35,5.46,5.33,5.39,18870662.0,97502751.0,6.9896983489,2016-05-27,29.6790046178
600428,中远航运,35.39,35.83,35.14,35.45,9983235.0,56787255.0,45.9036403288,2016-05-27,29.4884071334
600234,山水文化,30.01,30.46,29.99,30.22,5632696.0,72360395.0,39.0891271624,2016-05-27,29.3485346209
000933,神火股份,47.34,47.94,47.1,47.58,20853333.0,82168020.0,61.2629062127,2016-05-27,28.7576843479
300378,鼎捷软件,58.13,58.15,57.19,57.6,1350128.0,45547165.0,74.0833296076,2016-05-27,28.6168916798
200625,长  安Ｂ,60.88,60.99,60.6,60.88,1445213.0,15504480.0,78.2659639182,2016-05-27,28.5577593925
600180,瑞茂通,37.37,37.65,36.71,37.01,3652746.0,49347901.0,47.4953377206,2016-05-27,28.3310935438
600170,上海建工,42.72,43.17,42.49,42.83,13862809.0,52216620.0,54.9272140996,2016-05-27,28.2447212225
300380,安硕信息,81.19,81.29,79.56,79.58,2583235.0,103385418.0,101.999108695,2016-05-27,28.1717877541
002096,南岭民爆,70.59,70.64,69.22,69.47,2862516.0,40989998.0,88.9158777639,2016-05-27,27.9917630112
300316,晶盛机电,56.48,56.83,55.93,56.35,7130895.0,58367725.0,72.0981510297,2016-05-27,27.947029334
600643,爱建集团,68.52,68.98,67.83,68.44,12234599.0,108752446.0,87.4698519458,2016-05-27,27.8051606455
600744,华银电力,21.96,22.21,21.88,21.92,6932526.0,37099621.0,27.8765779419,2016-05-27,27.174169443
600291,西水股份,62.88,62.95,61.88,62.59,3476572.0,67149167.0,79.571989443,2016-05-27,27.1321128664
002018,华信国际,152.5,152.66,149.54,150.53,47924811.0,440333529.0,191.040401199,2016-05-27,26.9118456115
600582,天地科技,162.87,163.58,161.09,162.87,15065659.0,68691052.0,206.686838928,2016-05-27,26.9029526172
000066,长城电脑,117.23,119.82,116.11,117.68,13223671.0,138661538.0,149.314993784,2016-05-27,26.8822176956
002285,世联行,104.95,105.52,104.24,104.53,8421371.0,62001353.0,132.597075982,2016-05-27,26.8507375701
601618,中国中冶,3.91,3.95,3.89,3.91,22600357.0,81663933.0,4.95646121156,2016-05-27,26.7637138507
300164,通源石油,43.67,44.09,43.43,43.73,3743272.0,27361120.0,55.4221256287,2016-05-27,26.7370812455
000566,海南海药,97.6,98.19,97.17,97.75,4984071.0,100096463.0,123.872652208,2016-05-27,26.7239408782
600191,华资实业,30.99,31.19,30.64,30.94,2969558.0,36681557.0,39.192462676,2016-05-27,26.6724714804
601717,郑煤机,12.27,12.36,12.23,12.32,7119080.0,39306356.0,15.5960557705,2016-05-27,26.5913617737
300212,易华录,123.03,123.85,121.87,122.35,4514661.0,114771426.0,154.877201648,2016-05-27,26.5853711873
600160,巨化股份,74.47,74.55,73.11,73.79,15257334.0,149344866.0,93.4059926492,2016-05-27,26.5835379444
600399,抚顺特钢,21.07,21.27,20.83,21.07,12413937.0,76885503.0,26.646416502,2016-05-27,26.4661438159
300364,中文在线,88.14,89.55,85.04,85.04,1845759.0,160700033.0,107.389315018,2016-05-27,26.2809442832
002037,久联发展,60.93,61.01,59.66,60.02,3062282.0,46217632.0,75.7613298573,2016-05-27,26.2268074931
600365,通葡股份,34.0,34.4,31.89,32.34,34501083.0,430097039.0,40.8040972948,2016-05-27,26.1722241644
000767,漳泽电力,40.67,40.89,40.35,40.67,6641901.0,24893685.0,51.2457206727,2016-05-27,26.0037390525
600545,新疆城建,27.66,27.9,27.41,27.73,6807467.0,46856982.0,34.9072147013,2016-05-27,25.8824908087
600588,用友网络,434.87,435.87,430.39,432.38,8749713.0,152329761.0,543.737099388,2016-05-27,25.7544519609
300126,锐奇股份,40.01,40.24,38.93,39.82,6748550.0,69577665.0,50.0689594235,2016-05-27,25.7382205512
600728,佳都科技,101.78,101.91,100.28,101.78,13738272.0,111192901.0,127.847000932,2016-05-27,25.6111229431
000782,美达股份,27.31,28.17,26.97,27.67,6100166.0,51004095.0,34.7560675347,2016-05-27,25.6092068475
600982,宁波热电,17.71,17.94,17.6,17.82,6833405.0,32192403.0,22.3833178669,2016-05-27,25.6078443712
300443,金雷风电,124.07,127.38,123.61,125.57,2882247.0,180184293.0,157.654070802,2016-05-27,25.550745243
000504,南华生物,50.29,50.74,49.94,50.08,1027660.0,14874285.0,62.8564729136,2016-05-27,25.512126425
600986,科达股份,65.02,65.31,63.63,63.84,2768797.0,43334063.0,80.1209415323,2016-05-27,25.5027279642
601016,节能风电,10.04,10.06,9.92,9.97,3547682.0,34805210.0,12.5097685708,2016-05-27,25.4741080325
601989,中国重工,9.97,10.05,9.88,9.97,56842403.0,337699479.0,12.5063438421,2016-05-27,25.4397576942
600202,哈空调,44.65,44.8,44.06,44.21,5529202.0,50167886.0,55.437945405,2016-05-27,25.3968455213
000837,秦川机床,32.51,33.48,32.42,33.07,15529134.0,127124359.0,41.4457330049,2016-05-27,25.3272845627
600247,*ST成城,58.29,60.68,57.64,60.26,4312864.0,54706233.0,75.5063269166,2016-05-27,25.3009075947
002163,中航三鑫,28.25,29.66,28.11,29.38,16599197.0,103224380.0,36.8073078416,2016-05-27,25.2801492225
300016,北陆药业,96.3,96.3,94.58,94.82,4651128.0,92504567.0,118.751045109,2016-05-27,25.2383939139
601718,际华集团,7.9,8.03,7.84,7.88,21222268.0,160663589.0,9.866487913,2016-05-27,25.2092374746
600416,湘电股份,35.83,36.07,35.49,35.9,3663767.0,38650608.0,44.9070490898,2016-05-27,25.0892732307
603600,永艺股份,43.85,44.27,43.41,43.8,1540930.0,66655110.0,54.769690126,2016-05-27,25.0449546255
000587,金叶珠宝,102.04,102.48,100.57,101.53,4980158.0,68725273.0,126.921698925,2016-05-27,25.0090603025
