		code	name	buy_date	buy_price	period	ratio	sell_date	sell_price
600460	士兰微			2016-10-12	98.57	447	137.94	持有	234.54
600346	*ST橡塑			2016-05-20	39.86	595	127.25	持有	90.58
600782	新钢股份			2017-05-16	32.38	234	115.5	持有	69.78
600507	方大特钢			2017-04-28	67.95	252	111.94	持有	144.01
600438	通威股份			2017-02-22	63.67	317	110.08	持有	133.76
000916	华北高速			2016-05-27	8.77	556	104.9	持有	17.97
601699	潞安环能			2016-01-06	36.61	730	77.3	持有	64.91
300411	金盾股份			2016-02-03	41.56	702	71.37	持有	71.22
002460	赣锋锂业			2017-06-14	261.80	205	71.32	持有	448.52
600291	西水股份			2017-04-07	48.81	270	59.62	持有	77.91
300223	北京君正			2017-06-08	49.90	208	57.05	持有	78.37
600970	中材国际			2016-02-03	73.97	702	56.81	持有	115.99
601899	紫金矿业			2016-06-01	5.42	583	56.27	持有	8.47
600282	南钢股份			2017-05-25	17.20	225	53.37	持有	26.38
601877	正泰电器			2017-05-25	30.08	225	48.3	持有	44.61
600008	首创股份			2016-06-01	29.12	583	44.54	持有	42.09
002258	利尔化学			2017-06-08	43.60	208	43.65	持有	62.63
600206	有研新材			2017-05-31	34.57	216	42.2	持有	49.16
600083	博信股份			2017-05-05	14.06	242	38.55	持有	19.48
600559	老白干酒			2016-10-11	83.51	451	38.13	持有	115.35
600148	长春一东			2016-02-02	49.04	700	38.11	持有	67.73
002294	信立泰			2017-09-06	325.98	121	37.31	持有	447.60
300409	道氏技术			2017-11-29	125.90	37	36.38	持有	171.70
002019	亿帆鑫富			2017-04-28	231.24	252	36.09	持有	314.69
600520	*ST中发			2017-11-01	41.37	65	35.61	持有	56.10
600600	青岛啤酒			2017-08-28	53.68	130	35.53	持有	72.75
002128	露天煤业			2017-01-03	20.88	367	35.34	持有	28.26
002430	杭氧股份			2017-10-23	26.02	74	34.13	持有	34.90
600048	保利地产			2017-11-16	218.17	50	33.77	持有	291.85
600466	蓝光发展			2016-11-09	36.78	422	32.57	持有	48.76
600121	郑州煤电			2017-05-17	19.59	233	31.65	持有	25.79
000709	河钢股份			2016-11-10	30.00	421	31.2	持有	39.36
002697	红旗连锁			2016-03-03	38.35	673	30.51	持有	50.05
002222	福晶科技			2017-08-04	36.49	151	30.45	持有	47.60
000671	阳 光 城			2016-03-18	204.14	655	30.4	持有	266.20
000088	盐 田 港			2016-03-02	45.59	674	29.46	持有	59.02
600319	*ST亚星			2016-03-07	11.54	669	29.2	持有	14.91
600703	三安光电			2017-08-11	405.86	144	28.53	持有	521.64
603005	晶方科技			2017-02-06	28.18	330	28.39	持有	36.18
000868	安凯客车			2016-10-11	34.94	448	26.62	持有	44.24
603338	浙江鼎力			2017-09-18	154.90	109	26.44	持有	195.85
002485	希努尔			2017-05-08	35.86	239	26.44	持有	45.34
002648	卫星石化			2017-11-13	62.10	53	25.35	持有	77.84
000910	大亚科技			2016-12-30	45.55	368	24.61	持有	56.76
601011	宝泰隆			2016-12-06	19.64	395	24.49	持有	24.45
600318	新力金融			2016-02-01	33.42	701	24.21	持有	41.51
600383	金地集团			2017-10-24	167.89	73	24.01	持有	208.20
601000	唐山港			2017-01-25	14.41	345	23.87	持有	17.85
600691	阳煤化工			2017-11-30	33.24	33	23.83	持有	41.16
600315	上海家化			2017-06-12	150.15	207	23.8	持有	185.89
600436	片仔癀			2017-09-11	355.62	116	23.39	持有	438.80
002102	冠福股份			2017-11-13	36.43	53	23.25	持有	44.90
600760	*ST黑豹			2017-05-25	141.16	222	22.63	持有	173.11
601336	新华保险			2017-10-13	61.35	81	22.31	持有	75.04
000825	太钢不锈			2017-05-17	27.88	233	22.2	持有	34.07
600584	长电科技			2017-01-04	85.73	363	22.02	持有	104.61
600641	万业企业			2017-01-24	232.89	346	22.0	持有	284.13
000022	深赤湾Ａ			2015-12-07	78.68	711	21.86	持有	95.88
600888	新疆众和			2017-01-24	61.57	346	21.68	持有	74.92
000736	中房地产			2017-08-01	24.95	154	21.68	持有	30.36
002362	汉王科技			2017-05-18	41.40	229	21.5	持有	50.30
600208	新湖中宝			2017-07-24	29.01	165	21.27	持有	35.18
600111	北方稀土			2017-01-25	234.32	345	20.62	持有	282.64
600115	东方航空			2017-11-16	9.46	50	20.61	持有	11.41
002655	共达电声			2017-11-13	26.61	50	20.56	持有	32.08
002072	凯瑞德			2017-03-17	26.69	264	19.9	持有	32.00
603988	中电电机			2017-06-08	63.96	211	19.73	持有	76.58
002309	中利科技			2017-05-19	46.21	231	19.63	持有	55.28
002371	七星电子			2016-11-08	166.12	420	19.59	持有	198.67
002327	富安娜			2017-01-26	76.26	341	19.34	持有	91.01
601101	昊华能源			2017-05-18	20.96	232	19.18	持有	24.98
002372	伟星新材			2017-12-07	83.20	29	18.89	持有	98.92
300091	金通灵			2016-09-30	91.55	355	18.75	持有	108.72
002244	滨江集团			2016-01-29	38.44	704	18.73	持有	45.64
600256	广汇能源			2017-10-09	158.04	88	18.55	持有	187.35
300260	新莱应材			2017-07-31	37.36	74	17.93	持有	44.06
000792	盐湖股份			2016-03-03	93.90	670	17.9	持有	110.71
002614	蒙发利			2017-09-04	76.09	123	17.9	持有	89.71
600851	海欣股份			2017-10-23	183.42	74	17.8	持有	216.07
600456	宝钛股份			2017-12-01	52.83	35	17.79	持有	62.23
000697	炼石有色			2017-07-31	74.67	158	17.68	持有	87.87
002086	东方海洋			2017-03-07	44.32	304	17.49	持有	52.07
002709	天赐材料			2017-12-11	107.49	25	17.05	持有	125.82
000019	深深宝Ａ			2017-06-07	55.60	75	17.05	持有	65.08
000615	京汉股份			2016-05-24	78.59	580	16.71	持有	91.72
600606	绿地控股			2017-11-07	909.83	59	16.36	持有	1058.66
002440	闰土股份			2017-11-13	52.50	53	16.25	持有	61.03
601002	晋亿实业			2017-02-06	9.22	333	16.05	持有	10.70
000673	当代东方			2016-08-31	129.88	489	15.88	持有	150.50
601880	大连港			2016-10-12	6.17	450	15.72	持有	7.14
000538	云南白药			2017-09-18	1543.51	109	15.71	持有	1786.00
002146	荣盛发展			2017-11-29	86.44	34	15.63	持有	99.95
300415	伊之密			2017-07-27	55.38	162	15.6	持有	64.02
300083	劲胜精密			2017-01-26	54.81	341	15.56	持有	63.34
300377	赢时胜			2016-02-01	109.65	701	15.49	持有	126.64
600823	世茂股份			2017-05-25	226.25	225	15.28	持有	260.83
000729	燕京啤酒			2017-08-04	52.23	154	15.26	持有	60.20
600558	大西洋			2017-05-26	36.11	224	15.18	持有	41.59
600242	中昌海运			2016-08-29	16.32	427	15.13	持有	18.79
300458	全志科技			2017-08-14	50.05	141	15.12	持有	57.62
601666	平煤股份			2017-11-24	14.90	42	15.03	持有	17.14
000612	焦作万方			2017-05-26	77.31	224	15.0	持有	88.91
603369	今世缘			2016-06-30	34.29	554	14.9	持有	39.40
600340	华夏幸福			2017-11-10	501.28	56	14.88	持有	575.86
600015	华夏银行			2016-07-04	33.54	547	14.7	持有	38.47
600116	三峡水利			2016-08-15	46.64	505	14.67	持有	53.48
300396	迪瑞医疗			2017-12-27	101.17	9	14.66	持有	116.00
002419	天虹商场			2017-12-08	33.84	28	14.21	持有	38.65
600125	铁龙物流			2017-11-29	157.35	37	14.06	持有	179.48
600141	兴发集团			2017-12-19	43.14	17	13.91	持有	49.14
600362	江西铜业			2017-12-18	27.34	18	13.9	持有	31.14
600016	民生银行			2017-05-08	150.21	239	13.86	持有	171.03
600249	两面针			2017-12-11	25.77	25	13.85	持有	29.34
601038	一拖股份			2017-12-12	7.70	24	13.77	持有	8.76
002025	航天电器			2017-12-01	130.78	32	13.77	持有	148.79
300198	纳川股份			2017-12-01	58.43	35	13.59	持有	66.37
600497	驰宏锌锗			2017-11-27	132.65	39	13.52	持有	150.58
601333	广深铁路			2017-10-27	6.26	70	13.42	持有	7.10
300212	易华录			2017-12-06	120.89	27	13.04	持有	136.66
002262	恩华药业			2017-05-18	110.60	232	13.02	持有	125.00
600985	雷鸣科化			2017-06-22	42.54	197	13.0	持有	48.07
002230	科大讯飞			2017-10-31	477.86	63	13.0	持有	540.00
002534	杭锅股份			2017-01-24	19.23	346	13.0	持有	21.73
002391	长青股份			2017-06-06	46.86	210	12.93	持有	52.92
000933	*ST神火			2017-11-09	113.67	57	12.9	持有	128.33
002428	云南锗业			2017-11-13	56.34	53	12.87	持有	63.59
600569	安阳钢铁			2017-11-24	10.97	42	12.58	持有	12.35
600406	国电南瑞			2017-09-25	418.76	99	12.37	持有	470.56
600295	鄂尔多斯			2017-11-07	39.04	56	12.24	持有	43.82
002457	青龙管业			2017-12-13	28.94	23	12.06	持有	32.43
600123	兰花科创			2017-11-27	60.37	39	11.96	持有	67.59
300312	邦讯技术			2017-11-29	38.18	34	11.84	持有	42.70
002594	比亚迪			2016-06-20	59.66	561	11.7	持有	66.64
300037	新宙邦			2017-12-11	66.26	25	11.35	持有	73.78
002078	太阳纸业			2017-12-08	72.79	28	11.2	持有	80.94
002040	南 京 港			2016-03-09	26.89	667	11.12	持有	29.88
000822	山东海化			2017-12-26	19.54	10	11.11	持有	21.71
002680	长生生物			2017-08-03	47.10	155	11.0	持有	52.28
600877	中国嘉陵			2017-08-09	26.92	78	10.85	持有	29.84
600361	华联综超			2017-12-06	25.81	30	10.58	持有	28.54
600673	东阳光科			2016-08-15	85.96	508	10.4	持有	94.90
002297	博云新材			2017-06-05	30.80	116	10.36	持有	33.99
000905	厦门港务			2017-01-25	24.91	345	10.36	持有	27.49
002670	华声股份			2016-09-30	31.87	462	10.29	持有	35.15
000627	天茂集团			2016-01-29	209.41	707	10.28	持有	230.94
000983	西山煤电			2017-11-14	58.38	52	10.28	持有	64.38
603128	华贸物流			2017-12-26	17.41	10	10.05	持有	19.16
603969	银龙股份			2017-12-01	27.03	35	9.99	持有	29.73
300231	银信科技			2017-11-29	89.47	34	9.93	持有	98.35
000751	锌业股份			2017-11-27	16.98	39	9.89	持有	18.66
603808	歌力思			2017-12-12	42.24	21	9.85	持有	46.40
300251	光线传媒			2017-12-07	257.26	29	9.74	持有	282.31
002080	中材科技			2017-12-20	52.25	16	9.45	持有	57.19
600280	中央商场			2017-08-01	84.71	157	9.22	持有	92.52
601168	西部矿业			2017-11-28	8.30	38	9.16	持有	9.06
002738	中矿资源			2017-02-06	39.84	235	9.14	持有	43.48
601117	中国化学			2017-11-14	7.13	52	9.12	持有	7.78
300243	瑞丰高材			2017-06-07	42.59	212	9.09	持有	46.46
002602	世纪华通			2017-10-10	99.04	84	8.95	持有	107.90
600107	美尔雅			2017-12-01	30.05	32	8.89	持有	32.72
600348	阳泉煤业			2017-11-23	54.50	43	8.86	持有	59.33
002652	扬子新材			2017-07-27	34.24	162	8.79	持有	37.25
600708	光明地产			2017-12-29	58.85	7	8.77	持有	64.01
300038	梅泰诺			2016-11-14	69.06	406	8.73	持有	75.09
002726	龙大肉食			2017-09-07	38.97	120	8.7	持有	42.36
