code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb,peg
601222,林洋能源,0.5,8.7,,3.66,,22045.18,30.37,10派2转25,08-26,林洋能源,-0.697,7.12,7.17,7.2,7.07,7.17,5496691,0.38625,14.24,0.521184,1.6367816092
300185,通裕重工,0.09,50.0,4.61,2.16,0.1,8308.44,43.89,10派1转20,08-03,通裕重工,0.694,2.9,2.88,2.92,2.86,2.88,19429624,0.70874,32.2222222222,0.696,0.644444444444
600026,中远海能,0.45,492.52,,5.54,,182035.05,508.52,,08-30,中远海能,-0.299,6.66,6.68,6.7,6.61,6.68,11831608,0.43244,14.8,0.81992,0.0300495411354
300292,吴通控股,0.41,64.0,7.92,5.3,-0.19,13040.17,125.59,10转30,08-27,吴通控股,0.0,6.46,6.46,6.52,6.37,6.46,7726481,1.09481,15.756097561,0.835073170732,0.24618902439
002670,国盛金控,0.31,110.48,,1.65,,9840.46,239.28,,08-25,国盛金控,-0.063,15.96,15.96,16.0,15.55,15.97,3917998,1.75302,51.4838709677,0.849483870968,0.466001728528
600015,华夏银行,0.92,5.75,11.54,8.02,6.92,982600.0,6.08,,08-11,华夏银行,-0.78,10.17,10.23,10.25,10.13,10.25,30501977,0.28545,11.0543478261,0.886558695652,1.9224952741
600019,宝钢股份,0.21,10.53,,3.03,,346848.28,9.26,,08-31,宝钢股份,-1.125,6.15,6.16,6.21,6.11,6.22,40051582,0.18142,29.2857142857,0.887357142857,2.78116944784
000898,鞍钢股份,0.04,95.24,,0.69,,30000.0,93.55,,08-30,鞍钢股份,-1.685,5.25,5.28,5.31,5.22,5.34,15573417,0.25327,131.25,0.905625,1.37809743805
300026,红日药业,0.31,10.71,5.55,5.75,0.15,31142.14,25.7,10转20,08-26,红日药业,0.203,4.94,4.94,4.99,4.92,4.93,10535552,0.47061,15.935483871,0.916290322581,1.48790699075
600269,赣粤高速,0.32,77.78,,5.58,,73900.78,73.48,,08-09,赣粤高速,-0.563,5.3,5.32,5.34,5.29,5.33,10895867,0.46655,16.5625,0.9241875,0.212940344562
002157,正邦科技,0.91,9000.0,,17.7,,60969.57,9427.2,10转20,08-15,正邦科技,-0.605,4.93,4.96,4.96,4.91,4.96,8221403,0.60234,5.41758241758,0.958912087912,0.000601953601954
601166,兴业银行,1.49,2.76,15.88,9.46,1.46,2944100.0,6.12,,08-30,兴业银行,-0.518,15.35,15.43,15.45,15.29,15.43,43145211,0.22646,10.3020134228,0.974570469799,3.73261355899
600308,华泰股份,0.06,22.0,,1.11,,7066.91,20.47,,08-20,华泰股份,-1.802,5.45,5.55,5.56,5.44,5.55,11140736,0.95419,90.8333333333,1.00825,4.12878787879
601992,金隅股份,0.34,54.55,,4.67,,182114.53,73.82,,08-30,金隅股份,4.074,7.92,7.58,8.34,7.52,7.61,606859878,7.45049,23.2941176471,1.08783529412,0.42702323826
000709,河钢股份,0.04,14.71,,0.93,,40900.49,14.57,,08-31,河钢股份,1.699,4.79,4.62,5.04,4.61,4.71,787518947,7.4176,119.75,1.113675,8.14072059823
600337,美克家居,0.2,2.0,,4.22,,13166.78,2.46,,08-19,美克家居,-0.188,5.31,5.27,5.37,5.21,5.32,14972335,1.00932,26.55,1.12041,13.275
600461,洪城水业,0.34,6.25,,5.31,,13645.31,30.91,10派1.3转8,08-24,洪城水业,0.677,7.44,7.37,7.5,7.37,7.39,5299950,0.89225,21.8823529412,1.16195294118,3.50117647059
601107,四川成渝,0.22,21.44,,5.25,,67544.57,21.44,,08-31,四川成渝,-1.992,4.92,5.01,5.01,4.9,5.02,11624445,0.53749,22.3636363636,1.17409090909,1.04308005427
000926,福星股份,0.36,2.86,,3.61,,34017.61,36.42,,07-28,福星股份,0.0,11.77,11.73,11.82,11.69,11.77,6546996,0.69036,32.6944444444,1.18026944444,11.4316239316
000425,徐工机械,0.02,500.0,,0.62,,12701.26,1474.08,,08-12,徐工机械,-0.262,3.81,3.81,3.85,3.75,3.82,51232471,0.73257,190.5,1.1811,0.381
002102,冠福股份,0.11,178.0,,2.79,,8103.06,178.51,10转20,08-31,冠福股份,0.846,4.77,4.75,4.79,4.74,4.73,13216786,1.09441,43.3636363636,1.20984545455,0.243615934627
000825,太钢不锈,0.05,381.82,,1.41,,30155.27,371.75,,08-27,太钢不锈,-0.231,4.32,4.3,4.37,4.26,4.33,23027151,0.40426,86.4,1.21824,0.22628463674
600266,北京城建,0.28,48.95,,2.25,,43486.71,48.96,,08-13,北京城建,0.982,15.43,15.2,15.8,15.13,15.28,49520308,3.26427,55.1071428571,1.23991071429,1.12578432803
600033,福建高速,0.13,7.02,,4.2,,34299.56,6.99,,08-31,福建高速,-1.538,3.84,3.89,3.9,3.82,3.9,17802053,0.64867,29.5384615385,1.24061538462,4.20775805391
002472,双环传动,0.25,13.64,,2.86,,8263.9,34.29,10转10,08-16,双环传动,-1.538,10.88,11.03,11.08,10.8,11.05,3829900,0.70773,43.52,1.244672,3.19061583578
601339,百隆东方,0.2,11.11,,4.38,,30034.31,12.35,,08-09,百隆东方,-0.342,5.83,5.84,5.87,5.81,5.85,4657657,0.31051,29.15,1.27677,2.62376237624
600036,招商银行,1.4,6.87,15.0,9.54,-11.91,3523100.0,6.84,,08-19,招商银行,-0.951,18.75,18.95,18.97,18.66,18.93,39673390,0.19232,13.3928571429,1.27767857143,1.94946974423
000882,华联股份,0.02,29.38,,0.68,,4602.94,28.96,,08-12,华联股份,0.0,3.76,3.75,3.8,3.73,3.76,15443776,0.81944,188.0,1.2784,6.39891082369
000900,现代投资,0.34,41.0,,4.81,,34238.88,43.29,,08-27,现代投资,1.119,9.04,8.93,9.09,8.83,8.94,10970512,1.08574,26.5882352941,1.27889411765,0.648493543759
