code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb,peg
600129,太极集团,2.26,435.86,,72.62,,96442.98,435.83,,08-20,太极集团,-0.888,20.1,20.33,20.38,20.01,20.28,7729593,1.81066,8.89380530973,6.45868141593,0.0204051881561
000150,宜华健康,2.08,83296.0,,36.03,,93363.78,82412.04,,08-31,宜华健康,-1.169,32.13,32.56,33.0,32.1,32.51,5906767,1.6689,15.4471153846,5.56559567308,0.000185448465528
002027,分众传媒,0.45,56150.0,0.62,34.28,,190117.15,751355.02,,08-31,分众传媒,-0.847,15.21,15.34,15.38,15.2,15.34,2931744,0.5782,33.8,11.58664,0.00060195903829
