code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,pe,peg
000863,三湘印象,0.48,380.0,,13.7,,46074.84,421.51,10派1.00419,08-30,三湘印象,-0.212,4.7,4.73,4.8,4.7,4.71,1777788,0.19392,8449329,8.103,1.34145833333,649423.71918,430871.27753,9.79166666667,0.0257675438596
300111,向日葵,0.05,2400.0,1.18,4.2,0.15,5428.33,2633.14,,08-27,向日葵,-0.946,3.14,3.18,3.2,3.13,3.17,3919018,0.35092,12393914,104.667,2.6376,351617.2,350674.729,62.8,0.0261666666667
300111,向日葵,0.05,2400.0,1.18,4.2,0.15,5428.33,2633.14,,08-27,向日葵,-0.946,3.14,3.18,3.2,3.13,3.17,3919018,0.35092,12393914,104.667,2.6376,351617.2,350674.729,62.8,0.0261666666667
600077,宋都股份,0.08,1460.0,,2.72,,10447.83,1360.56,,08-30,宋都股份,0.606,3.32,3.32,3.34,3.3,3.3,4361835,0.32548,14480247,27.667,1.1288,444920.612232,444920.612232,41.5,0.0284246575342
002411,必康股份,0.35,2189.47,,7.31,,48488.29,9082.55,,08-26,必康股份,0.35,25.84,25.83,25.84,25.56,25.75,1663700,0.57944,42783169,39.632,5.39686857143,3959421.62086,741927.1886,73.8285714286,0.0337198369599
002092,中泰化学,0.18,1656.0,,2.81,,27223.92,1785.8,,08-19,中泰化学,1.039,11.67,11.65,11.78,11.52,11.55,18045197,0.88701,210945808,10.427,1.82181666667,2504906.68087,2374127.21564,64.8333333333,0.0391505636071
000667,美好置业,0.11,646.15,,4.54,,27323.28,648.7,,07-20,美好置业,-0.342,2.91,2.93,2.94,2.9,2.92,6526439,0.25695,19038489,11.201,1.20103636364,744841.368612,739116.234321,26.4545454545,0.0409418021428
002517,恺英网络,0.36,1100.0,,27.41,,24521.46,5254.02,,07-19,恺英网络,0.0,16.5,16.7,16.87,16.43,16.5,14849206,2.68358,246866301,16.5,12.5629166667,2367769.3974,913004.61285,45.8333333333,0.0416666666667
300118,东方日升,0.74,365.64,5.34,14.71,-0.3,47999.22,365.72,,08-27,东方日升,-0.518,11.53,11.66,11.74,11.5,11.59,2641774,0.52104,30773376,10.877,2.29197702703,1042660.13797,584593.312856,15.5810810811,0.0426131743821
300022,吉峰农机,0.06,1803.03,0.69,9.58,0.2,2387.51,1926.79,,08-26,吉峰农机,0.0,4.8,4.81,4.88,4.79,4.8,5377793,1.67465,26011806,155.34,7.664,182515.3824,154141.884,80.0,0.0443697553563
600980,北矿科技,0.08,3452.17,,2.55,,1243.9,4009.09,,08-20,北矿科技,-2.378,13.96,14.35,14.52,13.96,14.3,2053700,1.43289,29379113,49.051,4.44975,212484.99248,200082.995488,174.5,0.0505479162382
600980,北矿科技,0.08,3452.17,,2.55,,1243.9,4009.09,,08-20,北矿科技,-2.378,13.96,14.35,14.52,13.96,14.3,2053700,1.43289,29379113,49.051,4.44975,212484.99248,200082.995488,174.5,0.0505479162382
002105,信隆健康,0.05,2400.0,,3.94,,1824.42,2025.4,,08-18,信隆健康,-2.673,6.19,6.3,6.43,6.15,6.36,5677366,1.54067,35502411,80.39,4.87772,228101.5,228101.5,123.8,0.0515833333333
000059,华锦股份,0.57,281.08,,9.73,,90519.78,281.15,,08-27,华锦股份,1.575,9.03,8.92,9.16,8.9,8.89,14134308,0.8837,127700122,7.991,1.54143684211,1444296.61091,1444293.49014,15.8421052632,0.0563615528076
000059,华锦股份,0.57,281.08,,9.73,,90519.78,281.15,,08-27,华锦股份,1.575,9.03,8.92,9.16,8.9,8.89,14134308,0.8837,127700122,7.991,1.54143684211,1444296.61091,1444293.49014,15.8421052632,0.0563615528076
600477,杭萧钢构,0.27,602.56,,12.65,,22126.56,683.03,,08-27,杭萧钢构,1.959,9.37,9.21,9.39,9.12,9.19,19277689,1.52997,178698959,21.69,4.39001851852,1287832.11719,1180621.1675,34.7037037037,0.0575937727425
600537,亿晶光电,0.24,300.0,,9.61,,27826.01,736.42,,08-23,亿晶光电,-1.418,4.17,4.26,4.26,4.15,4.23,4870800,0.41406,20442446,13.452,1.6697375,490541.814756,490541.814756,17.375,0.0579166666667
000587,金洲慈航,0.46,253.85,,6.26,,48933.42,581.92,,08-24,金洲慈航,-0.277,7.2,7.19,7.27,7.17,7.22,10117748,0.8341,73036578,7.347,0.979826086957,1529099.5176,873368.532,15.652173913,0.0616591448219
000587,金洲慈航,0.46,253.85,,6.26,,48933.42,581.92,,08-24,金洲慈航,-0.277,7.2,7.19,7.27,7.17,7.22,10117748,0.8341,73036578,7.347,0.979826086957,1529099.5176,873368.532,15.652173913,0.0616591448219
300008,天海防务,0.34,314.46,7.42,6.41,-0.66,10171.56,389.61,,08-27,天海防务,-0.571,6.96,7.0,7.28,6.95,7.0,21198546,3.65045,151111364,16.338,1.31216470588,668171.26476,404174.493384,20.4705882353,0.0650975902668
002645,华宏科技,0.16,1936.36,,2.18,,3283.44,2622.96,,08-18,华宏科技,-1.942,20.2,20.55,20.75,20.2,20.6,1714989,1.15389,35095303,67.132,2.75225,423078.93838,300227.01874,126.25,0.0651996529571
002746,仙坛股份,0.48,700.0,,7.39,,7638.26,788.8,,08-13,仙坛股份,1.709,23.81,23.41,24.0,22.87,23.41,6501196,4.55496,152978531,15.98,3.66574791667,432961.518581,339834.656081,49.6041666667,0.0708630952381
000548,湖南投资,0.09,944.44,,3.11,,4690.77,973.91,,08-27,湖南投资,-0.653,6.09,6.14,6.19,6.07,6.13,2502128,0.50123,15355566,50.75,2.10443333333,304022.428899,304013.437014,67.6666666667,0.0716473959877
601872,招商轮船,0.3,150.8,,10.75,,157217.12,181.58,,08-29,招商轮船,-0.824,3.61,3.64,3.66,3.6,3.64,4947110,0.10479,17976143,30.083,1.29358333333,1913104.37843,1704252.77305,12.0333333333,0.0797966401415
300131,英唐智控,0.09,911.83,1.66,5.81,-0.02,10068.59,2579.28,,07-29,英唐智控,-0.739,6.72,6.79,6.87,6.69,6.77,12339056,1.9654,83421924,51.692,4.33813333333,718721.758272,421891.497216,74.6666666667,0.0818866089805
600074,ST保千里,0.15,150.0,,20.75,,33624.47,226.98,,08-24,ST保千里,0.503,2.0,2.0,2.01,1.99,1.99,21133000,2.05964,42208956,5.714,2.76666666667,487577.2098,205210.6264,13.3333333333,0.0888888888889
600517,置信电气,0.15,400.0,,6.09,,20008.93,544.04,,08-18,置信电气,-1.639,5.4,5.55,5.55,5.39,5.49,8252866,0.66314,45248080,15.429,2.1924,732330.62442,672042.0366,36.0,0.09
002112,三变科技,0.2,566.67,,8.17,,4124.4,617.13,,08-26,三变科技,10.031,10.53,9.77,10.53,9.64,9.57,11271224,6.17086,115932753,351.0,4.301505,212284.8,192332.990889,52.65,0.0929112181693
300242,明家联合,0.36,200.0,6.51,5.61,-0.56,11325.97,971.26,10转10,08-26,明家联合,-2.029,6.76,6.93,6.96,6.74,6.9,6507000,1.28145,44697210,22.533,1.05343333333,430161.097184,343261.007856,18.7777777778,0.0938888888889
300242,明家联合,0.36,200.0,6.51,5.61,-0.56,11325.97,971.26,10转10,08-26,明家联合,-2.029,6.76,6.93,6.96,6.74,6.9,6507000,1.28145,44697210,22.533,1.05343333333,430161.097184,343261.007856,18.7777777778,0.0938888888889
300242,明家联合,0.36,200.0,6.51,5.61,-0.56,11325.97,971.26,10转10,08-26,明家联合,-2.029,6.76,6.93,6.96,6.74,6.9,6507000,1.28145,44697210,22.533,1.05343333333,430161.097184,343261.007856,18.7777777778,0.0938888888889
600485,信威集团,0.48,309.91,,10.91,,141026.14,311.89,,08-25,信威集团,0.0,14.59,0.0,0.0,0.0,14.59,0,0.0,0,28.058,3.31618541667,4265740.71894,2380275.57482,30.3958333333,0.0980795499769
600485,信威集团,0.48,309.91,,10.91,,141026.14,311.89,,08-25,信威集团,0.0,14.59,0.0,0.0,0.0,14.59,0,0.0,0,28.058,3.31618541667,4265740.71894,2380275.57482,30.3958333333,0.0980795499769
300194,福安药业,0.3,200.0,9.01,3.86,0.4,8380.58,206.36,,08-27,福安药业,6.503,6.06,5.92,6.26,5.91,5.69,38122397,6.51182,235000553,25.25,0.77972,720965.703492,354772.887648,20.2,0.101
002182,云海金属,0.22,312.98,,5.62,,6993.02,363.01,,07-30,云海金属,-0.707,7.02,7.05,7.16,7.01,7.07,6324600,1.40624,44837099,29.311,1.79329090909,453788.621676,315727.303086,31.9090909091,0.101952491882
601012,隆基股份,0.49,600.0,,14.18,,86082.8,634.17,,08-18,隆基股份,-3.953,32.56,34.17,34.36,32.4,33.9,25602528,1.29598,847204198,17.989,9.42246530612,6492430.29714,6432324.04874,66.4489795918,0.11074829932
600889,南京化纤,0.05,1225.0,,1.16,,1624.67,1355.1,,08-18,南京化纤,0.294,6.83,7.01,7.01,6.82,6.81,1628300,0.53027,11216236,-6.92,1.58456,209728.320972,209728.320972,136.6,0.111510204082
000601,韶能股份,0.35,167.59,,9.04,,37387.07,167.53,,08-29,韶能股份,1.499,6.77,6.67,6.79,6.64,6.67,5078600,0.47033,34089356,16.512,1.74859428571,731533.479913,731025.452343,19.3428571429,0.11541772864
002218,拓日新能,0.09,370.0,,2.21,,5820.32,381.18,,08-25,拓日新能,-1.772,3.88,3.97,3.98,3.87,3.95,6551200,0.53907,25778720,18.476,0.952755555556,479700.736352,471529.54404,43.1111111111,0.116516516517
600826,兰生股份,1.68,66.34,,20.31,,70617.65,65.43,,08-20,兰生股份,0.538,13.08,12.94,13.25,12.94,13.01,1753375,0.41683,22986061,18.957,1.58127857143,550200.112704,550200.112704,7.78571428571,0.117360782118
600826,兰生股份,1.68,66.34,,20.31,,70617.65,65.43,,08-20,兰生股份,0.538,13.08,12.94,13.25,12.94,13.01,1753375,0.41683,22986061,18.957,1.58127857143,550200.112704,550200.112704,7.78571428571,0.117360782118
300058,蓝色光标,0.18,350.0,2.39,7.94,-0.11,35064.46,307.11,,08-13,蓝色光标,-2.199,7.56,7.79,7.83,7.55,7.73,31084594,1.84826,238909996,22.909,3.3348,1649659.38228,1271464.37964,42.0,0.12
002108,沧州明珠,0.42,180.0,,13.49,,25676.23,185.4,,08-23,沧州明珠,-0.438,9.09,9.24,9.28,9.07,9.13,7946998,0.72861,72753056,18.184,2.91962142857,991456.229007,991456.229007,21.6428571429,0.120238095238
002108,沧州明珠,0.42,180.0,,13.49,,25676.23,185.4,,08-23,沧州明珠,-0.438,9.09,9.24,9.28,9.07,9.13,7946998,0.72861,72753056,18.184,2.91962142857,991456.229007,991456.229007,21.6428571429,0.120238095238
600810,神马股份,0.09,800.0,,1.61,,3890.88,586.05,,08-20,神马股份,-1.012,8.8,8.88,9.1,8.74,8.89,8990068,2.03266,79913869,46.316,1.57422222222,389206.4,389206.4,97.7777777778,0.122222222222
600406,国电南瑞,0.12,1100.0,,3.47,,28051.89,1025.43,,08-25,国电南瑞,-1.002,16.79,16.95,16.96,16.7,16.96,13639675,0.61837,229814572,27.983,4.85510833333,7055108.58199,3703460.29776,139.916666667,0.127196969697
600406,国电南瑞,0.12,1100.0,,3.47,,28051.89,1025.43,,08-25,国电南瑞,-1.002,16.79,16.95,16.96,16.7,16.96,13639675,0.61837,229814572,27.983,4.85510833333,7055108.58199,3703460.29776,139.916666667,0.127196969697
300248,新开普,0.03,3344.44,2.66,1.14,-0.21,925.7,3536.32,,08-20,新开普,-2.664,12.79,13.21,13.3,12.79,13.14,4496451,2.2007,58735188,34.568,4.8602,415004.165779,261323.990768,426.333333333,0.127475252459
300248,新开普,0.03,3344.44,2.66,1.14,-0.21,925.7,3536.32,,08-20,新开普,-2.664,12.79,13.21,13.3,12.79,13.14,4496451,2.2007,58735188,34.568,4.8602,415004.165779,261323.990768,426.333333333,0.127475252459
