code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb,peg
002157,正邦科技,0.91,9000.0,,17.7,,60969.57,9427.2,10转20,08-15,正邦科技,-0.398,5.01,5.03,5.05,4.91,5.03,12344917,0.90445,5.50549450549,0.974472527473,0.000611721611722
601166,兴业银行,1.49,2.76,15.88,9.46,1.46,2944100.0,6.12,,08-30,兴业银行,0.52,15.46,15.34,15.47,15.23,15.38,45536925,0.23901,10.3758389262,0.981554362416,3.75936192977
600015,华夏银行,0.92,5.75,11.54,8.02,6.92,982600.0,6.08,,08-11,华夏银行,-0.094,10.65,10.62,10.68,10.59,10.66,30582676,0.28621,11.5760869565,0.928402173913,2.01323251418
600366,宁波韵升,1.38,216.3,,17.71,,74221.25,226.41,,08-31,宁波韵升,-1.181,16.74,16.95,16.99,16.15,16.94,6671307,1.24636,12.1304347826,2.1483,0.056081529277
600036,招商银行,1.4,6.87,15.0,9.54,-11.91,3523100.0,6.84,,08-19,招商银行,-0.68,18.98,19.01,19.08,18.83,19.11,34557480,0.16752,13.5571428571,1.29335142857,1.97338323976
002714,牧原股份,2.07,1970.0,,26.43,,107242.89,2189.93,,07-21,牧原股份,0.393,28.12,28.26,28.3,27.41,28.01,7807526,1.29674,13.5845410628,3.5903942029,0.00689570612325
000626,远大控股,1.44,42.03,,22.69,,31436.44,53.35,10派3.33转10,08-31,远大控股,0.871,19.68,19.52,19.85,19.15,19.51,2400049,0.5932,13.6666666667,3.10096666667,0.325164564993
600826,兰生股份,1.68,66.34,,20.31,,70617.65,65.43,,08-20,兰生股份,-1.832,23.58,23.97,24.05,23.25,24.02,2579123,0.61314,14.0357142857,2.85065357143,0.211572419139
600026,中远海能,0.45,492.52,,5.54,,182035.05,508.52,,08-30,中远海能,0.753,6.69,6.65,6.7,6.45,6.64,19945559,0.729,14.8666666667,0.823613333333,0.0301848994288
