code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb
000709,河北钢铁,0.05,2.13,,1.17,,50751.72,1.42,,10-29,河北钢铁,0.965,3.14,3.13,3.14,3.1,3.11,75436230,0.71053,62.8,0.73476
600123,兰花科创,0.09,466.23,,1.04,,9960.45,466.79,,10-28,兰花科创,0.263,7.62,7.64,7.69,7.57,7.6,13681413,1.1976,84.6666666667,0.880533333333
600308,华泰股份,0.06,3.51,,1.09,,6879.92,2.48,,10-24,华泰股份,-0.182,5.49,5.52,5.55,5.48,5.5,14461317,1.23859,91.5,0.99735
601633,长城汽车,2.04,11.14,,17.51,,620858.11,11.14,,10-24,长城汽车,-0.74,12.08,12.19,12.23,12.02,12.17,26532120,0.44017,5.92156862745,1.03686666667
000422,湖北宜化,0.04,90.0,,0.55,,3384.98,86.22,,10-27,湖北宜化,0.0,7.55,7.57,7.62,7.53,7.55,18601554,2.07187,188.75,1.038125
601939,建设银行,0.77,1.32,5.5,14.59,,19155700.0,0.66,,10-30,建设银行,0.0,5.74,5.75,5.78,5.72,5.74,33507321,0.34927,7.45454545455,1.08761818182
600016,民生银行,1.1,1.85,8.02,14.47,3.36,3837700.0,4.35,,10-31,民生银行,-0.23,8.67,8.7,8.74,8.66,8.69,44154410,0.14941,7.88181818182,1.14049909091
600708,光明地产,0.32,54.17,,2.92,,18453.17,73.36,,10-31,光明地产,1.613,12.6,12.45,12.73,12.39,12.4,10575200,2.08017,39.375,1.14975
000488,晨鸣纸业,0.29,61.11,,3.76,,56132.56,64.52,,10-23,晨鸣纸业,0.339,8.88,8.88,8.93,8.78,8.85,17269196,1.56277,30.6206896552,1.15133793103
601166,兴业银行,2.16,7.46,15.87,15.75,31.86,4122100.0,7.62,,10-28,兴业银行,0.124,16.1,16.13,16.15,16.03,16.08,59741161,0.36924,7.4537037037,1.17395833333
000900,现代投资,0.33,13.79,,5.03,,33260.9,14.02,,10-31,现代投资,0.0,8.03,8.04,8.1,8.01,8.03,7087760,0.70089,24.3333333333,1.22396666667
601998,中信银行,0.7,1.45,6.29,11.92,0.85,3292600.0,2.0,,10-28,中信银行,-0.684,7.26,7.31,7.36,7.2,7.31,76630363,0.24018,10.3714285714,1.23627428571
601668,中国建筑,0.6,5.26,5.36,11.8,-0.52,1904355.2,12.67,,10-30,中国建筑,-0.629,6.32,6.39,6.42,6.28,6.36,122119406,0.40842,10.5333333333,1.24293333333
600036,招商银行,1.92,5.49,13.84,14.63,6.98,4850000.0,5.89,,10-30,招商银行,-0.411,16.96,17.08,17.09,16.87,17.03,30786339,0.14924,8.83333333333,1.29231666667
600000,浦发银行,1.99,6.75,14.49,14.37,15.8,3716200.0,6.79,,10-30,浦发银行,-0.71,18.18,18.36,18.45,18.11,18.31,38700640,0.20747,9.13567839196,1.31279698492
600717,天津港,0.59,9.26,,7.17,,99276.17,9.21,,10-29,天津港,0.182,11.0,11.0,11.17,10.97,10.98,10707014,0.63931,18.6440677966,1.33677966102
600104,上汽集团,1.93,4.16,,12.95,,2126200.08,4.18,,10-30,上汽集团,-0.632,20.43,20.57,20.71,20.35,20.56,14572209,0.13217,10.585492228,1.37082124352
600642,申能股份,0.44,39.3,,8.4,,198313.51,39.38,,10-30,申能股份,-0.135,7.38,7.41,7.43,7.36,7.39,14934804,0.32809,16.7727272727,1.40890909091
000402,金融街,0.34,78.95,,4.18,,101339.44,74.56,,10-31,金 融 街,-1.03,11.53,11.6,11.84,11.37,11.65,75229274,2.51856,33.9117647059,1.41751176471
300193,佳士科技,0.32,18.52,8.87,3.63,0.36,7142.63,20.04,,10-24,佳士科技,0.692,13.1,13.1,13.33,13.0,13.01,14274216,4.20491,40.9375,1.48603125
