code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb,peg
002157,正邦科技,0.91,9000.0,,17.7,,60969.57,9427.2,10转20,08-15,正邦科技,0.661,4.57,4.57,4.6,4.51,4.54,13418948,0.98314,5.02197802198,0.88889010989,0.000557997557998
601166,兴业银行,1.49,2.76,15.88,9.46,1.46,2944100.0,6.12,,08-30,兴业银行,-0.763,15.61,15.68,15.74,15.58,15.73,58945603,0.30939,10.4765100671,0.991077852349,3.79583698084
600177,雅戈尔,1.31,0.77,,14.2,,307059.09,5.78,,08-31,雅戈尔,-0.358,13.91,13.87,13.96,13.87,13.96,4700061,0.18373,10.6183206107,1.50780152672,13.7900267671
600015,华夏银行,0.92,5.75,11.54,8.02,6.92,982600.0,6.08,,08-11,华夏银行,-0.678,10.26,10.28,10.32,10.22,10.33,18963648,0.17747,11.152173913,0.894404347826,1.93950850662
600826,兰生股份,1.68,66.34,,20.31,,70617.65,65.43,,08-20,兰生股份,-0.736,18.87,18.5,18.96,18.5,19.01,1739078,0.41343,11.2321428571,2.28124821429,0.169311770533
000625,长安汽车,1.18,8.26,,15.43,,549098.86,7.98,,08-30,长安汽车,-0.862,13.8,13.81,13.89,13.71,13.92,15491101,0.4119,11.6949152542,1.80452542373,1.41584930439
000626,远大控股,1.44,42.03,,22.69,,31436.44,53.35,10派3.33转10,08-31,远大控股,-1.767,17.23,17.21,17.5,17.21,17.54,1657281,0.40961,11.9652777778,2.71492152778,0.284684220266
002714,牧原股份,2.07,1970.0,,26.43,,107242.89,2189.93,,07-21,牧原股份,0.12,25.0,24.97,25.22,24.75,24.97,3519939,0.58462,12.077294686,3.19202898551,0.00613060643959
000150,宜华健康,2.08,83296.0,,36.03,,93363.78,82412.04,,08-31,宜华健康,0.117,25.68,25.65,25.68,25.39,25.65,1268683,0.35845,12.3461538462,4.44831923077,0.000148220248825
600026,中远海能,0.45,492.52,,5.54,,182035.05,508.52,,08-30,中远海能,-1.272,6.21,6.25,6.26,6.2,6.29,10543918,0.38537,13.8,0.76452,0.0280191667343
601222,林洋能源,0.5,8.7,,3.66,,22045.18,30.37,10派2转25,08-26,林洋能源,3.587,6.93,6.67,7.03,6.64,6.69,18955801,1.08783,13.86,0.507276,1.59310344828
600036,招商银行,1.4,6.87,15.0,9.54,-11.91,3523100.0,6.84,,08-19,招商银行,0.297,20.25,20.01,20.32,20.01,20.19,36345421,0.17619,14.4642857143,1.37989285714,2.10542732377
000863,三湘印象,0.48,380.0,,13.7,,46074.84,421.51,10派1.00419,08-30,三湘印象,-1.241,7.16,7.21,7.26,7.13,7.25,3226781,0.35424,14.9166666667,2.04358333333,0.0392543859649
