code,name,open,high,low,close,volume,amount,MA_60,date
002064,华峰氨纶,56.66,58.3,56.66,57.76,15783120.0,83097976.0,57.1978333333,2017-02-13
600114,东睦股份,63.2,66.05,63.2,65.22,3972738.0,67972351.0,64.7735,2017-02-13
002278,神开股份,37.46,37.91,36.97,37.53,3962407.0,69133656.0,37.3625,2017-02-13
600354,敦煌种业,26.15,26.5,25.88,26.45,12005504.0,105710280.0,26.2733333333,2017-02-13
000735,罗 牛 山,42.34,42.94,42.16,42.64,12089238.0,85785770.0,42.468,2017-02-13
000961,中南建设,52.9,53.82,52.35,53.71,47218882.0,463630763.0,53.3871666667,2017-02-13
600828,成商集团,75.34,77.05,74.8,76.78,7030770.0,59679372.0,76.5241666667,2017-02-13
000882,华联股份,12.66,12.96,12.61,12.81,46473150.0,202429555.0,12.6745,2017-02-13
002336,人人乐,13.16,13.81,12.98,13.55,5016502.0,62800522.0,13.542,2017-02-13
002072,凯瑞德,30.09,30.73,30.02,30.6,5742929.0,158455496.0,30.5451666667,2017-02-13
002167,东方锆业,102.38,106.63,102.15,105.76,16149044.0,215942830.0,102.109333333,2017-02-13
300120,经纬电材,36.62,37.78,36.1,37.22,2927818.0,43875408.0,36.8045,2017-02-13
600462,石岘纸业,36.02,37.17,35.88,36.9,13808878.0,114004989.0,36.461,2017-02-13
601918,国投新集,7.19,7.36,7.17,7.23,27533530.0,132022784.0,7.178,2017-02-13
600695,绿庭投资,21.3,21.83,21.3,21.74,2488212.0,23524701.0,21.669,2017-02-13
600702,沱牌舍得,77.54,82.65,77.5,80.57,13778754.0,328642710.0,78.0205,2017-02-13
603988,中电电机,70.97,77.11,70.97,75.64,1605826.0,118498709.0,73.0443333333,2017-02-13
300376,易事特,221.54,246.08,221.14,246.08,19619769.0,823281255.0,228.022666667,2017-02-13
000707,双环科技,28.39,29.96,28.3,29.71,16802175.0,154464370.0,29.1151666667,2017-02-13
002136,安 纳 达,34.25,35.46,33.87,35.08,9997217.0,173052454.0,34.2783333333,2017-02-13
300082,奥克股份,56.58,61.91,56.51,60.42,19533256.0,173620205.0,58.5243333333,2017-02-13
300192,科斯伍德,48.84,53.76,48.47,52.53,16795254.0,257229929.0,49.8415,2017-02-13
300320,海达股份,80.75,84.31,80.75,83.58,2665031.0,48544842.0,81.5096666667,2017-02-13
300343,联创股份,175.17,176.6,171.79,175.4,5902295.0,136483625.0,175.382333333,2017-02-13
000608,阳光股份,94.72,99.21,93.8,98.29,11848155.0,100028563.0,95.5061666667,2017-02-13
200539,粤电力Ｂ,32.7,33.07,32.7,33.07,1158442.0,4183424.0,32.9198333333,2017-02-13
002583,海能达,71.33,73.89,71.05,73.61,12203653.0,159862769.0,71.7413333333,2017-02-13
601718,际华集团,9.29,9.45,9.28,9.36,30028842.0,267670781.0,9.32466666667,2017-02-13
600483,福能股份,25.09,27.0,25.04,26.81,12463165.0,142782840.0,25.782,2017-02-13
600674,川投能源,157.07,158.67,156.72,157.79,21613563.0,191522222.0,157.415333333,2017-02-13
600609,金杯汽车,209.1,219.49,204.33,217.25,16635043.0,123660062.0,212.996666667,2017-02-13
600486,扬农化工,130.58,133.09,128.55,132.87,2466351.0,89137156.0,130.611833333,2017-02-13
000069,华侨城Ａ,279.6,282.75,277.63,281.57,25850253.0,184872728.0,279.750166667,2017-02-13
600500,中化国际,68.83,70.39,68.29,69.91,42334943.0,491529714.0,69.1446666667,2017-02-13
600822,上海物贸,49.23,51.19,48.45,51.13,12165056.0,218341378.0,50.5778333333,2017-02-13
600690,青岛海尔,393.42,398.9,393.03,397.33,56063923.0,567351547.0,394.759666667,2017-02-13
