code,name,open,high,low,close,volume,amount,MA_60,date
002150,通润装备,36.12,36.97,34.59,34.87,4157697.0,36881368.0,45.9897457642,2015-09-25
002435,长江润发,14.92,16.08,14.37,15.8,9960165.0,94590136.0,23.0626097334,2015-07-07
002514,宝馨科技,50.68,57.58,49.35,49.35,7737285.0,120674496.0,79.8984457657,2015-07-07
300169,天晟新材,28.2,28.2,28.2,28.2,5461.0,50023.0,40.1264326426,2015-12-21
600219,南山铝业,15.62,15.76,15.31,15.69,32702356.0,213782992.0,20.4094062029,2015-09-28
002608,*ST舜船,23.3,23.61,22.54,22.8,9884229.0,87939376.0,31.1714152128,2015-08-05
600429,三元股份,10.16,10.27,10.01,10.19,2881500.0,20919184.0,13.565992829,2015-09-18
002582,好想你,29.76,32.24,29.31,32.04,4807394.0,71761464.0,46.6654048233,2015-09-16
300148,天舟文化,59.08,62.37,57.66,59.86,23202732.0,371888288.0,78.7136471651,2015-08-31
600490,鹏欣资源,101.73,105.23,92.75,92.75,107291856.0,742603520.0,175.987395341,2015-08-26
200553,沙隆达Ｂ,16.67,16.96,16.25,16.79,1250947.0,8495172.0,22.061457398,2015-08-04
600237,铜峰电子,23.13,23.79,22.55,23.67,12676502.0,71575240.0,33.2842294689,2015-09-28
000810,创维数字,72.46,72.56,65.34,65.34,20912828.0,277255616.0,90.0635794616,2015-10-21
002371,七星电子,90.26,92.1,89.88,91.2,1623112.0,31304134.0,137.485260143,2015-09-30
600864,哈投股份,107.85,111.13,105.76,108.25,13255961.0,144862288.0,141.502977621,2015-10-08
600227,赤天化,27.86,29.36,27.63,29.02,35146896.0,174069856.0,39.9662709316,2015-10-09
000553,沙隆达Ａ,40.8,44.54,40.55,44.45,15870318.0,162526192.0,60.1239131973,2015-08-04
600120,浙江东方,335.53,345.34,330.2,341.55,8995147.0,176472400.0,447.008506497,2015-10-09
600880,博瑞传播,279.07,284.3,261.3,261.3,37770304.0,296088160.0,453.596306537,2015-09-15
002228,合兴包装,59.48,59.74,54.84,54.84,15754826.0,275676256.0,77.0530243669,2015-08-03
