code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb,peg
601222,林洋能源,0.5,8.7,,3.66,,22045.18,30.37,10派2转25,08-26,林洋能源,-1.685,8.17,8.32,8.37,8.1,8.31,18254407,1.04758,16.34,0.598044,1.87816091954
300185,通裕重工,0.09,50.0,4.61,2.16,0.1,8308.44,43.89,10派1转20,08-03,通裕重工,-1.107,2.68,2.71,2.71,2.68,2.71,24662089,0.89961,29.7777777778,0.6432,0.595555555556
300292,吴通控股,0.41,64.0,7.92,5.3,-0.19,13040.17,125.59,10转30,08-27,吴通控股,-1.576,5.62,5.7,5.71,5.61,5.71,5803700,0.75465,13.7073170732,0.726487804878,0.214176829268
600026,中远海能,0.45,492.52,,5.54,,182035.05,508.52,,08-30,中远海能,-0.882,6.74,6.81,6.81,6.7,6.8,20514195,0.74978,14.9777777778,0.829768888889,0.0304104965845
002670,国盛金控,0.31,110.48,,1.65,,9840.46,239.28,,08-25,国盛金控,-1.763,15.6,15.8,16.19,15.55,15.88,3415282,0.69355,50.3225806452,0.830322580645,0.455490411343
000591,太阳能,0.2,183.67,,2.87,,22038.33,1059.61,,08-16,太阳能,-0.172,5.79,5.81,5.97,5.76,5.8,18099888,0.97907,28.95,0.830865,0.157619643927
002060,粤水电,0.09,0.95,,1.93,,5132.24,0.91,,08-19,粤 水 电,-1.737,3.96,4.02,4.02,3.95,4.03,12574019,1.04634,44.0,0.8492,46.3157894737
600015,华夏银行,0.92,5.75,11.54,8.02,6.92,982600.0,6.08,,08-11,华夏银行,-0.591,10.09,10.15,10.23,10.08,10.15,54406691,0.4243,10.9673913043,0.879584782609,1.90737240076
000903,云内动力,0.14,13.22,,2.95,,10956.45,13.72,,08-29,云内动力,-0.713,4.18,4.2,4.21,4.17,4.21,18881260,1.19411,29.8571428571,0.880785714286,2.25848281824
000338,潍柴动力,0.26,8.33,,3.28,,105151.6,8.5,10派1,08-31,潍柴动力,-0.285,6.99,7.01,7.14,6.98,7.01,85986833,1.99093,26.8846153846,0.881815384615,3.22744482408
300420,五洋科技,0.35,157.93,11.18,3.86,-0.16,3209.54,223.09,,08-03,五洋科技,-1.599,8.0,8.14,8.17,7.98,8.13,4397502,2.39583,22.8571428571,0.882285714286,0.144729581822
002157,正邦科技,0.91,9000.0,,17.7,,60969.57,9427.2,10转20,08-15,正邦科技,-0.847,4.68,4.73,4.74,4.64,4.72,12699801,0.92698,5.14285714286,0.910285714286,0.000571428571429
601992,金隅股份,0.34,54.55,,4.67,,182114.53,73.82,,08-30,金隅股份,1.672,6.69,6.49,6.92,6.39,6.58,358673491,4.40347,19.6764705882,0.918891176471,0.360705235348
300194,福安药业,0.3,200.0,9.01,3.86,0.4,8380.58,206.36,,08-27,福安药业,5.263,7.4,6.98,7.66,6.93,7.03,35836795,6.12117,24.6666666667,0.952133333333,0.123333333333
600269,赣粤高速,0.32,77.78,,5.58,,73900.78,73.48,,08-09,赣粤高速,-1.213,5.7,5.75,5.8,5.69,5.77,30112501,1.28939,17.8125,0.9939375,0.229011313962
002102,冠福股份,0.11,178.0,,2.79,,8103.06,178.51,10转20,08-31,冠福股份,0.0,3.93,3.91,3.93,3.9,3.93,10084066,0.83501,35.7272727273,0.996790909091,0.200715015322
002585,双星新材,0.11,22.22,,1.53,,8073.01,21.05,,08-24,双星新材,-1.554,7.6,7.69,7.74,7.59,7.72,7412038,1.06577,69.0909090909,1.05709090909,3.10940184928
000587,金洲慈航,0.46,253.85,,6.26,,48933.42,581.92,,08-24,金洲慈航,-0.887,7.82,7.85,7.88,7.76,7.89,14230439,1.23503,17.0,1.0642,0.0669686822927
002483,润邦股份,0.16,100.0,,2.81,,6667.97,146.44,,08-11,润邦股份,-0.813,6.1,6.16,6.19,6.09,6.15,3466825,0.60315,38.125,1.0713125,0.38125
600019,宝钢股份,0.21,10.53,,3.03,,346848.28,9.26,,08-31,宝钢股份,1.613,7.56,7.46,7.64,7.45,7.44,151425386,0.6855,36.0,1.0908,3.4188034188
600461,洪城水业,0.34,6.25,,5.31,,13645.31,30.91,10派1.3转8,08-24,洪城水业,-1.408,7.0,7.09,7.1,6.98,7.1,5478544,0.92231,20.5882352941,1.09323529412,3.29411764706
600266,北京城建,0.28,48.95,,2.25,,43486.71,48.96,,08-13,北京城建,-1.153,13.72,13.85,13.99,13.69,13.88,15337043,1.01098,49.0,1.1025,1.00102145046
000898,鞍钢股份,0.04,95.24,,0.69,,30000.0,93.55,,08-30,鞍钢股份,2.698,6.47,6.28,6.62,6.26,6.3,98130272,1.59588,161.75,1.116075,1.69834103318
002218,拓日新能,0.09,370.0,,2.21,,5820.32,381.18,,08-25,拓日新能,1.316,4.62,4.57,4.62,4.5,4.56,14916642,1.2274,51.3333333333,1.13446666667,0.138738738739
600177,雅戈尔,1.31,0.77,,14.2,,307059.09,5.78,,08-31,雅戈尔,-0.657,10.58,10.66,10.67,10.55,10.65,26894630,0.75094,8.07633587786,1.14683969466,10.4887478933
601166,兴业银行,1.49,2.76,15.88,9.46,1.46,2944100.0,6.12,,08-30,兴业银行,0.111,18.08,18.09,18.27,18.05,18.06,88773904,0.46595,12.1342281879,1.14789798658,4.39645948838
002472,双环传动,0.25,13.64,,2.86,,8263.9,34.29,10转10,08-16,双环传动,-1.559,10.1,10.35,10.35,10.1,10.26,3127079,0.58084,40.4,1.15544,2.96187683284
601107,四川成渝,0.22,21.44,,5.25,,67544.57,21.44,,08-31,四川成渝,-1.414,4.88,4.94,4.96,4.87,4.95,9634503,0.44548,22.1818181818,1.16454545455,1.03459972863
002425,凯撒文化,0.1,156.41,,1.32,,4448.96,179.56,10派0.5,08-25,凯撒文化,-0.785,8.85,8.9,8.96,8.81,8.92,5814791,0.77366,88.5,1.1682,0.565820599706
603766,隆鑫通用,0.51,16.71,,7.84,,42705.66,22.16,,08-16,隆鑫通用,0.131,7.63,7.66,7.68,7.55,7.62,12354250,0.59462,14.9607843137,1.1729254902,0.895319228829
002347,泰尔股份,0.05,27.86,,0.85,,1031.22,27.82,10转10,08-20,泰尔股份,-1.004,6.9,6.98,7.03,6.89,6.97,3738662,1.14112,138.0,1.173,4.95333811917
002502,骅威文化,0.21,200.0,,2.83,,8875.77,263.72,10转10,08-20,骅威文化,-2.313,8.87,9.1,9.19,8.85,9.08,29317764,5.79535,42.2380952381,1.19533809524,0.21119047619
601333,广深铁路,0.1,42.86,,2.46,,68182.27,46.71,,08-25,广深铁路,-1.603,4.91,5.0,5.06,4.91,4.99,34526600,0.61085,49.1,1.20786,1.14559029398
000425,徐工机械,0.02,500.0,,0.62,,12701.26,1474.08,,08-12,徐工机械,-1.493,3.96,4.0,4.03,3.96,4.02,59604394,0.85227,198.0,1.2276,0.396
300189,神农基因,0.01,264.29,1.39,0.37,-0.16,519.94,784.48,,08-27,神农基因,-1.19,3.32,3.36,3.36,3.31,3.36,11145575,1.26412,332.0,1.2284,1.25619584547
000926,福星股份,0.36,2.86,,3.61,,34017.61,36.42,,07-28,福星股份,-0.406,12.28,12.3,12.35,12.17,12.33,10288322,1.08487,34.1111111111,1.23141111111,11.926961927
002354,天神娱乐,0.69,7.81,,4.01,,20196.94,41.5,,08-31,天神娱乐,0.376,21.33,21.25,21.69,21.2,21.25,10305317,2.42931,30.9130434783,1.23961304348,3.95813616879
600308,华泰股份,0.06,22.0,,1.11,,7066.91,20.47,,08-20,华泰股份,-0.591,6.73,6.72,6.87,6.64,6.77,24649864,2.11123,112.166666667,1.24505,5.09848484848
