code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb,peg
600753,东方银星,0.3,9966.67,,32.0,,3861.34,10714.27,,02-26,东方银星,-0.836,29.66,29.95,30.27,29.2,29.91,1243753,0.97168,98.8666666667,31.6373333333,0.00991972912384
000576,广东甘化,0.4,1900.0,,15.88,,17732.07,1628.35,,03-12,广东甘化,-3.028,15.37,15.9,15.9,15.32,15.85,5989063,2.39717,38.425,6.10189,0.0202236842105
601788,光大证券,2.14,252.9,,23.67,,764651.61,269.7,,02-27,光大证券,-1.092,16.3,16.41,16.48,16.04,16.48,31375083,0.91794,7.61682242991,1.80290186916,0.0301179218264
002099,海翔药业,0.71,407.14,,14.52,,51658.72,865.24,10派2转10,01-22,海翔药业,-1.78,8.83,8.99,9.16,8.74,8.99,33767243,4.22837,12.4366197183,1.8057971831,0.0305462978786
300033,同花顺,1.78,709.09,,57.81,,95722.28,1483.35,10派7.4,02-05,同花顺,-2.162,53.4,54.4,55.05,53.0,54.58,8563003,3.24823,30.0,17.343,0.0423077465484
000667,美好集团,0.17,469.05,,7.56,,42818.11,468.5,10派0.25,01-16,美好集团,-0.758,3.93,3.97,3.97,3.89,3.96,34669866,1.35451,23.1176470588,1.74769411765,0.0492861039523
600999,招商证券,1.88,159.99,,23.95,,1090874.88,183.29,10派2.47,03-01,招商证券,-0.855,16.23,16.24,16.34,15.9,16.37,25565478,0.53227,8.6329787234,2.06759840426,0.0539594894894
600315,上海家化,3.31,147.01,,46.5,,220996.1,146.12,10派9.9,03-11,上海家化,-2.223,29.47,29.83,29.96,29.31,30.14,11289324,1.68228,8.90332326284,4.14004531722,0.0605627050054
002419,天虹商场,1.51,125.37,,24.08,,120841.26,124.44,10派5.5,03-10,天虹商场,-1.587,12.4,12.59,12.66,12.35,12.6,5052870,0.63145,8.2119205298,1.97743046358,0.065501479858
600958,东方证券,1.46,165.45,,25.11,,732522.45,212.82,10派3.5,03-14,东方证券,-1.486,19.22,19.37,19.5,18.95,19.51,28194082,2.81941,13.1643835616,3.30557671233,0.0795671415028
300118,东方日升,0.5,337.0,,11.3,,32238.79,381.56,,02-23,东方日升,-0.866,14.89,14.85,15.28,14.7,15.02,32716991,7.5394,29.78,3.36514,0.0883679525223
300077,国民技术,0.32,700.0,,3.12,,8600.63,747.39,,03-02,国民技术,-1.485,31.17,31.52,31.92,31.05,31.64,13957950,5.24216,97.40625,3.039075,0.139151785714
600074,保千里,0.18,520.69,,33.53,,37347.54,1313.6,,02-27,保千里,-0.679,13.16,13.26,13.6,13.11,13.25,35820552,3.99791,73.1111111111,24.5141555556,0.140411974709
000928,中钢国际,0.73,114.2,,18.09,,47018.42,157.67,,03-11,中钢国际,-1.747,11.81,11.99,12.02,11.76,12.02,9212251,2.23129,16.1780821918,2.92661506849,0.141664467529
600666,奥瑞德,0.5,400.0,2.48,19.97,,30061.23,941.54,,03-11,奥瑞德,-2.034,30.83,31.16,31.4,30.6,31.47,1363899,0.4717,61.66,12.313502,0.15415
002714,牧原股份,1.23,272.73,,26.63,,59585.08,642.97,10转10派3.53,02-25,牧原股份,-5.383,52.2,53.46,54.73,51.35,55.17,8482477,5.52514,42.4390243902,11.3015121951,0.155608200016
600829,人民同泰,0.24,248.76,,7.87,,13891.62,248.59,,01-30,人民同泰,0.284,10.59,10.6,10.61,10.35,10.56,2590744,0.44677,44.125,3.4726375,0.177379803827
600053,九鼎投资,0.66,279.26,,28.51,,28653.57,279.28,10派2.5,02-02,九鼎投资,-2.35,36.15,36.91,37.32,35.92,37.02,3998770,0.92235,54.7727272727,15.6157045455,0.196135240538
002196,方正电机,0.33,371.43,,6.23,,5903.73,479.55,10派1,03-15,方正电机,-4.008,24.67,24.71,25.83,24.5,25.7,7954760,8.11756,74.7575757576,4.6573969697,0.201269622156
