date,open,high,close,low,volume,amount
2012-04-10,20.51,21.8,21.8,20.51,8219945.0,172807376.0
2012-04-11,21.3,21.68,21.03,20.68,6751220.0,142608096.0
2012-04-12,21.26,21.44,20.71,20.1,5419234.0,112258256.0
2012-04-13,20.62,21.49,21.04,20.5,5126417.0,107666904.0
2012-04-16,20.5,20.59,20.19,19.81,3778058.0,76049168.0
2012-04-17,20.09,20.32,19.97,19.72,2306877.0,46252628.0
2012-04-18,20.09,20.39,20.34,19.85,3073377.0,61990424.0
2012-04-19,20.21,20.95,20.37,20.2,2400113.0,49244524.0
2012-04-20,20.28,20.64,20.53,20.17,2015319.0,41121624.0
2012-04-23,20.3,20.33,18.98,18.95,3428539.0,66776068.0
2012-04-24,18.96,19.19,18.68,18.28,1653373.0,30951206.0
2012-04-25,19.0,19.34,19.18,18.81,1328679.0,25415188.0
2012-04-26,19.12,19.48,19.18,19.04,1134078.0,21828084.0
2012-04-27,19.13,19.61,19.35,19.13,1163470.0,22587492.0
2012-05-02,19.77,19.95,19.62,19.43,1190712.0,23459988.0
2012-05-03,19.53,19.86,19.68,19.5,849567.0,16731710.0
2012-05-04,19.68,20.01,20.0,19.62,1413433.0,28033010.0
2012-05-07,20.13,20.13,20.0,19.76,1143324.0,22738686.0
2012-05-08,20.02,20.45,20.15,19.94,1557123.0,31432668.0
2012-05-09,20.03,20.1,19.65,19.62,974153.0,19299990.0
2012-05-10,19.68,19.89,19.8,19.64,576579.0,11395907.0
2012-05-11,19.74,19.84,19.35,19.33,813650.0,15888484.0
2012-05-14,19.48,19.56,19.16,19.15,534538.0,10344554.0
2012-05-15,18.92,19.33,19.3,18.9,391806.0,7473320.0
2012-05-16,19.26,19.44,19.18,19.14,385856.0,7441735.0
2012-05-17,19.29,19.56,19.48,19.29,755928.0,14700322.0
2012-05-18,19.3,19.75,19.45,19.24,837087.0,16336711.0
2012-05-21,19.45,19.75,19.6,19.4,573404.0,11228167.0
2012-05-22,19.58,19.85,19.72,19.51,687627.0,13547377.0
2012-05-23,19.68,19.73,19.28,19.15,800140.0,15524054.0
2012-05-24,19.18,19.46,19.18,19.16,458161.0,8828935.0
2012-05-25,19.23,19.35,18.8,18.77,479028.0,9105402.0
2012-05-28,18.7,18.8,18.79,18.2,542140.0,10057534.0
2012-05-29,18.71,19.12,19.05,18.7,526102.0,9993744.0
2012-05-30,19.14,19.22,19.0,18.93,518197.0,9865842.0
2012-05-31,18.95,19.22,19.11,18.9,554619.0,10585936.0
2012-06-01,19.18,19.21,19.12,18.91,346296.0,6608884.0
2012-06-04,18.78,18.93,18.42,18.41,538989.0,10043516.0
2012-06-05,18.5,18.59,18.42,18.31,343632.0,6335019.0
2012-06-06,18.49,18.7,18.51,18.36,285376.0,5290205.0
2012-06-07,18.78,18.8,18.41,18.39,264142.0,4913446.0
2012-06-08,18.55,18.76,18.52,18.41,299660.0,5564793.0
2012-06-11,18.5,18.86,18.81,18.5,362974.0,6801652.0
2012-06-12,18.66,18.85,18.63,18.6,269800.0,5052580.0
2012-06-13,18.64,19.08,19.03,18.64,516821.0,9776274.0
2012-06-14,18.9,19.4,19.05,18.8,904279.0,17348986.0
2012-06-15,19.16,19.55,19.38,19.16,1022202.0,19781726.0
2012-06-18,19.45,19.65,19.55,19.3,834675.0,16252387.0
2012-06-19,19.49,19.62,19.35,19.33,442930.0,8606243.0
2012-06-20,19.4,19.58,19.45,19.26,474322.0,9214618.0
2012-06-21,19.35,19.45,19.24,19.08,497794.0,9573458.0
2012-06-25,19.13,19.25,18.78,18.73,352210.0,6694028.0
2012-06-26,18.85,19.12,19.06,18.57,387710.0,7317067.0
2012-06-27,18.95,20.59,19.98,18.94,2197313.0,43782040.0
2012-06-28,19.85,20.35,19.53,19.52,1533191.0,30603444.0
2012-06-29,19.42,20.09,19.97,19.38,1159175.0,22949166.0
2012-07-02,20.06,20.33,20.1,19.85,1222654.0,24557454.0
2012-07-03,20.1,20.7,20.7,20.01,2176417.0,44482344.0
2012-07-04,20.7,20.81,20.2,20.16,1459608.0,29863452.0
2012-07-05,20.2,20.6,20.21,20.02,1290484.0,26237148.0
2012-07-06,20.28,20.4,20.08,19.37,1484756.0,29111612.0
2012-07-09,19.85,20.12,19.33,19.2,895841.0,17471956.0
2012-07-10,19.21,19.47,19.19,18.99,897246.0,17091196.0
2012-07-11,19.27,19.27,18.99,18.85,949818.0,17915408.0
2012-07-12,18.98,19.18,19.1,18.38,1203910.0,22422242.0
2012-07-13,18.64,18.72,17.54,17.3,2184530.0,39134728.0
2012-07-16,17.55,17.57,16.7,16.65,1075386.0,17971588.0
2012-07-17,16.69,16.82,16.79,16.42,652324.0,10734129.0
2012-07-18,16.61,16.98,16.66,16.16,752744.0,12256336.0
2012-07-19,16.57,17.32,16.99,16.51,1060357.0,17810914.0
2012-07-20,16.95,17.08,16.76,16.72,624557.0,10416843.0
2012-07-23,16.65,16.65,16.52,16.27,341035.0,5557390.0
2012-07-24,16.46,16.82,16.66,16.43,503193.0,8282848.0
