date,open,high,close,low,volume,amount
2017-03-10,56.76,68.11,68.11,56.76,14358.0,956928.0
2017-03-13,74.92,74.92,74.92,74.92,5454.0,408614.0
2017-03-14,82.41,82.41,82.41,82.41,5370.0,442542.0
2017-03-15,90.65,90.65,90.65,90.65,12777.0,1158235.0
2017-03-16,99.72,99.72,99.72,99.72,13581.0,1354297.0
2017-03-17,109.69,109.69,109.69,109.69,33100.0,3630739.0
2017-03-20,120.66,120.66,120.66,120.66,87619.0,10572109.0
2017-03-21,132.73,132.73,132.73,132.73,90479.0,12009278.0
2017-03-22,146.0,146.0,146.0,142.02,2891733.0,421343201.0
2017-03-23,160.0,160.6,160.6,156.0,12209157.0,1944938886.0
2017-03-24,155.0,160.0,155.69,153.01,8787532.0,1373679898.0
2017-03-27,154.0,154.0,147.09,147.01,6995661.0,1043291530.0
2017-03-28,146.0,146.0,136.2,135.8,6761874.0,951712948.0
2017-03-29,133.18,139.75,135.03,133.18,4788497.0,656290295.0
2017-03-30,132.26,132.26,126.23,124.0,5576822.0,707082878.0
2017-03-31,126.37,127.86,117.2,115.13,5096614.0,617589016.0
2017-04-05,114.52,117.18,116.78,110.05,3866712.0,442761315.0
2017-04-06,116.09,121.51,117.87,115.03,4332910.0,516257848.0
2017-04-07,117.3,118.79,113.08,113.0,3336381.0,384356763.0
2017-04-10,111.24,111.7,101.81,101.81,4380074.0,464203359.0
2017-04-11,100.95,106.9,106.35,100.22,3862915.0,401402093.0
2017-04-12,105.8,105.8,101.69,101.0,2695220.0,277972603.0
2017-04-13,101.9,104.58,102.55,101.9,1982192.0,204550292.0
2017-04-14,102.0,104.5,103.72,100.11,2463781.0,252098354.0
2017-04-17,99.88,99.96,94.75,93.55,3040176.0,294116441.0
2017-04-18,95.85,96.49,93.25,92.55,2054191.0,194112071.0
2017-04-19,93.0,95.74,95.44,92.25,2268638.0,214723338.0
2017-04-20,94.96,95.0,93.07,92.0,2114932.0,197822331.0
2017-04-21,93.26,94.28,92.36,92.05,1243912.0,115543024.0
2017-04-24,92.01,92.44,89.8,87.9,1839236.0,164643629.0
2017-04-25,90.49,91.87,90.15,90.01,1648440.0,149949848.0
2017-04-26,90.18,91.99,90.77,89.67,1680468.0,152896656.0
2017-04-27,90.01,94.88,94.48,88.56,3225389.0,297331751.0
2017-04-28,93.44,94.24,93.69,93.07,1741026.0,162879263.0
