代码	    名称
SZ000707	双环科技
SZ000708	大冶特钢
SZ000709	河北钢铁
SZ000710	天兴仪表
SZ000711	*ST京蓝
SZ000712	锦龙股份
SZ000713	丰乐种业
SZ000715	中兴商业
SZ000716	黑芝麻
SZ000717	韶钢松山
SZ000718	苏宁环球
SZ000719	大地传媒
SZ000720	新能泰山
SZ000721	西安饮食
SZ000722	湖南发展
SZ000723	美锦能源
SZ000725	京东方Ａ
SZ000726	鲁  泰Ａ
SZ000727	华东科技
SZ000728	国元证券
SZ000729	燕京啤酒
SZ000731	四川美丰
SZ000732	泰禾集团
SZ000733	振华科技
SZ000735	罗 牛 山
SZ000736	中房地产
SZ000737	南风化工
SZ000738	中航动控
SZ000739	普洛药业
SZ000748	长城信息
SZ000750	国海证券
SZ000751	锌业股份
SZ000752	西藏发展
SZ000753	漳州发展
SZ000755	山西三维
SZ000756	新华制药
SZ000757	浩物股份
SZ000758	中色股份
SZ000759	中百集团
SZ000760	斯太尔
SZ000761	本钢板材
SZ000762	西藏矿业
SZ000766	通化金马
SZ000767	漳泽电力
SZ000768	中航飞机
SZ000776	广发证券
SZ000777	中核科技
SZ000778	新兴铸管
SZ000779	三毛派神
SZ000780	平庄能源
SZ000782	美达股份
SZ000783	长江证券
SZ000785	武汉中商
SZ000786	北新建材
SZ000788	北大医药
SZ000789	万年青
SZ000790	华神集团
SZ000791	甘肃电投
SZ000792	盐湖股份
SZ000793	华闻传媒
SZ000795	太原刚玉
SZ000796	易食股份
SZ000797	中国武夷
SZ000798	中水渔业
SZ000799	*ST酒鬼
SZ000800	一汽轿车
SZ000801	四川九洲
SZ000802	北京文化
SZ000803	金宇车城
SZ000806	银河投资
SZ000807	云铝股份
SZ000809	铁岭新城
SZ000810	创维数字
SZ000811	烟台冰轮
SZ000812	陕西金叶
SZ000813	天山纺织
SZ000815	*ST美利
SZ000816	江淮动力
SZ000818	方大化工
SZ000819	岳阳兴长
SZ000820	金城股份
SZ000821	京山轻机
SZ000822	山东海化
SZ000823	超声电子
SZ000825	太钢不锈
SZ000826	桑德环境
SZ000828	东莞控股
SZ000829	天音控股
SZ000830	鲁西化工
SZ000831	五矿稀土
SZ000833	贵糖股份
SZ000835	长城动漫
SZ000836	鑫茂科技
SZ000837	秦川机床
SZ000838	国兴地产
SZ000839	中信国安
SZ000848	承德露露
SZ000850	华茂股份
SZ000851	高鸿股份
SZ000852	江钻股份
SZ000856	冀东装备
SZ000858	五 粮 液
SZ000859	国风塑业
SZ000860	顺鑫农业
SZ000861	海印股份
SZ000862	银星能源
SZ000863	三湘股份
SZ000868	安凯客车
SZ000869	张  裕Ａ
SZ000875	吉电股份
SZ000876	新 希 望
SZ000877	天山股份
SZ000878	云南铜业
SZ000880	潍柴重机
SZ000881	大连国际
SZ000882	华联股份
SZ000883	湖北能源
SZ000885	同力水泥
SZ000886	海南高速
SZ000887	中鼎股份
SZ000888	峨眉山Ａ
SZ000889	茂业物流
SZ000890	法 尔 胜
SZ000892	*ST星美
SZ000893	东凌粮油
SZ000895	双汇发展
SZ000897	津滨发展
SZ000898	鞍钢股份
SZ000899	赣能股份
SZ000900	现代投资
SZ000901	航天科技
SZ000902	新洋丰
SZ000903	云内动力
SZ000905	厦门港务
SZ000906	物产中拓
SZ000908	景峰医药
SZ000909	数源科技
SZ000910	大亚科技
SZ000911	南宁糖业
SZ000912	*ST天化
SZ000913	钱江摩托
SZ000915	山大华特
SZ000916	华北高速
SZ000917	电广传媒
SZ000918	嘉凯城
SZ000919	金陵药业
SZ000920	南方汇通
SZ000921	海信科龙
SZ000922	佳电股份
SZ000923	河北宣工
SZ000925	众合科技
SZ000926	福星股份
SZ000927	*ST夏利
SZ000928	中钢国际
SZ000929	兰州黄河
SZ000930	中粮生化
SZ000931	中 关 村
SZ000932	华菱钢铁
SZ000933	神火股份
SZ000935	四川双马
SZ000936	华西股份
SZ000937	冀中能源
SZ000938	紫光股份
SZ000939	凯迪电力
SZ000948	南天信息
SZ000949	新乡化纤
SZ000950	建峰化工
SZ000951	中国重汽
SZ000952	广济药业
SZ000953	河池化工
SZ000955	欣龙控股
SZ000957	中通客车
SZ000958	东方能源
SZ000959	首钢股份
SZ000960	锡业股份
SZ000961	中南建设
SZ000962	东方钽业
SZ000963	华东医药
SZ000965	天保基建
SZ000966	长源电力
SZ000967	上风高科
SZ000968	煤 气 化
SZ000969	安泰科技
SZ000970	中科三环
SZ000971	蓝鼎控股
SZ000972	新中基
SZ000973	佛塑科技
SZ000975	银泰资源
SZ000976	*ST春晖
SZ000977	浪潮信息
SZ000978	桂林旅游
SZ000979	中弘股份
SZ000980	金马股份
SZ000981	银亿股份
SZ000982	中银绒业
SZ000983	西山煤电
SZ000985	大庆华科
SZ000987	广州友谊
SZ000988	华工科技
SZ000989	九 芝 堂
SZ000990	诚志股份
SZ000993	闽东电力
SZ000995	*ST皇台
SZ000996	中国中期
SZ000997	新 大 陆
SZ000998	隆平高科
SZ000999	华润三九
SZ001696	宗申动力
SZ001896	豫能控股
